curve_id,axis,n,true_slope,pred_slope,extractant,name
b29d624d85d1c7b8,contact_time,5,2.051582300821944e-05,1.064189323680656e-05,Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,MeCyMe4-BTBP
b2a779e28276a24b,acid,5,2.0398513862025287,-0.4775258831835817,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,3-[6-[6-(5-6-dipentyl-1-2-4-triazin-3-yl)-2-pyridinyl]-2-pyridinyl]-5-6-dipentyl-1-2-4-triazine
b323ee674cb9e657,extractant,3,1.951346959846078,0.03597457081193271,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,3-[6-[6-(5-6-dipentyl-1-2-4-triazin-3-yl)-2-pyridinyl]-2-pyridinyl]-5-6-dipentyl-1-2-4-triazine
b34d9d951573cf18,extractant,3,2.865489140888031,0.07167175710326958,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,DMDODGA
b35eb530afb19c37,acid,7,1.5437640073906036,0.42705517478675,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,DMDODGA
b397b9f8349d57e0,acid,8,1.7512040147713126,0.2580777054071318,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,(PhSO3Na)2-BTBP
b39c9bca81f663c3,acid,3,1.6626603647196714,0.8254755569383442,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,(PhSO3Na)2-BTBP
b3ae56186ab1c9ed,temperature,4,-0.043451667494268424,0.0018970923737454584,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,(PhSO3Na)2-BTBP
b3cc3a1881d2fb3e,acid,6,1.8478830090385048,0.5738646139190117,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,L1e
b3dc81219619be0d,metal_series,14,0.19223489890597714,0.1171434095564046,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,DEDODGA
