column,n_a,n_b,mean_a,mean_b,median_a,median_b,mean_diff,diff_lo,diff_hi,diff_p,auc,auc_lo,auc_hi,auc_p,block,auc_q_bh,diff_q_bh
mad_true,29,25,1.1531927424948027,0.38826308280923755,1.133534811367347,0.304835546464286,0.7649296596855653,0.5866228999698461,1.0085557564557635,0.0002,0.9613793103448276,0.9051282051282051,1.0,0.0002,geometry,0.0006571428571428571,0.0007666666666666667
log_d_span_max,29,25,4.039333553714831,1.531134356590545,3.9010294383240325,1.1760912590556813,2.508199197124286,2.0623102821157895,3.101300173604383,0.0002,0.926896551724138,0.8585152116402116,1.0,0.0002,geometry,0.0006571428571428571,0.0007666666666666667
max_curve_yspan,29,25,3.7029883934087335,1.3846340527069916,3.521472392638042,1.0804447672829516,2.3183543407017417,1.8732341224336593,2.874134641531001,0.0002,0.9144827586206896,0.8388300087934466,1.0,0.0002,geometry,0.0006571428571428571,0.0007666666666666667
true_span,29,25,4.296461577757525,1.5786215103102137,4.201963534361845,1.1760912590556813,2.7178400674473115,2.2202662773925446,3.2643616907750297,0.0002,0.9379310344827586,0.8802968022543494,1.0,0.0002,geometry,0.0006571428571428571,0.0007666666666666667
true_sd,29,25,1.3843240353455943,0.48380583731746796,1.3482675822247363,0.36033266642248896,0.9005181980281264,0.6964048088925738,1.176562387985885,0.0002,0.9613793103448276,0.9100725152129817,1.0,0.0002,geometry,0.0006571428571428571,0.0007666666666666667
pred_span,29,25,1.3962130110096018,0.7531831745124413,1.228472075380451,0.5631051451715201,0.6430298364971605,0.16484690008598,0.9807771297042303,0.008,0.7062068965517241,0.5102020160290837,0.8235984848484847,0.042,geometry,0.069,0.015333333333333332
span_compression,29,25,0.3408180092293084,1.3291051401222298,0.2923566721449476,0.5207886220620302,-0.9882871308929214,-2.6386755557810573,-0.11170088929693664,0.0008,0.28413793103448276,0.11428324270884824,0.4068484848484847,0.0012,geometry,0.0027599999999999994,0.00184
median_curve_linear_r2,29,25,0.8591127982831612,0.5360546461263629,0.910472954549285,0.5677461371436475,0.32305815215679834,0.23201632050914825,0.4485861133960436,0.0002,0.7972413793103448,0.6926378937154799,0.9298326238390092,0.0002,geometry,0.0006571428571428571,0.0007666666666666667
abs_median_curve_slope,29,25,1.1830031143200328,0.41839939784396085,1.0394469398345472,0.0588834693684397,0.764603716476072,0.33900647062037287,1.3757031773866772,0.0004,0.7889655172413793,0.6815990251744906,0.9171256684491976,0.0002,geometry,0.0006571428571428571,0.0010222222222222221
n_series,29,25,3.8620689655172415,1.28,2.0,1.0,2.5820689655172417,0.4498611111111111,4.523872180451127,0.0004,0.7351724137931035,0.6283114655923344,0.8366691176470588,0.0004,geometry,0.0010222222222222221,0.0010222222222222221
