column,n_a,n_b,mean_a,mean_b,median_a,median_b,mean_diff,diff_lo,diff_hi,diff_p,auc,auc_lo,auc_hi,auc_p,block,auc_q_bh,diff_q_bh
mad_true,29,82,1.1531927424948027,0.4707738325216861,1.133534811367347,0.36012271006994623,0.6824189099731166,0.5337435842645993,0.9147161142816415,0.0002,0.9222035323801514,0.8706240808823529,0.9688251563251562,0.0002,geometry_vs_good,0.0007666666666666667,0.0007666666666666667
log_d_span_max,29,82,4.039333553714831,1.6517849444027612,3.9010294383240325,1.2507578468324105,2.38754860931207,1.9686763424747302,2.977151997490191,0.0002,0.8994953742640874,0.8478788503994954,0.9595775855570631,0.0002,geometry_vs_good,0.0007666666666666667,0.0007666666666666667
max_curve_yspan,29,78,3.7029883934087335,1.616001960319928,3.521472392638042,1.2744154958307545,2.0869864330888053,1.623450206187428,2.5704567510365237,0.0002,0.883289124668435,0.8136271603907489,0.9393412956473177,0.0002,geometry_vs_good,0.0007666666666666667,0.0007666666666666667
true_span,29,82,4.296461577757525,1.7869631616508492,4.201963534361845,1.2919979956432734,2.509498416106676,2.0552936909490045,3.0511238653745143,0.0002,0.8910849453322119,0.8373700633189046,0.9571157059314954,0.0002,geometry_vs_good,0.0007666666666666667,0.0007666666666666667
true_sd,29,82,1.3843240353455943,0.5778841830823491,1.3482675822247363,0.4550457033528695,0.8064398522632452,0.6360093522513952,1.0683503656997857,0.0002,0.9217830109335576,0.8714345010034665,0.9666677336747759,0.0002,geometry_vs_good,0.0007666666666666667,0.0007666666666666667
pred_span,29,82,1.3962130110096018,0.8660403614432126,1.228472075380451,0.5070068466970614,0.5301726495663892,-0.05010846987872575,0.8848840148430753,0.0732,0.6871320437342304,0.5340646630236794,0.7963126449081502,0.0224,geometry_vs_good,0.03963076923076923,0.105225
span_compression,29,76,0.3408180092293084,0.5150966073586631,0.2923566721449476,0.48780056299327,-0.17427859812935476,-0.38186707437187145,-0.040957891035048696,0.0112,0.31125226860254085,0.12280525256803981,0.445500978337625,0.004,geometry_vs_good,0.010222222222222223,0.023418181818181817
median_curve_linear_r2,29,73,0.8591127982831612,0.7000185009770867,0.910472954549285,0.7784298786576946,0.1590942973060745,0.08204060234654448,0.25248130746611874,0.0008,0.728389230042513,0.6232606321839081,0.8205151515151514,0.0004,geometry_vs_good,0.0013142857142857142,0.0026285714285714285
abs_median_curve_slope,29,78,1.1830031143200328,0.4167298618260536,1.0394469398345472,0.12109549029717237,0.7662732524939793,0.32800868668460975,1.404419212136663,0.0002,0.7869142351900973,0.6751208427579816,0.9114890265102129,0.0002,geometry_vs_good,0.0007666666666666667,0.0007666666666666667
n_series,29,82,3.8620689655172415,1.5853658536585367,2.0,1.0,2.276703111858705,0.06872757925472757,4.2769942964879615,0.0284,0.6608494533221194,0.5133537631154156,0.768557679893269,0.0348,geometry_vs_good,0.057171428571428574,0.05024615384615384
n_doi_series_sum,29,82,5.758620689655173,1.7804878048780488,2.0,1.0,3.978132884777124,0.04458713183730698,7.797395470383271,0.0356,0.6389823380992431,0.49854796875988855,0.7488686855581973,0.0532,geometry_vs_good,0.08157333333333333,0.054586666666666665
n_distinct_doi,29,82,3.896551724137931,2.341463414634146,2.0,2.0,1.5550883095037848,-0.13199303405572718,3.122800469315798,0.1696,0.6084945332211943,0.44597098631044224,0.7144525237465342,0.2128,geometry_vs_good,0.2719111111111111,0.2167111111111111
n_curves,29,82,21.103448275862068,3.841463414634146,2.0,1.0,17.261984861227923,0.5321989302967565,32.885216170113964,0.0248,0.7085786375105131,0.6050121956677408,0.81766244569103,0.002,geometry_vs_good,0.00575,0.04753333333333334
n_curve_axes,29,78,1.7586206896551724,1.3461538461538463,1.0,1.0,0.4124668435013261,0.048815584999795575,0.703318641431164,0.0324,0.5999115826702034,0.49317985893416927,0.7524800189894714,0.0652,geometry_vs_good,0.09372499999999999,0.053228571428571424
log10_n_rows,29,82,1.37428134450738,1.0760887358509739,1.1760912590556813,1.0791812460476249,0.2981926086564062,0.07836648630240245,0.4662450472486363,0.0052,0.6619007569386038,0.5402261342455308,0.7893854352481111,0.0152,geometry_vs_good,0.03178181818181818,0.01196
log10_n_eval,29,82,1.0611585195474968,0.7595625618603681,0.8450980400142568,0.7781512503836436,0.30159595768712877,0.08425819231222671,0.47305575104953423,0.0052,0.6473927670311186,0.5303321087515807,0.7823080184108525,0.0192,geometry_vs_good,0.03679999999999999,0.01196
nn_train_tanimoto,29,82,0.5534878019824061,0.5759476171604976,0.5555555555555556,0.626453488372093,-0.02245981517809148,-0.07157732300219281,0.03181499820818426,0.3648,0.45815811606391926,0.33771064560439557,0.6001570440429136,0.526,geometry_vs_good,0.5760952380952381,0.41952
has_axis_acid,29,82,0.7931034482758621,0.43902439024390244,1.0,0.0,0.35407905803195966,0.15479058118754563,0.5465698012921644,0.0048,0.6770395290159799,0.5773952905937728,0.7732849006460822,0.0048,geometry_vs_good,0.011039999999999998,0.01196
has_axis_extractant,29,82,0.3103448275862069,0.13414634146341464,0.0,0.0,0.17619848612279226,-0.024399419843712997,0.4372815860215053,0.096,0.5880992430613962,0.4878002900781435,0.7186407930107526,0.096,geometry_vs_good,0.12988235294117648,0.12988235294117648
has_axis_metal_series,29,82,0.4827586206896552,0.6219512195121951,0.0,1.0,-0.13919259882253993,-0.3645728283268606,0.1301283532711625,0.2644,0.43040370058873,0.3177135858365697,0.5650641766355813,0.2644,geometry_vs_good,0.3200631578947369,0.3200631578947369
has_axis_temperature,29,82,0.034482758620689655,0.036585365853658534,0.0,0.0,-0.0021026072329688797,-0.042256403127479365,0.021923658752429857,1.0,0.4989486963835156,0.47887179843626027,0.5109618293762149,1.0,geometry_vs_good,1.0,1.0
has_axis_contact_time,29,82,0.06896551724137931,0.024390243902439025,0.0,0.0,0.044575273338940284,-0.06251758658008658,0.10812279670975303,0.3984,0.5222876366694701,0.4687412067099567,0.5540613983548766,0.3984,geometry_vs_good,0.45816,0.43634285714285714
has_axis_metal_concentration,29,82,0.06896551724137931,0.024390243902439025,0.0,0.0,0.044575273338940284,0.0,0.09502262443438915,0.7004,0.5222876366694701,0.5,0.5475113122171946,0.7004,geometry_vs_good,0.7322363636363637,0.7322363636363637
