extractant,tanimoto_cluster,ecfp_cluster,nn_train_tanimoto,n_rows,n_pool,n_eval,failure_class,failure_class_central,k2_status,one_shot_harms,seeds_matching_pooled_class,seed_modal_count,mae_k0,mae_RANDOM_k1,mae_RANDOM_k2,mae_CENTRAL_k1,mae_CENTRAL_k2,mae_oracle_k1,mae_oracle_k2,ratio_RANDOM_k1,ratio_RANDOM_k2,ratio_CENTRAL_k1,ratio_CENTRAL_k2,offset_k0,shape_mae_k0,shape_frac_k0,spearman_k0,oof_mean_centred_mae,oof_median_centred_mae,mad_true,within_1_0_k0,within_1_0_RANDOM_k1,within_1_0_RANDOM_k2,n_series,n_doi_series_sum,n_distinct_doi,series_types,log_d_span_max,n_curves,n_curve_axes,curve_axes,median_curve_slope,median_curve_linear_r2,max_curve_yspan,true_span,pred_span,span_compression,true_sd,pred_sd,has_axis_acid,has_axis_extractant,has_axis_metal_series,has_axis_temperature,has_axis_contact_time,has_axis_metal_concentration,mech__n_amide_O,mech__n_ester_O,mech__n_ketone_O,mech__n_ether_O,mech__n_hydroxyl_O,mech__n_phosphoryl_O,mech__n_carboxyl_O,mech__n_oxide_O,mech__n_aromatic_N,mech__n_amine_N,mech__n_thioether_S,mech__n_thiophosphoryl_S,mech__n_thiocarbonyl_S,mech__n_O_donor,mech__n_N_donor,mech__n_S_donor,mech__n_P,mech__n_donor_total,mech__frac_O_donor,mech__frac_N_donor,mech__frac_S_donor,mech__softness_mean,mech__formal_charge,mech__n_acidic_H,mech__is_neutral_extractant,mech__denticity_proxy,mech__n_chelate_pairs,mech__donor_dist_min,mech__donor_dist_mean,mech__ring_count,mech__frac_rotatable,mech__heavy_atoms,mech__crippen_logp,mech__tpsa,mech__hbd,mech__hba
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,c79e97649edc8fe4,0.6571428571428571,35,18.0,17.0,ALREADY_GOOD,ALREADY_GOOD,,True,5,5,0.5145992368045411,0.7396472669030479,0.7016456908440396,0.5810126388867745,0.6023358276059266,0.49668241570630883,0.4948521513094663,1.4373267855894358,1.3634798512352708,1.129058493157966,1.1704949881896352,0.16894914725193275,0.5025795203033306,0.9766425683492106,0.03204056038032412,0.5380427878436803,0.5316703303978235,0.5360936445703827,0.8519607843137255,0.6950980392156862,0.7617647058823529,1,3,4.0,metal_concentration_sweep,3.083267703937862,2.0,1.0,metal_concentration,-0.6458492348280054,0.36561684974406444,2.427598633127965,3.083267703937862,0.10137799521669826,0.03288004965875041,0.7006928889443791,0.03105767165681486,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,3.0,2.0,3.0,4.0,0.0,0.8333333333333334,49.0,13.22299999999998,49.85,0.0,3.0
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,tan001,1d60a11630127453,0.6538461538461539,5,3.0,2.0,ALREADY_GOOD,ALREADY_GOOD,,False,5,5,0.5119129292413371,0.3947169160500306,0.3036330208202604,0.4013915452232656,0.3514645450256417,0.25151112838208917,0.24876613776341613,0.771062603624814,0.593134112221485,0.7841012060745058,0.6865709478104364,0.4675345452907464,0.1899963451368504,0.3711497293464104,,0.24424068532190962,0.23528954139017527,0.2782660762400004,1.0,0.9416666666666667,0.975,1,1,2.0,metal_series,0.8016323460000008,1.0,1.0,metal_series,-0.072018285195122,0.8742223263723046,0.8016323460000008,0.8016323460000008,0.45733590338396174,0.570505800652861,0.34874561853856506,0.17701033801006805,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.8333333333333334,0.16666666666666666,0.0,0.18333333333333332,0.0,0.0,1.0,6.0,6.0,3.0,5.4,4.0,0.0,29.0,4.027400000000003,59.040000000000006,0.0,6.0
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,tan055,8446d46b88c7a233,0.65,14,7.0,7.0,ALREADY_GOOD,ALREADY_GOOD,,True,5,5,0.4961318482919289,0.6047466988804244,0.489618815583064,0.5529918835182392,0.5114801192183477,0.4531531184120547,0.43539047231665884,1.2189233587048125,0.9868723752944146,1.1146067026780617,1.030935871138407,0.19891046567781995,0.44841612822872295,0.9038245171571216,0.9601190476190478,0.44106950350485236,0.4390972306865887,0.9669758744117924,0.9666666666666667,0.8119047619047619,0.9095238095238095,1,1,2.0,metal_series,3.503109436671369,1.0,1.0,metal_series,0.24691403283127125,0.9244245760003342,3.503109436671369,3.5031094366713686,1.7398848334818198,0.49666870674044566,1.1711358604492121,0.6451326763858041,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,3.0,2.0,3.0,4.0,0.0,0.75,49.0,12.646599999999985,49.85,0.0,3.0
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,tan004,95d93ab812ee7f34,0.375,5,3.0,2.0,ALREADY_GOOD,ALREADY_GOOD,,False,5,5,0.4437690251139053,0.3314302945500204,0.30291096100500037,0.35959216133148103,0.3377332296886753,0.2177123594689884,0.25581920026322635,0.7468531506112889,0.6825869852616462,0.8103137915927818,0.7610563391664998,0.419619641557671,0.1259852823391811,0.2838983236985582,,0.19954535614527763,0.18897074358949179,0.22225210024000028,1.0,0.95,0.9916666666666667,1,1,2.0,metal_series,0.6532125140000005,1.0,1.0,metal_series,-0.05930155526829272,0.932452759748209,0.6532125140000005,0.6532125140000005,0.3572841862420848,0.5469646992128576,0.27805428658727666,0.15050372295470607,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.09999999999999999,0.0,0.0,1.0,6.0,6.0,3.0,5.4,3.0,0.0,26.0,2.7220000000000004,55.38000000000001,0.0,6.0
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,tan062,4fdf7b59230b8c11,0.65,14,7.0,7.0,ALREADY_GOOD,ALREADY_GOOD,,False,5,5,0.43820635744060327,0.17602405633922596,0.15530634198424442,0.1431448761945634,0.14520829080978145,0.10883646903772566,0.10879646261424919,0.40169215564857513,0.35441371250597486,0.3266608842249989,0.3313696580257025,0.43559062169972934,0.12428005144459993,0.2836107905199561,0.9464285714285715,0.1379629383909629,0.1146772358935797,0.4379377221886297,1.0,1.0,1.0,1,1,2.0,metal_series,1.467585685177242,1.0,1.0,metal_series,0.10567368211002057,0.8319105289235643,1.467585685177242,1.467585685177242,1.1940462954574236,0.8136126616097494,0.528354946632151,0.3846349818388063,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,3.0,2.0,3.0,4.0,0.0,0.6470588235294118,35.0,7.185200000000009,49.85,0.0,3.0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,tan052,78390597da293c11,0.6764705882352942,12,6.0,6.0,ALREADY_GOOD,ALREADY_GOOD,,True,5,5,0.4312017466913928,0.5467776615834439,0.47532724426138123,0.5654412908633581,0.5254167990931533,0.3610837247745725,0.3504448600198444,1.2680321120655564,1.1023314444075494,1.3113149359945413,1.2184941344154374,0.17409453121440263,0.3581992794724036,0.8306999733207565,0.08736375332333811,0.4062888153868684,0.3792891963094297,0.2078189172590379,0.8861111111111111,0.8444444444444444,0.85,2,2,3.0,acid_sweep,0.7946663384491995,2.0,1.0,acid,-0.28285083134409683,0.8361217515533023,0.7946663384491995,0.8009338767819255,1.3873147965188877,1.7321215105708647,0.2971359447160183,0.5314106990320713,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.75,0.25,0.0,0.27499999999999997,0.0,0.0,1.0,4.0,3.0,3.0,4.5,0.0,0.7,61.0,14.072599999999978,64.17,0.0,4.0
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,tan053,247e5a274e303c6c,0.6785714285714286,9,5.0,4.0,ALREADY_GOOD,ALREADY_GOOD,,True,5,5,0.40755444881759323,0.43936729745732994,0.4253631037858094,0.31621754654622386,0.3324519204043318,0.2615885737517362,0.2597131261326952,1.0780579103774548,1.0436963822131817,0.775890307328608,0.8157239391419951,0.40755444881759323,0.2516082987185416,0.6173611880535562,0.63,0.25599785421031235,0.2470133559107166,0.36412888498765433,0.8958333333333334,0.9916666666666667,1.0,1,1,2.0,metal_series,1.312929219,1.0,1.0,metal_series,-0.11842114970333341,0.8787149030363212,1.312929219,1.312929219,0.41599842960392064,0.31684756770115013,0.44664274463403225,0.1632705692663717,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.2,0.0,0.0,1.0,2.0,1.0,4.0,4.0,0.0,0.6666666666666666,25.0,5.014300000000006,40.620000000000005,0.0,2.0
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,tan066,bf56a39ea17aa901,0.6739130434782609,12,6.0,6.0,ALREADY_GOOD,ALREADY_GOOD,,True,5,5,0.3781009728157677,0.5412111102533693,0.4471969406566651,0.566277134092399,0.4627663174878002,0.3332860746411098,0.3229060997788335,1.4313930647226294,1.1827447502351836,1.4976875882525735,1.2239225782507739,0.1814345435424227,0.3161335243832251,0.8361087305037518,0.9483978791326562,0.37113977213455474,0.36560350233283845,1.417237923163209,0.9916666666666667,0.888888888888889,0.9111111111111111,2,2,3.0,acid_sweep,4.481012420956573,2.0,1.0,acid,1.3245470232196492,0.6347808635213863,4.481012420956573,4.6020599913279625,3.1381071813183232,0.6818918456586214,1.6150412800899503,1.2143782078297978,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,3.0,2.0,3.0,4.0,1.0,0.6875,48.0,12.231999999999987,49.85,0.0,3.0
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,tan002,cc188ffb53a0d8d8,0.6538461538461539,5,3.0,2.0,ALREADY_GOOD,ALREADY_GOOD,,True,5,5,0.37519743446274073,0.40110354689685995,0.3548459171985563,0.4593617474810353,0.3263456838097608,0.2781036001309472,0.26899765036238166,1.0690466140079427,0.9457578453506045,1.2243200653512267,0.8697972156367951,0.33727737366261207,0.19301309734211786,0.5144307492893723,,0.25153203108571237,0.2365282458480929,0.24260104312000022,1.0,0.9583333333333334,0.9916666666666667,1,1,2.0,metal_series,0.6600519380000006,1.0,1.0,metal_series,-0.03642599908536588,0.3208009391537556,0.6600519380000006,0.6600519380000006,0.4343603832195459,0.658070006635668,0.29118606488327864,0.20450292035605738,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.09999999999999999,0.0,0.0,1.0,6.0,6.0,3.0,5.4,3.0,0.0,26.0,2.948800000000001,55.38000000000001,0.0,6.0
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,tan082,ef6f9e16f9fb42d1,0.6590909090909091,14,7.0,7.0,ALREADY_GOOD,ALREADY_GOOD,,False,5,5,0.36119702177840807,0.2782804867668116,0.20806774010623488,0.16549270162870983,0.16353705134567853,0.1489881818377429,0.14261006972593052,0.7704395938722186,0.5760505418394148,0.4581784778121412,0.45276411898547547,0.3601973241223825,0.14338352649563962,0.39696763220712394,0.5121144335269388,0.16662349827352832,0.16495863462112478,0.19478562328571428,1.0,1.0,1.0,1,1,2.0,metal_series,0.795880017,1.0,1.0,metal_series,-0.050056317688243056,0.8823052980510055,0.795880017,0.795880017,0.15362957097204574,0.1930310696216987,0.24302262225497812,0.053923747316412564,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.5,0.5,0.0,0.4,0.0,0.0,1.0,4.0,3.0,3.0,5.0,4.0,0.3469387755102041,46.0,9.722599999999998,66.4,0.0,4.0
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,tan019,f199403769328484,0.6388888888888888,19,10.0,9.0,ALREADY_GOOD,ALREADY_GOOD,,True,5,5,0.3570845045944001,0.3588071033751576,0.29055009954681427,0.2905669504002465,0.2857485212347065,0.2379211674901013,0.23592719889790845,1.004824064776247,0.8136732224682783,0.8137204125681438,0.8002266061902583,0.2558070681781163,0.24993967329827424,0.699945447316937,0.6176968353520657,0.24895183666734638,0.2349903552155951,0.3945574515049915,0.9592592592592593,0.9833333333333333,0.9944444444444444,2,2,3.0,"acid_sweep,metal_series",1.5051499790000036,2.0,2.0,"acid,metal_series",0.430096950206016,0.6215923609450249,1.5051499790000036,1.5051499790000036,1.3122893455402473,0.8718661687203493,0.47335899971661083,0.4305449023802204,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,1.0,0.0,0.6,0.0,0.0,1.0,8.0,11.0,1.0,5.714285714285714,6.0,0.06666666666666667,40.0,6.545600000000007,103.12,0.0,8.0
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,tan055,31a51aa8ed19ccbd,0.5365853658536586,14,7.0,7.0,ALREADY_GOOD,ALREADY_GOOD,,True,5,5,0.35490460584820643,0.38513559044644935,0.36243439014557005,0.39596643230976686,0.382949212076181,0.32900725302069067,0.331654127643055,1.0851805924749616,1.021216361166595,1.1156982067432584,1.0790201247485904,0.1351406796109608,0.3326094729268866,0.9371799279188404,0.9642857142857145,0.3256466783872724,0.3213868713076841,0.7500283372232198,1.0,0.9976190476190475,1.0,1,1,2.0,metal_series,2.5696246811446213,1.0,1.0,metal_series,0.19156583753753664,0.9488621604266895,2.5696246811446213,2.5696246811446213,1.4007865190790472,0.5451327306114901,0.8968374739089306,0.5194975881326617,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,3.0,2.0,3.0,4.0,0.0,0.7368421052631579,39.0,9.033800000000005,49.85,0.0,3.0
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,tan021,2babec8e20649922,0.6111111111111112,5,3.0,2.0,ALREADY_GOOD,ALREADY_GOOD,,False,5,5,0.3413505033780428,0.3309893997743313,0.39038108193323046,0.329487075836595,0.40966562775642407,0.2075188142343044,0.23575368588002174,0.969646731142398,1.1436370477558275,0.965245612869921,1.2001318987443321,0.29096833052357796,0.16800638750074617,0.4921814552436166,,0.29279372788271607,0.2635540442905234,0.4404811686540272,1.0,0.9333333333333333,0.9916666666666667,1,1,2.0,acid_sweep,1.2710667722865472,1.0,1.0,acid,0.7150536757054501,0.6134239451644642,1.2710667722865472,1.2710667722865472,0.4432041595688386,0.34868676393101666,0.5613198115031388,0.18886782592868848,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,10.0,0.2,0.8,0.0,0.4999999999999999,0.0,0.0,1.0,10.0,17.0,1.0,6.644444444444445,6.0,0.06976744186046512,38.0,4.848400000000005,121.58000000000001,0.0,10.0
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,tan080,6e9d73f2166a4e49,0.6590909090909091,14,7.0,7.0,ALREADY_GOOD,ALREADY_GOOD,,False,5,5,0.3381319964836346,0.2822089357127778,0.25687570314380015,0.2166160792509558,0.22831222144254235,0.18109798790076337,0.18358082727938171,0.8346117452579987,0.7596906114036823,0.640625795558037,0.6752162581975365,0.26733189507277305,0.17323283827898656,0.5123231166541523,-0.310731799140365,0.19647298836671462,0.18759199020671405,0.15973644828571423,0.9309523809523809,1.0,1.0,1,1,2.0,metal_series,0.7900504740000001,1.0,1.0,metal_series,0.035766667918097746,0.6315950250886075,0.7900504740000001,0.7900504740000001,0.18996210569233032,0.24044299945870334,0.20523734132532728,0.0700708773872277,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.5,0.5,0.0,0.4,0.0,0.0,1.0,4.0,3.0,3.0,5.0,4.0,0.17073170731707318,38.0,6.710680000000007,66.4,0.0,4.0
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,tan081,3a9b6362bd1ed5ab,0.6590909090909091,14,7.0,7.0,ALREADY_GOOD,ALREADY_GOOD,,False,5,5,0.3266103813295847,0.18801558556561906,0.17239629311838242,0.15981194501427046,0.15379611044003702,0.13032054777791718,0.1270417442430211,0.5756571018968663,0.5278347014463578,0.4893045480174225,0.4708855542617929,0.3099999831532905,0.12977264870342892,0.39733167137903824,-0.46580038265683227,0.13428335598792737,0.13188153097468763,0.0845694082755102,1.0,1.0,1.0,1,1,2.0,metal_series,0.316269962,1.0,1.0,metal_series,-0.01739082191413474,0.5647012744842276,0.316269962,0.316269962,0.30333331617358716,0.9590961919222261,0.1055377842076138,0.08012683930361275,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.5,0.5,0.0,0.4,0.0,0.0,1.0,4.0,3.0,3.0,5.0,4.0,0.17073170731707318,38.0,6.710680000000007,66.4,0.0,4.0
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,tan080,b714c3a1d06e1a36,0.6590909090909091,14,7.0,7.0,ALREADY_GOOD,ALREADY_GOOD,,False,5,5,0.31263567286706306,0.18966491160110682,0.1499346355234218,0.1320567343003996,0.12095295454508505,0.11864797781378103,0.11651902719482926,0.6066643318779393,0.47958262135740354,0.42239816425732046,0.3868814887177507,0.24947772862745857,0.11829523921283915,0.37838049038997507,-0.031208591048094734,0.11124519222025879,0.10971859450043978,0.09554702128571428,0.8928571428571428,1.0,1.0,1,1,2.0,metal_series,0.477121255,1.0,1.0,metal_series,0.014809173046763548,0.26700547106993955,0.477121255,0.477121255,0.17308615992279563,0.36277184910321303,0.13069770923384016,0.06348800062655251,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.5,0.5,0.0,0.4,0.0,0.0,1.0,4.0,3.0,3.0,5.0,4.0,0.17073170731707318,38.0,6.710680000000007,66.4,0.0,4.0
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,tan042,ad3b475975074a0b,0.3409090909090909,6,3.0,3.0,ALREADY_GOOD,ALREADY_GOOD,,False,5,5,0.3012458003972668,0.12536597744258118,0.11068128571161324,0.0658558363741077,0.11965218892174678,0.05322968310193527,0.05651589118840308,0.4161584237099912,0.3674118794872915,0.2186116330493589,0.39719122644682814,0.2983376940343687,0.045760365896892564,0.1519037471611098,0.9776709006307398,0.08705213866232415,0.07499598918694131,0.14882440425086155,1.0,1.0,1.0,1,1,2.0,metal_series,0.5314789170422551,1.0,1.0,metal_series,0.07444928325214696,0.7310628082420744,0.5314789170422551,0.5314789170422551,0.20089630123288393,0.3779948645016745,0.20171374219122634,0.07998783971408371,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.175,0.0,0.0,1.0,2.0,1.0,4.0,4.0,1.0,0.4642857142857143,28.0,6.032000000000007,37.38,0.0,2.0
C1COCCOCCOCCOCCOCCO1,tan003,9c22220163877d7e,0.375,5,3.0,2.0,ALREADY_GOOD,ALREADY_GOOD,,False,5,5,0.2943096673787339,0.2933419679345717,0.3022210855005465,0.3759715641877749,0.33841361796470387,0.25978740250574994,0.2673403720116562,0.9967119685439456,1.0268812716628564,1.2774692980232756,1.1498555959061127,0.23124594246312374,0.20115005001231714,0.6834639575514392,,0.24025180600441765,0.23366894683402978,0.2617865556,1.0,0.9833333333333333,0.9833333333333333,1,1,2.0,metal_series,0.7303784690000001,1.0,1.0,metal_series,-0.06686843182926828,0.8684794110035983,0.7303784690000001,0.7303784690000001,0.3537690313651513,0.4843639926153837,0.32487650575044763,0.14525035625317004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.09999999999999999,0.0,0.0,1.0,6.0,6.0,3.0,5.4,1.0,0.0,18.0,0.09960000000000102,55.38000000000001,0.0,6.0
CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3cccnc3c2n1,tan078,ef01ad0713956509,0.5652173913043478,6,3.0,3.0,ALREADY_GOOD,ALREADY_GOOD,,False,5,5,0.2882337043678301,0.2491834551963388,0.21961892931384716,0.21124167132736002,0.2496280039795376,0.1625720356787274,0.19115257395980434,0.8645187964497822,0.7619474266395299,0.7328833100579504,0.8660611170613631,0.22374218497657866,0.18149923351189876,0.6296946913615561,0.007023979126004099,0.18271706917539984,0.15084593265667773,0.17292250008525414,1.0,1.0,1.0,1,1,2.0,acid_sweep,0.4771212547196624,1.0,1.0,acid,-0.10122363022115238,0.5722598629015568,0.4771212547196624,0.47712125471966244,0.12818064932728027,0.2686542426255861,0.20849165702690206,0.0492579168152481,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.3333333333333333,0.6666666666666666,0.0,0.4666666666666666,0.0,0.0,1.0,3.0,2.0,3.0,4.0,3.0,0.3548387096774194,29.0,6.385800000000008,46.09,0.0,3.0
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,tan081,0fc67840f95a5de5,0.6153846153846154,14,7.0,7.0,ALREADY_GOOD,ALREADY_GOOD,,True,5,5,0.2838207118757787,0.3287737735187812,0.2477808142404464,0.2500713677543495,0.24622806585349738,0.18994906318681276,0.18604097322135868,1.1583854164338696,0.873018789230907,0.8810892133333792,0.8675479115888671,0.2790944797186643,0.18763984378427254,0.6611210385040465,0.7154264244777299,0.20770703416236982,0.2045824489626523,0.30502717197959184,1.0,1.0,1.0,1,1,2.0,metal_series,1.051152522,1.0,1.0,metal_series,0.06327916092364597,0.6569150778407612,1.051152522,1.051152522,0.408287584742674,0.38841897459926755,0.3560437320664883,0.12893624114805752,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,1.0,3.0,2.0,3.0,4.0,3.0,0.1875,30.0,5.031840000000005,53.510000000000005,0.0,3.0
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,tan049,2c13bce96e7143b0,0.625,9,5.0,4.0,ALREADY_GOOD,ALREADY_GOOD,,True,5,5,0.2700896708855857,0.31344291779726874,0.25432474107338987,0.4037412160667273,0.3244233769831612,0.20444683001961594,0.2131236839873216,1.160514272054662,0.9416307563317587,1.4948413789498767,1.2011691373439901,0.15902970181474316,0.19960421123696934,0.7390294141293721,0.37666666666666665,0.23593952540284585,0.22912671618100572,0.23243085054320992,1.0,0.9916666666666667,1.0,1,1,2.0,metal_series,0.7861201800000001,1.0,1.0,metal_series,-0.05054929300333339,0.3964291580918027,0.7861201800000001,0.7861201800000001,0.3741338997031636,0.4759245586383033,0.28384895339392285,0.1205478622507806,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.2,0.0,0.0,1.0,2.0,1.0,4.0,4.0,0.0,0.6363636363636364,23.0,4.234100000000004,40.620000000000005,0.0,2.0
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,tan055,72a9f62fea190bb3,0.6888888888888889,14,7.0,7.0,ALREADY_GOOD,ALREADY_GOOD,,True,5,5,0.2670189634563714,0.42945069623996734,0.33634868578622285,0.30679830095612304,0.28223278600816,0.23585906998690867,0.23651225018422428,1.608315344652051,1.2596434404224603,1.1489757018933648,1.0569765620945286,0.11261705535427495,0.23749782107895473,0.8894417759874191,0.9815476190476191,0.25542418385536686,0.2534082600125308,0.8937494897959184,0.9857142857142858,0.9214285714285714,0.9595238095238094,1,1,2.0,metal_series,3.1443400000000006,1.0,1.0,metal_series,0.22630418229854687,0.9195209951035341,3.1443400000000006,3.1443400000000006,2.0838702941533134,0.6627369477070905,1.0762396877981033,0.7714749579388904,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,3.0,2.0,3.0,4.0,0.0,0.7,41.0,9.525800000000002,49.85,0.0,3.0
