grouping,pair_label,n_rows,baseline_mae,baseline_sign_accuracy,2d_ensemble_mae,2d_ensemble_sign_accuracy,delta3d_unshrunk_mae,delta3d_unshrunk_sign_accuracy,delta3d_mae,delta3d_sign_accuracy,simplicial_unshrunk_mae,simplicial_unshrunk_sign_accuracy,simplicial_mae,simplicial_sign_accuracy,mae_reduction_simplicial_vs_delta3d
pair_type,Sm-Eu,106,0.1622482934912444,0.6886792452830188,0.16613471569518817,0.6886792452830188,0.16565971666211643,0.7452830188679245,0.16365734367886542,0.7075471698113207,0.18740277115150072,0.6792452830188679,0.16452535912821473,0.6981132075471698,-0.0008680154493493075
pair_type,Gd-Tb,98,0.12186991343665304,0.8877551020408163,0.12216410172633155,0.8979591836734694,0.13132610750080126,0.9387755102040817,0.1325211456798452,0.8877551020408163,0.21462126832334721,0.8571428571428571,0.13469968703275106,0.8877551020408163,-0.0021785413529058772
pair_type,Dy-Ho,96,0.10750432997995417,0.7083333333333334,0.10993169436956658,0.7083333333333334,0.10880264272703379,0.7916666666666666,0.1076808691388471,0.7708333333333334,0.12800668390857636,0.5520833333333334,0.10911335531114726,0.7604166666666666,-0.001432486172300157
pair_type,Ho-Er,96,0.12003246096432574,0.6666666666666666,0.11150817783063705,0.6770833333333334,0.08589517778560367,0.6770833333333334,0.09206133096953435,0.6770833333333334,0.11283806956146201,0.3958333333333333,0.09228961082642106,0.6770833333333334,-0.00022827985688671226
pair_type,La-Ce,95,0.20934668638034948,0.8210526315789474,0.204450174355564,0.8210526315789474,0.19763862496243334,0.8315789473684211,0.19931376715200383,0.8315789473684211,0.1792543811709058,0.7789473684210526,0.19826579140917,0.8315789473684211,0.0010479757428338288
pair_type,Er-Tm,89,0.07468247033571797,0.5056179775280899,0.07541208259276076,0.5168539325842697,0.07102375259856716,0.5168539325842697,0.07314166737916229,0.5168539325842697,0.08976436191254528,0.4606741573033708,0.07335611406484802,0.5168539325842697,-0.00021444668568572356
pair_type,Tb-Dy,88,0.1506261177989684,0.6022727272727273,0.15013050193414604,0.6704545454545454,0.1374053252415288,0.7954545454545454,0.14134722843099426,0.7954545454545454,0.1716326298499429,0.38636363636363635,0.14233536853942524,0.7727272727272727,-0.0009881401084309849
pair_type,Tm-Yb,86,0.056577009957406686,0.4883720930232558,0.0559807555246151,0.4883720930232558,0.0648176411181797,0.5232558139534884,0.06220216125414183,0.4883720930232558,0.05798055346153662,0.5348837209302325,0.06215645568711207,0.4883720930232558,4.570556702976347e-05
pair_type,Eu-Gd,83,0.09832353846624826,0.7349397590361446,0.10083406000609728,0.7349397590361446,0.09888256341011549,0.7469879518072289,0.09537395065164256,0.7469879518072289,0.16897460600674222,0.3855421686746988,0.09484328625055323,0.7469879518072289,0.0005306644010893286
pair_type,Yb-Lu,82,0.10125885313507839,0.573170731707317,0.09593796452521429,0.573170731707317,0.09394836244045442,0.524390243902439,0.09374847011548347,0.5487804878048781,0.09156293181080453,0.45121951219512196,0.09437564137220661,0.5487804878048781,-0.0006271712567231386
pair_type,Ce-Pr,81,0.1673960931675298,0.8148148148148148,0.1667017338414461,0.8148148148148148,0.16751404388393276,0.8148148148148148,0.16985041957343955,0.8148148148148148,0.15676437968115844,0.8024691358024691,0.1692863058556529,0.8148148148148148,0.0005641137177866407
pair_type,Pr-Nd,81,0.1222697043400425,0.7901234567901234,0.12484664636306882,0.7901234567901234,0.13493009059849392,0.7777777777777778,0.12946474816761033,0.7777777777777778,0.18508918031277316,0.41975308641975306,0.13012923979112456,0.7777777777777778,-0.0006644916235142295
