context,outer_fold,inner_fold,initialization,epoch,model_seed,train_loss,validation_macro_group_mae,validation_r2,validation_group_balanced_r2
inner_fixed_fit,0,0,0,1,9001,0.5117149005333582,,,
inner_fixed_fit,0,0,0,2,9001,0.5090252955754598,,,
inner_fixed_fit,0,0,0,3,9001,0.5019509394963583,,,
inner_fixed_fit,0,0,0,4,9001,0.49024905264377594,,,
inner_fixed_fit,0,0,0,5,9001,0.46647628645102185,,,
inner_fixed_fit,0,0,0,6,9001,0.46375816067059833,,,
inner_fixed_fit,0,0,0,7,9001,0.4399421016375224,,,
inner_fixed_fit,0,0,0,8,9001,0.4458901931842168,,,
inner_fixed_fit,0,0,0,9,9001,0.40620705982049304,,,
inner_fixed_fit,0,0,0,10,9001,0.39150749643643695,,,
inner_fixed_fit,0,0,0,11,9001,0.39699320991834003,,,
inner_fixed_fit,0,0,0,12,9001,0.37692439059416455,,,
inner_fixed_fit,0,0,0,13,9001,0.40305793285369873,,,
inner_fixed_fit,0,0,0,14,9001,0.3742394993702571,,,
inner_fixed_fit,0,0,0,15,9001,0.36606064438819885,,,
inner_fixed_fit,0,0,0,16,9001,0.36356161038080853,,,
inner_fixed_fit,0,0,0,17,9001,0.34581556419531506,,,
inner_fixed_fit,0,0,0,18,9001,0.3487620676557223,,,
inner_fixed_fit,0,0,0,19,9001,0.3205118328332901,,,
inner_fixed_fit,0,0,0,20,9001,0.33247407774130505,,,
inner_fixed_fit,0,0,0,21,9001,0.3875744516650836,,,
inner_fixed_fit,0,0,0,22,9001,0.33879126856724423,,,
inner_fixed_fit,0,0,0,23,9001,0.3333948974808057,,,
inner_fixed_fit,0,0,0,24,9001,0.32655643423398334,,,
inner_fixed_fit,0,0,0,25,9001,0.33605001370112103,,,
inner_fixed_fit,0,0,0,26,9001,0.35535041739543277,,,
inner_fixed_fit,0,0,0,27,9001,0.3212124879161517,,,
inner_fixed_fit,0,0,0,28,9001,0.3250773424903552,,,
inner_fixed_fit,0,0,0,29,9001,0.31846953680117923,,,
inner_fixed_fit,0,0,0,30,9001,0.3145574902494748,,,
