context,candidate_index,inner_fold_count,inner_split_seed,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected,2d_ensemble_weight,delta3d_weight,simplicial_weight,inner_group_balanced_r2,raw_selected,selected_after_gate
outer_0:baseline,0.0,3.0,275015.0,0.35,2.0,0.1390427926739268,-0.02334365702808494,0.13091169212678888,True,,,,,,
outer_0:baseline,1.0,3.0,275015.0,0.7,2.0,0.149831899544637,-0.1828356543544245,0.14504517883046433,False,,,,,,
outer_0:baseline,2.0,3.0,275015.0,1.0,4.0,0.15262340833947366,-0.20319248456545602,0.15236219274950422,False,,,,,,
outer_0:2d_second_unshrunk,0.0,3.0,275015.0,0.35,2.0,0.13819662097862281,-0.012838177348452717,0.1300756416858882,True,,,,,,
outer_0:2d_second_unshrunk,1.0,3.0,275015.0,0.7,2.0,0.15027357145977327,-0.17871502469596234,0.14479615774293006,False,,,,,,
outer_0:2d_second_unshrunk,2.0,3.0,275015.0,1.0,4.0,0.15238713708259047,-0.2098849265709346,0.15248738461048614,False,,,,,,
outer_0:delta3d_unshrunk,0.0,3.0,275015.0,0.35,2.0,0.13527760789101242,0.09193079354853273,0.1262160041887509,True,,,,,,
outer_0:delta3d_unshrunk,1.0,3.0,275015.0,0.7,2.0,0.1430388134992299,-0.01036043561743405,0.13804576502114327,False,,,,,,
outer_0:delta3d_unshrunk,2.0,3.0,275015.0,1.0,4.0,0.1455885992298888,-0.05336051698416178,0.14111309246955395,False,,,,,,
outer_0:2d_ensemble_weight,,,,,,0.1390427926739268,-0.02334365702808494,0.13091169212678888,False,0.0,,,,,
outer_0:2d_ensemble_weight,,,,,,0.1388105163024732,-0.02015121425703592,0.13067575770145992,False,0.25,,,,,
outer_0:2d_ensemble_weight,,,,,,0.1385813842840267,-0.01733615338674732,0.13044351492200815,False,0.5,,,,,
outer_0:2d_ensemble_weight,,,,,,0.13837480066145363,-0.014898474417219587,0.13023950691705308,False,0.75,,,,,
outer_0:2d_ensemble_weight,,,,,,0.13819662097862281,-0.012838177348452717,0.1300756416858882,True,1.0,,,,,
