regime,comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_worse_one_sided,groups_improved,groups_total,bootstrap_unit,bootstrap_replicates
unseen_conditions,MC_ecfp_vs_A_metal,MC_ecfp,A_metal,-0.5210305178838631,-0.6923092351145917,-0.3520227245594117,1.0,18,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_A_cond,MC_ecfp,A_cond,-0.23772224141981474,-0.3545519427299276,-0.12111071103722405,1.0,23,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_A_physchem,MC_ecfp,A_physchem,-0.2713504214630434,-0.4036371078362378,-0.13879579420349847,1.0,18,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_A_ecfp,MC_ecfp,A_ecfp,-0.3155358026826247,-0.40355693663836645,-0.2243985359629285,1.0,18,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_A_lig2d_ext,MC_ecfp,A_lig2d_ext,-0.27789693200297316,-0.4120086264893281,-0.14279391938018368,1.0,16,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_A_donors,MC_ecfp,A_donors,-0.29175763258976517,-0.4200391449566621,-0.16269604420585226,1.0,17,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_A_complex_phys,MC_ecfp,A_complex_phys,-0.1903235381030352,-0.2993514688797457,-0.06879243826030337,0.9986002799440112,22,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_A_polyhedron,MC_ecfp,A_polyhedron,-0.22490999789729846,-0.3322336125519902,-0.11460160540109496,1.0,22,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC,MC_ecfp,MC,-0.2249954711591905,-0.3450229297744441,-0.1071325383422225,1.0,23,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC_physchem,MC_ecfp,MC_physchem,0.014137957490280647,-0.061361755766891894,0.10045803672367609,0.3643271345730854,39,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC_lig2d_ext,MC_ecfp,MC_lig2d_ext,0.008286403461978592,-0.09541735151498712,0.11749995959423555,0.4403119376124775,31,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC_donors,MC_ecfp,MC_donors,-0.10229916929043581,-0.20466150129115412,-0.0034892256760003758,0.9782043591281744,31,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC_complex_phys,MC_ecfp,MC_complex_phys,-0.0029795821394646726,-0.07978209102511312,0.0818613998146818,0.5418916216756648,26,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC_polyhedron,MC_ecfp,MC_polyhedron,-0.03728280518438404,-0.11109112847598507,0.04069559801796443,0.8260347930413917,26,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC_all2d,MC_ecfp,MC_all2d,0.00423380645965473,-0.08463724708896328,0.09216013451744484,0.47990401919616077,28,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC_all3d,MC_ecfp,MC_all3d,-0.004866321493570107,-0.0873355690368235,0.08501727013973515,0.5582883423315337,32,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC_everything,MC_ecfp,MC_everything,0.034693305448502375,-0.043841362126496905,0.11833573405547652,0.1861627674465107,38,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC@hgb,MC_ecfp,MC@hgb,-0.13273627555293924,-0.24091570261331804,-0.025419309967818573,0.9934013197360528,34,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC@ridge,MC_ecfp,MC@ridge,-0.3952310668247824,-0.5162155786554815,-0.2713042155613089,1.0,17,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC_ecfp@hgb,MC_ecfp,MC_ecfp@hgb,-0.06453308238958164,-0.14850416626312496,0.022321099081721724,0.9278144371125775,36,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC_ecfp@ridge,MC_ecfp,MC_ecfp@ridge,-0.31817275447170207,-0.4312214987145591,-0.2084624136700226,1.0,14,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC_lig2d_ext@hgb,MC_ecfp,MC_lig2d_ext@hgb,-0.007558015729569364,-0.10493543095492605,0.08879711445477488,0.5694861027794441,39,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC_lig2d_ext@ridge,MC_ecfp,MC_lig2d_ext@ridge,-0.3274159333378661,-0.47072854775672435,-0.19379481616489852,1.0,13,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC_all2d@hgb,MC_ecfp,MC_all2d@hgb,-0.005132255557345031,-0.0955351356711773,0.08311603832779418,0.5522895420915817,38,74,ecfp_cluster,5000
