metal,total_rows,rows_with_geometry,rows_without_geometry
Ce,305,283,22
Dy,409,387,22
Er,322,292,30
Eu,1566,1370,196
Gd,397,382,15
Ho,281,269,12
La,418,370,48
Lu,255,205,50
Nd,635,587,48
Pr,355,345,10
Sm,347,342,5
Tb,259,242,17
Tm,202,177,25
Yb,241,228,13
