metal_symbol,total_complexes,accepted_complexes,complexes_without_geometry,total_dataset_rows,rows_with_geometry,rows_without_geometry
Ce,77,71,6,305,283,22
Dy,85,80,5,409,387,22
Er,84,76,8,322,292,30
Eu,236,204,32,1566,1370,196
Gd,84,81,3,397,382,15
Ho,66,63,3,281,269,12
La,94,89,5,418,370,48
Lu,69,61,8,255,205,50
Nd,91,84,7,635,587,48
Pr,85,80,5,355,345,10
Sm,86,81,5,347,342,5
Tb,72,67,5,259,242,17
Tm,60,55,5,202,177,25
Yb,67,63,4,241,228,13
