extractant,n_rows,sd_true,sd_pred,span_true,span_pred,sd_ratio,span_ratio,model,split_seed
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,5,0.27805428658727666,0.3341645624166416,0.6532125140000005,0.7830460071563721,1.201796118729329,1.1987614908987667,GEN10_SET_ATTENTION,104729
C1COCCOCCOCCOCCOCCO1,5,0.32487650575044763,0.17248172740185375,0.7303784690000001,0.41168490052223183,0.5309147455998089,0.5636596887718931,GEN10_SET_ATTENTION,104729
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,7,1.0923953978158119,0.061393632056518946,2.854369913333206,0.15480956435203552,0.05620092521377547,0.0542359851920019,GEN10_SET_ATTENTION,104729
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,14,0.6819128154648445,0.32470337159404694,2.2463344173155235,1.1559986512059077,0.47616552179431326,0.514615563157057,GEN10_SET_ATTENTION,104729
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,3,0.29407376578754535,0.22390760788020672,0.5740312677277188,0.40400674853461727,0.7613994647926859,0.7038061709318776,GEN10_SET_ATTENTION,104729
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,14,0.528354946632151,0.6661023768735488,1.467585685177242,1.9568302631378174,1.2607100229106016,1.3333669596957733,GEN10_SET_ATTENTION,104729
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,6,0.20171374219122631,0.09633377988275388,0.5314789170422551,0.26573550701141363,0.4775766828589628,0.4999925650678,GEN10_SET_ATTENTION,104729
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,8,0.3237551309679372,0.0316133000503217,0.9195300453453271,0.09055542945861816,0.09764571129979249,0.09848012027123085,GEN10_SET_ATTENTION,104729
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,6,0.5939206167929916,0.4058163777446685,1.274157849263679,0.9889217019081116,0.6832838703865268,0.7761375111251703,GEN10_SET_ATTENTION,104729
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,11,0.4284083783045114,0.5720685726204363,1.1760912590556813,1.971819542180372,1.3353346983653334,1.6765871925309643,GEN10_SET_ATTENTION,104729
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,19,0.4733589997166108,0.39547309772456135,1.5051499790000036,1.6054350191206481,0.835461241808695,1.0666279384246296,GEN10_SET_ATTENTION,104729
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,5,0.5613198115031388,0.060850480449284296,1.2710667722865472,0.15801572799682595,0.10840608010313213,0.12431740915748142,GEN10_SET_ATTENTION,104729
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,11,0.4298868162346492,0.4114746091151942,1.4471580313422285,1.1812894758925692,0.9571696399514497,0.8162822928169993,GEN10_SET_ATTENTION,104729
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,12,0.6165623141025381,0.14628632721410956,1.8581933381044045,0.47746630991113603,0.23726122059056182,0.25695190060158807,GEN10_SET_ATTENTION,104729
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,22,1.1951031207154101,0.23587245092295006,4.021189299,0.781137451462425,0.19736577273913616,0.194255329301876,GEN10_SET_ATTENTION,104729
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,14,0.6465329191852247,0.5297952266449778,2.05470142458098,1.4586695432662962,0.8194404506310949,0.7099180084346153,GEN10_SET_ATTENTION,104729
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,17,0.5798927650898932,0.860483924005394,2.440023247079987,2.937919378280639,1.4838673213520854,1.20405384735432,GEN10_SET_ATTENTION,104729
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,12,0.2971359447160183,0.8175578592922459,0.8009338767819255,2.2890912433929493,2.7514606490090263,2.8580277470473536,GEN10_SET_ATTENTION,104729
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,184,1.4720374480280964,0.7415482875722433,5.947784810126583,4.296983350891035,0.5037564014187291,0.7224510448957526,GEN10_SET_ATTENTION,104729
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,6,0.1577050762311345,0.09633376251281414,0.40792422957863855,0.2657355070114136,0.6108475694950123,0.6514334960830901,GEN10_SET_ATTENTION,104729
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,103,0.8533370482531842,0.5524882336652395,3.5903375202413543,2.813972556843116,0.6474443302282555,0.783762679964961,GEN10_SET_ATTENTION,104729
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,14,0.8968374739089305,0.5297952266449778,2.5696246811446213,1.4586695432662964,0.5907371648241094,0.5676585977593204,GEN10_SET_ATTENTION,104729
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,14,0.6642719948264246,0.2289176326474931,1.9014554980111802,0.634135365486145,0.34461430623356276,0.33349997733284653,GEN10_SET_ATTENTION,104729
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,44,1.1537760373446668,0.5986635560634442,3.8582333836145373,4.167408805963237,0.5188732792901694,1.080133934785213,GEN10_SET_ATTENTION,104729
CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,17,0.9221897656397258,0.33454899812674255,3.2587591751074756,1.3427425622940063,0.36277674139515625,0.41204105309491673,GEN10_SET_ATTENTION,104729
CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,21,1.1152005863134022,0.5693809112941663,3.355803685658789,2.3209339944911767,0.5105636764202297,0.6916179287870191,GEN10_SET_ATTENTION,104729
CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,21,0.9937681077729553,0.5693186673235882,2.8374225502177,2.2373659494207496,0.5728888488879335,0.7885205357408218,GEN10_SET_ATTENTION,104729
CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,16,1.0509074726322123,0.4817924790810386,2.5744857600077724,1.9234614372253418,0.45845375699374463,0.7471245198184879,GEN10_SET_ATTENTION,104729
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,13,1.4377466303749478,0.5421024912614573,4.615047401138958,1.4730758666992188,0.3770500864398362,0.3191897587738048,GEN10_SET_ATTENTION,104729
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,14,1.2359021603901914,0.6481563888443436,3.33067,1.9435991644859314,0.5244398866004989,0.5835460026018583,GEN10_SET_ATTENTION,104729
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,35,0.7006928889443791,0.03086679320384851,3.083267703937862,0.12303094535601049,0.04405181455509064,0.03990277756254472,GEN10_SET_ATTENTION,104729
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,151,1.0681579711793512,0.5671130768761337,4.182140291236614,3.0553643196744886,0.5309262226915605,0.7305743248443372,GEN10_SET_ATTENTION,104729
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,74,0.6092067491411184,0.7816945667680081,2.8825219712427854,2.76245066227756,1.2831351062181586,0.9583450498684466,GEN10_SET_ATTENTION,104729
CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,3,0.45983091386080754,1.5288478525119977,0.9030899869919438,2.9576183557510376,3.3248044149001807,3.2749985033079785,GEN10_SET_ATTENTION,104729
CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1,6,0.270013423007548,0.13502940531082425,0.5228787452803461,0.3271614532733036,0.5000840469588418,0.6256927752874963,GEN10_SET_ATTENTION,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,45,0.7188879872944712,0.47700654789188934,2.733338905967281,1.9149256672832833,0.6635338972446867,0.7005811328784436,GEN10_SET_ATTENTION,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,203,0.809482812855275,0.6824243292343315,3.140158093476081,3.8788758725411903,0.8430374535405238,1.2352485948398113,GEN10_SET_ATTENTION,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,59,0.8209691181396629,0.5858882728196022,3.5010291208607778,2.370020521941382,0.7136544601668332,0.6769496739743424,GEN10_SET_ATTENTION,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,14,0.27773812295575956,0.05990435383386318,1.052733006849215,0.20184326171875,0.21568646463202765,0.19173262394693816,GEN10_SET_ATTENTION,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,13,0.36033266642248896,0.1972091258253522,0.9952553363560341,0.6580730676651001,0.5472973843401838,0.6612102880799693,GEN10_SET_ATTENTION,104729
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,14,0.31722026574866735,0.18531647695603576,0.9777236049999998,0.5403683483600616,0.5841886441859974,0.5526800678603456,GEN10_SET_ATTENTION,104729
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,9,0.2054801471847816,0.0893431492183906,0.6569086599999999,0.23510479927062983,0.4348018552763017,0.3578957221703088,GEN10_SET_ATTENTION,104729
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,52,1.3621135926422387,0.7266658515913705,4.674861140737812,3.2160534105394465,0.5334840321076147,0.6879462969528699,GEN10_SET_ATTENTION,104729
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,9,0.4466427446340322,0.17863301117706343,1.312929219,0.5005573034286499,0.3999460717165143,0.3812523144316205,GEN10_SET_ATTENTION,104729
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,425,1.2679074658507743,0.7824317391499739,5.837794732531569,3.8927430880480687,0.6171047653110528,0.6668173970481442,GEN10_SET_ATTENTION,104729
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,14,1.0191039324912867,0.5297952266449779,3.049160994965825,1.4586695432662964,0.519863784010575,0.4783839048428616,GEN10_SET_ATTENTION,104729
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,8,0.2666221361061984,0.08091548951961089,0.7322109374746979,0.23533105850219727,0.303483764331486,0.3213979011483003,GEN10_SET_ATTENTION,104729
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,8,0.2972634880402459,0.08091548951961089,0.8154755734074559,0.23533105850219727,0.2722012382114547,0.28858137040067183,GEN10_SET_ATTENTION,104729
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,14,0.9593549453080178,0.5297952266449779,2.9340901138387667,1.4586695432662964,0.5522410962033222,0.49714544771014924,GEN10_SET_ATTENTION,104729
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,14,0.8553249331756868,0.5297952266449778,2.5070458724273257,1.4586695432662964,0.6194081408078816,0.5818280228969286,GEN10_SET_ATTENTION,104729
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,14,1.0298886246413006,0.5297952266449779,3.1420764610732848,1.4586695432662964,0.5144199226683371,0.4642374434032829,GEN10_SET_ATTENTION,104729
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,14,1.43968425321574,0.571742031240703,5.063708559391417,1.7820276601940497,0.39713015542375746,0.35192145031510724,GEN10_SET_ATTENTION,104729
