arm,equal_extractant_macro_mae,pooled_micro_mae,median_extractant_mae,worst_quartile_extractant_mae,pooled_r2,equal_extractant_macro_r2,median_extractant_r2,pearson_squared_scale_free,prediction_dispersion_ratio,adjacent_ln_mae,nonadjacent_ln_mae,sign_accuracy,within_pair_r2,median_pair_level_r2,macro_mae_split_sd,mean_delta_vs_A2_refit,positive_split_seeds,split_seed_count,per_seed_delta
SCALE_s50_TP,0.30380065077494856,0.4644166137728529,0.26477791225303027,0.5832502629577646,0.10171911586549176,-0.7993844123115302,0.5403268661122093,0.2539214089684438,0.8050660633393267,0.12548284587187436,0.529633310658036,0.7701149425287356,-0.22976165420931594,-0.46948748027335374,,0.012196272329722313,1,1,+0.0122
SCALE_s50,0.30511576074670627,0.4671875959999841,0.2611894745309347,0.5837326356639116,0.09875967831265542,-0.8074737211561352,0.5383179239447109,0.2555917452239908,0.8103508839279997,0.12495667789196205,0.533038721395992,0.767875802358561,-0.23202768160935805,-0.44659313100429565,,0.010881162357964602,1,1,+0.0109
A2_refit_TP,0.31554325192264365,0.4165382298661248,0.27373198134135157,0.5746820946647838,0.32897237923453704,-0.5427772432396296,0.5646521623827032,0.3742339094125387,0.7535192827281735,0.12246466366782549,0.47312305098758467,0.8420659799970145,-0.0660514774580141,-0.2142143999269135,,0.00045367118202721546,1,1,+0.0005
A2_refit,0.31599692310467087,0.41680820939669055,0.27215969802912343,0.5772784712722846,0.32530555767163083,-0.556004802742978,0.5605311751139597,0.37236536873050335,0.7569578980746913,0.1188505449315415,0.4741403979489913,0.8435587401104643,-0.06937048059400897,-0.17640502416286674,,0.0,0,1,+0.0000
A2_ens_TP,0.3160702808939691,0.41924086720934123,0.27751280909336673,0.5731778516613806,0.317542811049753,-0.5306653384623384,0.5656119703517163,0.3658989511304763,0.7502786766899794,0.12202674545446146,0.47642998533269926,0.8425138080310494,-0.07915162743540516,-0.22864983471991196,,-7.3357789298234e-05,0,1,-0.0001
A2_ens,0.31607338922623035,0.4184847866158988,0.2753158676665226,0.5752163221162522,0.31434260618970855,-0.5429637445932177,0.5562322498230946,0.36335988485952386,0.7515353324473415,0.11792387660671547,0.4763178844656544,0.8446036721898791,-0.08271044891079926,-0.18931546316142245,,-7.646612155948196e-05,0,1,-0.0001
A2_run_TP,0.3161718193082467,0.4160798851816205,0.27527338023876957,0.5777392566010645,0.328477753809164,-0.5234572056616985,0.563248049481542,0.3741219176373891,0.7490558542094995,0.12123356448751721,0.4728133975828888,0.8420659799970145,-0.06274260027230172,-0.22488461795201808,,-0.00017489620357585833,0,1,-0.0002
A2_run,0.3164422949099717,0.4155549170373346,0.27454923869333925,0.5794627656642568,0.32497446643281624,-0.535718085102144,0.5574055304368588,0.3715585192193731,0.7509346747695284,0.1163886453836073,0.4731196624374199,0.8450515002239141,-0.06650776184732576,-0.17459654645105327,,-0.00044537180530085374,0,1,-0.0004
HIER_TP,0.3220533418461092,0.3741763153774408,0.28941429434810456,0.5474410634269435,0.47900579815618805,-0.4173212483681575,0.4042517940352879,0.49873533743200243,0.7166499897924483,0.11756905889571881,0.4235519729525105,0.8437080161218092,0.16759004591859772,-0.0017224635220620677,,-0.0060564187414383075,0,1,-0.0061
HIER,0.3243332167552702,0.3768614058702052,0.2884142122800553,0.5525791958587447,0.4747876148933814,-0.43133959330308286,0.39995357522573516,0.4953011772186078,0.7215308310165017,0.11846717180914734,0.4265809087217544,0.8404239438722197,0.16565207857090547,-0.011502397518333485,,-0.008336293650599347,0,1,-0.0083
SCALE_TP,0.3481303316897284,0.5359668762429298,0.2949890370052047,0.655476703766331,-0.23380432661708683,-1.3802446494873408,0.4995255990460188,0.14403184862369758,0.889909142718996,0.1329631550845868,0.6135117360813366,0.6586057620540379,-0.4661744206723557,-0.9195582388659362,,-0.03213340858505753,0,1,-0.0321
SCALE,0.34930602869856636,0.5386450102548085,0.2924247450995251,0.6555403663773746,-0.2377024604830491,-1.3948423674895511,0.4894939684434395,0.14582810512218083,0.8946420090303107,0.13127540019058637,0.6170299423444177,0.6659202866099417,-0.4713628004589101,-0.8718807967324056,,-0.033309105593895494,0,1,-0.0333
PAIRMEAN_baseline,0.453040823865695,0.3860344773582971,0.3655566360358,0.7868713025621753,0.43695091389346363,-1.488606282355384,0.27662618232334923,0.43792072343585786,0.6878057324677831,0.12117705394929565,0.436997609203283,0.8508732646663681,0.0,-0.11457598550603754,,-0.13704390076102413,0,1,-0.1370
