outer_fold,arm,lambda,correction_kind,correction_parameters,inner_macro_mae,selected_feature_count
0,H2_E3_RAW_REAL,0.2,ridge,{'alpha': 10.0},0.2897872282134414,
0,H2_E3_RAW_SHUFFLED,0.4,elasticnet,"{'alpha': 0.01, 'l1_ratio': 0.25}",0.290112866223607,
0,H2_E3_COMPACT_REAL,0.2,ridge,{'alpha': 10.0},0.2897872282134414,
0,H2_E3_COMPACT_SHUFFLED,0.4,elasticnet,"{'alpha': 0.01, 'l1_ratio': 0.25}",0.290112866223607,
0,H2_E3_STABLE_REAL,0.2,ridge,{'alpha': 10.0},0.2897872282134414,7.0
0,H2_E3_STABLE_SHUFFLED,1.0,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.2903196027409447,3.0
1,H2_E3_RAW_REAL,0.0,ridge,{'alpha': 0.01},0.33747704135638057,
1,H2_E3_RAW_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.33747704135638057,
1,H2_E3_COMPACT_REAL,0.0,ridge,{'alpha': 0.01},0.33747704135638057,
1,H2_E3_COMPACT_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.33747704135638057,
1,H2_E3_STABLE_REAL,0.0,ridge,{'alpha': 0.01},0.33747704135638057,7.0
1,H2_E3_STABLE_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.33747704135638057,7.0
2,H2_E3_RAW_REAL,0.0,ridge,{'alpha': 0.01},0.3250862251432865,
2,H2_E3_RAW_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3250862251432865,
2,H2_E3_COMPACT_REAL,0.0,ridge,{'alpha': 0.01},0.3250862251432865,
2,H2_E3_COMPACT_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3250862251432865,
2,H2_E3_STABLE_REAL,0.0,ridge,{'alpha': 0.01},0.3250862251432865,7.0
2,H2_E3_STABLE_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3250862251432865,6.0
3,H2_E3_RAW_REAL,0.5,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.3309411495544353,
3,H2_E3_RAW_SHUFFLED,0.9,elasticnet,"{'alpha': 0.01, 'l1_ratio': 0.25}",0.32818128440961924,
3,H2_E3_COMPACT_REAL,0.5,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.3309411495544353,
3,H2_E3_COMPACT_SHUFFLED,0.9,elasticnet,"{'alpha': 0.01, 'l1_ratio': 0.25}",0.32818128440961924,
3,H2_E3_STABLE_REAL,0.5,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.330936781142348,2.0
3,H2_E3_STABLE_SHUFFLED,0.9,ridge,{'alpha': 100.0},0.328193688844629,4.0
4,H2_E3_RAW_REAL,0.1,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.34159033408072004,
4,H2_E3_RAW_SHUFFLED,0.3,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.34133823184472195,
4,H2_E3_COMPACT_REAL,0.1,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.34159033408072004,
4,H2_E3_COMPACT_SHUFFLED,0.3,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.34133823184472195,
4,H2_E3_STABLE_REAL,0.1,ridge,{'alpha': 100.0},0.3415707733431513,1.0
4,H2_E3_STABLE_SHUFFLED,0.2,elasticnet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.3413864004828562,1.0
