comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_candidate_better,extractants_improved,extractants_total,bootstrap_replicates,bootstrap_seed,bootstrap_unit,positive_delta_means_improvement,multiplicity_preserved
A2_current_champion_vs_H1_CATBOOST_NONE_RMSE,A2_current_champion,H1_CATBOOST_NONE_RMSE,-0.011037809187911323,-0.03489578185147819,0.013912964448900552,0.1852,13,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_NONE_MAE,A2_current_champion,H1_CATBOOST_NONE_MAE,-0.01603370054219624,-0.04220656218054047,0.010899935873238344,0.1201,11,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_NONE_HUBER,A2_current_champion,H1_CATBOOST_NONE_HUBER,-0.013275903474305127,-0.03872708567056663,0.01495327362634363,0.1621,11,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_RMSE,A2_current_champion,H1_CATBOOST_GROUP_SQRT_RMSE,-0.008474718101233215,-0.03181658648635519,0.015093219519096309,0.2332,14,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_MAE,A2_current_champion,H1_CATBOOST_GROUP_SQRT_MAE,-0.011412205095237955,-0.041962348466063025,0.020746675025648347,0.2289,11,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_HUBER,A2_current_champion,H1_CATBOOST_GROUP_SQRT_HUBER,-0.010946980991530108,-0.038903244987751155,0.01803718769408853,0.2165,13,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_RMSE,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_RMSE,-0.016139915995648978,-0.039943673642337016,0.006940351113343023,0.0834,14,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_MAE,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_MAE,-0.02155874241874846,-0.04950410349978268,0.0061860011984438985,0.0637,10,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_HUBER,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_HUBER,-0.01134699643519942,-0.036268509897174256,0.01266356313150893,0.1764,14,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H2_E3_RAW_REAL,A2_current_champion,H2_E3_RAW_REAL,-0.005803273306056274,-0.02724046085803293,0.01649187918050074,0.2934,16,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H2_E3_RAW_SHUFFLED,A2_current_champion,H2_E3_RAW_SHUFFLED,-0.006170372776428936,-0.02786820604068394,0.016299254597383663,0.2835,17,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H2_E3_COMPACT_REAL,A2_current_champion,H2_E3_COMPACT_REAL,-0.005803273306056276,-0.02724046085803293,0.01649187918050074,0.2934,16,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H2_E3_COMPACT_SHUFFLED,A2_current_champion,H2_E3_COMPACT_SHUFFLED,-0.006170372776428936,-0.02786820604068394,0.016299254597383663,0.2835,17,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H2_E3_STABLE_REAL,A2_current_champion,H2_E3_STABLE_REAL,-0.005854886041612882,-0.027320608973130336,0.016400159079103194,0.2923,16,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H2_E3_STABLE_SHUFFLED,A2_current_champion,H2_E3_STABLE_SHUFFLED,-0.004901828173871636,-0.026671737487680487,0.017600066564154915,0.3211,17,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H3_A2,A2_current_champion,H3_A2,-0.045202140082215986,-0.10791769679918756,0.005875231233125569,0.0426,13,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H3_A2_ELEC,A2_current_champion,H3_A2_ELEC,-0.0931629766813052,-0.15578827273263635,-0.040428976963218156,0.0,9,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H3_A2_LABEL_SHUFFLED,A2_current_champion,H3_A2_LABEL_SHUFFLED,-0.10347250637176739,-0.16245942801354624,-0.04832341468253832,0.0,10,34,10000,8871964,extractant,True,True
A2_current_champion_vs_H3_A2_ELEC_LABEL_SHUFFLED,A2_current_champion,H3_A2_ELEC_LABEL_SHUFFLED,-0.10003981623552384,-0.16440771147170535,-0.04081268745889148,0.0002,14,34,10000,8871964,extractant,True,True
H2_E3_RAW_SHUFFLED_vs_H2_E3_RAW_REAL,H2_E3_RAW_SHUFFLED,H2_E3_RAW_REAL,0.0003670994703726622,-0.0008934303665642761,0.0016944520011871573,0.7006,8,34,10000,8871964,extractant,True,True
H2_E3_COMPACT_SHUFFLED_vs_H2_E3_COMPACT_REAL,H2_E3_COMPACT_SHUFFLED,H2_E3_COMPACT_REAL,0.0003670994703726614,-0.0008934303665642777,0.0016944520011871573,0.7006,8,34,10000,8871964,extractant,True,True
H2_E3_STABLE_SHUFFLED_vs_H2_E3_STABLE_REAL,H2_E3_STABLE_SHUFFLED,H2_E3_STABLE_REAL,-0.0009530578677412455,-0.0023147959690929783,0.0003657233675517122,0.0782,6,34,10000,8871964,extractant,True,True
H3_A2_LABEL_SHUFFLED_vs_H3_A2,H3_A2_LABEL_SHUFFLED,H3_A2,0.05827036628955138,-0.020235855327698393,0.12746825631242462,0.93,20,34,10000,8871964,extractant,True,True
H3_A2_ELEC_LABEL_SHUFFLED_vs_H3_A2_ELEC,H3_A2_ELEC_LABEL_SHUFFLED,H3_A2_ELEC,0.006876839554218639,-0.05660204789622729,0.07129018689668712,0.586,16,34,10000,8871964,extractant,True,True
