outer_fold,selected_stage1_arm,inner_macro_mae,weighting_scheme,loss_name,search_phase,selected_candidate_index
0,H1_CATBOOST_NONE_MAE,0.28829862226225766,none,mae,expanded,1
1,H1_CATBOOST_GROUP_EQUAL_RMSE,0.32836914414475077,group_equal,rmse,expanded,0
2,H1_CATBOOST_NONE_MAE,0.32719295108126506,none,mae,expanded,1
3,H1_CATBOOST_GROUP_EQUAL_RMSE,0.3313557549745708,group_equal,rmse,expanded,0
4,H1_CATBOOST_NONE_RMSE,0.34143785361999196,none,rmse,expanded,1
