selection_source_arm,outer_fold,split_seed,feature,selection_frequency,mean_signed_importance_or_coefficient,fold_consistency,selected
H2_E3_RAW_REAL,2,196613,elec__even__absdelta_q_donor_min,0.0,0.0,0.0,False
H2_E3_RAW_REAL,2,196613,elec__even__compliance_q_donor_min,0.0,0.0,0.0,False
H2_E3_RAW_REAL,2,196613,elec__odd__delta_q_donor_max,1.0,-0.4866892397629761,1.0,True
H2_E3_RAW_REAL,2,196613,elec__even__absdelta_q_donor_max,0.0,0.0,0.0,False
H2_E3_RAW_REAL,2,196613,elec__even__compliance_q_donor_max,0.0,0.0,0.0,False
H2_E3_RAW_REAL,2,196613,elec__odd__delta_dipole_magnitude,1.0,0.021480410194661115,0.3333333333333333,True
H2_E3_RAW_REAL,2,196613,elec__even__absdelta_dipole_magnitude,0.0,0.0,0.0,False
H2_E3_RAW_REAL,2,196613,elec__even__compliance_dipole_magnitude,0.0,0.0,0.0,False
H2_E3_RAW_REAL,2,196613,elec__odd__delta_metal_minus_donor_charge,0.6666666666666666,0.08904252980602163,0.6666666666666666,True
H2_E3_RAW_REAL,2,196613,elec__even__absdelta_metal_minus_donor_charge,0.0,0.0,0.0,False
H2_E3_RAW_REAL,2,196613,elec__even__compliance_metal_minus_donor_charge,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,2,196613,elec__odd__delta_q_metal,1.0,-0.01210551607193766,0.3333333333333333,True
H2_E3_RAW_SHUFFLED,2,196613,elec__even__absdelta_q_metal,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,2,196613,elec__even__compliance_q_metal,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,2,196613,elec__odd__delta_q_donor_mean,0.6666666666666666,-0.011858862413024661,0.0,True
H2_E3_RAW_SHUFFLED,2,196613,elec__even__absdelta_q_donor_mean,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,2,196613,elec__even__compliance_q_donor_mean,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,2,196613,elec__odd__delta_q_donor_std,0.6666666666666666,-0.04322845862245598,0.0,True
H2_E3_RAW_SHUFFLED,2,196613,elec__even__absdelta_q_donor_std,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,2,196613,elec__even__compliance_q_donor_std,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,2,196613,elec__odd__delta_q_donor_min,1.0,0.0048960105857049074,0.3333333333333333,True
H2_E3_RAW_SHUFFLED,2,196613,elec__even__absdelta_q_donor_min,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,2,196613,elec__even__compliance_q_donor_min,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,2,196613,elec__odd__delta_q_donor_max,1.0,0.03384343961817379,0.3333333333333333,True
H2_E3_RAW_SHUFFLED,2,196613,elec__even__absdelta_q_donor_max,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,2,196613,elec__even__compliance_q_donor_max,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,2,196613,elec__odd__delta_dipole_magnitude,1.0,0.02823190835391173,0.3333333333333333,True
H2_E3_RAW_SHUFFLED,2,196613,elec__even__absdelta_dipole_magnitude,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,2,196613,elec__even__compliance_dipole_magnitude,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,2,196613,elec__odd__delta_metal_minus_donor_charge,0.3333333333333333,-0.0029858805749635076,0.3333333333333333,False
H2_E3_RAW_SHUFFLED,2,196613,elec__even__absdelta_metal_minus_donor_charge,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,2,196613,elec__even__compliance_metal_minus_donor_charge,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__odd__delta_q_metal,0.6666666666666666,-0.0029205317929672683,0.6666666666666666,True
H2_E3_RAW_REAL,3,196613,elec__even__absdelta_q_metal,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__even__compliance_q_metal,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__odd__delta_q_donor_mean,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__even__absdelta_q_donor_mean,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__even__compliance_q_donor_mean,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__odd__delta_q_donor_std,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__even__absdelta_q_donor_std,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__even__compliance_q_donor_std,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__odd__delta_q_donor_min,0.6666666666666666,-0.039070165003811975,0.6666666666666666,True
H2_E3_RAW_REAL,3,196613,elec__even__absdelta_q_donor_min,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__even__compliance_q_donor_min,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__odd__delta_q_donor_max,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__even__absdelta_q_donor_max,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__even__compliance_q_donor_max,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__odd__delta_dipole_magnitude,0.3333333333333333,5.134491701875836e-05,0.3333333333333333,False
H2_E3_RAW_REAL,3,196613,elec__even__absdelta_dipole_magnitude,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__even__compliance_dipole_magnitude,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__odd__delta_metal_minus_donor_charge,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__even__absdelta_metal_minus_donor_charge,0.0,0.0,0.0,False
H2_E3_RAW_REAL,3,196613,elec__even__compliance_metal_minus_donor_charge,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,3,196613,elec__odd__delta_q_metal,1.0,-0.008960589147724723,0.3333333333333333,True
H2_E3_RAW_SHUFFLED,3,196613,elec__even__absdelta_q_metal,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,3,196613,elec__even__compliance_q_metal,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,3,196613,elec__odd__delta_q_donor_mean,0.6666666666666666,-0.01729677127983015,0.6666666666666666,True
H2_E3_RAW_SHUFFLED,3,196613,elec__even__absdelta_q_donor_mean,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,3,196613,elec__even__compliance_q_donor_mean,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,3,196613,elec__odd__delta_q_donor_std,0.3333333333333333,0.008827971670635227,0.3333333333333333,False
H2_E3_RAW_SHUFFLED,3,196613,elec__even__absdelta_q_donor_std,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,3,196613,elec__even__compliance_q_donor_std,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,3,196613,elec__odd__delta_q_donor_min,1.0,-0.02238666911493377,0.3333333333333333,True
H2_E3_RAW_SHUFFLED,3,196613,elec__even__absdelta_q_donor_min,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,3,196613,elec__even__compliance_q_donor_min,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,3,196613,elec__odd__delta_q_donor_max,0.3333333333333333,0.013876249576849123,0.3333333333333333,False
H2_E3_RAW_SHUFFLED,3,196613,elec__even__absdelta_q_donor_max,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,3,196613,elec__even__compliance_q_donor_max,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,3,196613,elec__odd__delta_dipole_magnitude,0.6666666666666666,-0.01091864091163916,0.6666666666666666,True
H2_E3_RAW_SHUFFLED,3,196613,elec__even__absdelta_dipole_magnitude,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,3,196613,elec__even__compliance_dipole_magnitude,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,3,196613,elec__odd__delta_metal_minus_donor_charge,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,3,196613,elec__even__absdelta_metal_minus_donor_charge,0.0,0.0,0.0,False
H2_E3_RAW_SHUFFLED,3,196613,elec__even__compliance_metal_minus_donor_charge,0.0,0.0,0.0,False
H2_E3_RAW_REAL,4,196613,elec__odd__delta_q_metal,0.6666666666666666,-0.016558825961719602,0.6666666666666666,True
H2_E3_RAW_REAL,4,196613,elec__even__absdelta_q_metal,0.0,0.0,0.0,False
H2_E3_RAW_REAL,4,196613,elec__even__compliance_q_metal,0.0,0.0,0.0,False
H2_E3_RAW_REAL,4,196613,elec__odd__delta_q_donor_mean,0.0,0.0,0.0,False
H2_E3_RAW_REAL,4,196613,elec__even__absdelta_q_donor_mean,0.0,0.0,0.0,False
H2_E3_RAW_REAL,4,196613,elec__even__compliance_q_donor_mean,0.0,0.0,0.0,False
H2_E3_RAW_REAL,4,196613,elec__odd__delta_q_donor_std,0.3333333333333333,-0.0028390363654281214,0.3333333333333333,False
H2_E3_RAW_REAL,4,196613,elec__even__absdelta_q_donor_std,0.0,0.0,0.0,False
H2_E3_RAW_REAL,4,196613,elec__even__compliance_q_donor_std,0.0,0.0,0.0,False
H2_E3_RAW_REAL,4,196613,elec__odd__delta_q_donor_min,0.3333333333333333,-0.0003468557392999785,0.3333333333333333,False
