feature_set,split_seed,arm,bin,n_rows,n_ligands,pooled_mae,macro_mae_ligand,offset_mae,shape_mae,shape_r2,mean_prediction_sd
MC_lig2d_ext_massaction,104729,BASE,"[0.0, 0.4)",494,33,1.4878138642841032,1.5538949154878439,1.4401851988296672,0.44063199491362226,0.043646656238310766,
MC_lig2d_ext_massaction,104729,BASE,"[0.4, 0.6)",1448,61,1.2588952805943228,1.2936421875251218,1.1353834416179807,0.6178731877114318,0.22635295399900335,
MC_lig2d_ext_massaction,104729,BASE,"[0.6, 0.8)",3306,58,1.173014644770691,0.9733343700558295,0.8234441061159393,0.47390656161268435,0.182870989484465,
MC_lig2d_ext_massaction,104729,EXPANDED,"[0.0, 0.4)",494,33,1.2254576377267556,1.0608109575207327,0.9822119991303383,0.3573218547336257,0.047521889678804885,1.334024358843591
MC_lig2d_ext_massaction,104729,EXPANDED,"[0.4, 0.6)",1448,61,1.3041987996120392,1.2657616142113128,1.1031478762532654,0.5992194761559205,0.2014334522911947,1.2244358581584585
MC_lig2d_ext_massaction,104729,EXPANDED,"[0.6, 0.8)",3306,58,1.1558514827807322,0.9035137059156275,0.7365249404348762,0.4821849160470417,0.1560669715296379,1.2628771148280231
MC_lig2d_ext_massaction,104729,EXPANDED_ROWMATCHED,"[0.0, 0.4)",494,33,1.2467833159022388,1.0763266101462103,0.9977839089211982,0.36250535200868295,0.048514624544643725,
MC_lig2d_ext_massaction,104729,EXPANDED_ROWMATCHED,"[0.4, 0.6)",1448,61,1.3007748964908135,1.2797685705837745,1.121507681588285,0.60347635207246,0.20374403676365127,
MC_lig2d_ext_massaction,104729,EXPANDED_ROWMATCHED,"[0.6, 0.8)",3306,58,1.1460454181115596,0.9082202552790102,0.738240181344217,0.48908455074496715,0.1439737036054154,
MC_lig2d_ext_massaction,104729,EXPANDED_SHUFFLED,"[0.0, 0.4)",494,33,1.6045033117674408,1.5980085305575846,1.534816209188132,0.4101572134623755,0.0547657796543215,
MC_lig2d_ext_massaction,104729,EXPANDED_SHUFFLED,"[0.4, 0.6)",1448,61,1.3304718253724614,1.2639670790867028,1.1010673694124005,0.6127500691104883,0.16513541442681823,
MC_lig2d_ext_massaction,104729,EXPANDED_SHUFFLED,"[0.6, 0.8)",3306,58,1.1612194050882367,0.932754037315404,0.7587924869268374,0.5108994847097901,0.1626568879207423,
MC_lig2d_ext_massaction,130363,BASE,"[0.0, 0.4)",622,37,1.3201196761050735,1.481694278707061,1.3501267091691662,0.4601346700392061,0.12580905265943487,
MC_lig2d_ext_massaction,130363,BASE,"[0.4, 0.6)",1540,49,1.0460719554586366,1.2448770678816328,1.0769956727755805,0.579478508425688,0.27425918325527154,
MC_lig2d_ext_massaction,130363,BASE,"[0.6, 0.8)",3086,66,1.1081878300930095,0.9813436842770349,0.740255841857046,0.551649859204856,0.057478345208567205,
MC_lig2d_ext_massaction,130363,EXPANDED,"[0.0, 0.4)",622,37,1.176271547225154,1.048877226025137,0.9461698386751136,0.3748563200533818,0.14450489954520374,1.4020235057392199
MC_lig2d_ext_massaction,130363,EXPANDED,"[0.4, 0.6)",1540,49,1.1276519763750217,1.197758247431666,0.9925295765879933,0.5680005975458257,0.23186709065339328,1.2231076705077957
MC_lig2d_ext_massaction,130363,EXPANDED,"[0.6, 0.8)",3086,66,1.0584363776612034,0.9184348300102176,0.6789912651161815,0.5583681317159805,0.08998289676644977,1.2353628310036884
MC_lig2d_ext_massaction,130363,EXPANDED_ROWMATCHED,"[0.0, 0.4)",622,37,1.1522967379115538,1.0374854444617179,0.9324841468808118,0.37710627839414795,0.12009580073914827,
MC_lig2d_ext_massaction,130363,EXPANDED_ROWMATCHED,"[0.4, 0.6)",1540,49,1.1304301000991823,1.2083468530919284,1.010160588389264,0.5704950081265188,0.23840985929171465,
MC_lig2d_ext_massaction,130363,EXPANDED_ROWMATCHED,"[0.6, 0.8)",3086,66,1.0507163232118029,0.9230430497872657,0.6759386173379783,0.5594704577187379,0.09019210523764054,
