arm,feature_set,split_seed,fold,n_train_rows,n_train_extractants,n_train_ecfp_clusters
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,130363,4,4719,130,113
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,130363,4,5017,130,113
BASE,MC_lig2d_ext_massaction,155921,0,1289,52,46
EXPANDED,MC_lig2d_ext_massaction,155921,0,1548,96,87
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,155921,0,1289,96,87
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,155921,0,1548,96,87
BASE,MC_lig2d_ext_massaction,155921,1,4485,74,61
EXPANDED,MC_lig2d_ext_massaction,155921,1,4828,130,113
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,155921,1,4485,130,113
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,155921,1,4828,130,113
BASE,MC_lig2d_ext_massaction,155921,2,4717,83,67
EXPANDED,MC_lig2d_ext_massaction,155921,2,5009,132,112
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,155921,2,4717,132,112
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,155921,2,5009,132,112
BASE,MC_lig2d_ext_massaction,155921,3,4415,82,65
EXPANDED,MC_lig2d_ext_massaction,155921,3,4729,133,112
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,155921,3,4415,133,112
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,155921,3,4729,133,112
BASE,MC_lig2d_ext_massaction,155921,4,4618,73,57
EXPANDED,MC_lig2d_ext_massaction,155921,4,4878,117,100
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,155921,4,4618,117,100
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,155921,4,4878,117,100
BASE,MC_lig2d_ext_massaction,196613,0,1215,44,41
EXPANDED,MC_lig2d_ext_massaction,196613,0,1486,88,81
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,196613,0,1215,88,81
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,196613,0,1486,88,81
BASE,MC_lig2d_ext_massaction,196613,1,4494,80,63
EXPANDED,MC_lig2d_ext_massaction,196613,1,4793,131,111
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,196613,1,4494,131,111
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,196613,1,4793,131,111
BASE,MC_lig2d_ext_massaction,196613,2,4564,80,64
EXPANDED,MC_lig2d_ext_massaction,196613,2,4903,135,115
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,196613,2,4564,135,115
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,196613,2,4903,135,115
BASE,MC_lig2d_ext_massaction,196613,3,4817,86,69
EXPANDED,MC_lig2d_ext_massaction,196613,3,5093,132,112
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,196613,3,4817,132,112
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,196613,3,5093,132,112
BASE,MC_lig2d_ext_massaction,196613,4,4434,74,59
EXPANDED,MC_lig2d_ext_massaction,196613,4,4717,122,105
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,196613,4,4434,122,105
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,196613,4,4717,122,105
BASE,MC_lig2d_ext_massaction,262147,0,4598,78,62
EXPANDED,MC_lig2d_ext_massaction,262147,0,4929,133,113
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,262147,0,4598,133,113
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,262147,0,4929,133,113
BASE,MC_lig2d_ext_massaction,262147,1,968,47,42
EXPANDED,MC_lig2d_ext_massaction,262147,1,1199,88,82
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,262147,1,968,88,82
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,262147,1,1199,88,82
BASE,MC_lig2d_ext_massaction,262147,2,4689,79,62
EXPANDED,MC_lig2d_ext_massaction,262147,2,4983,128,108
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,262147,2,4689,128,108
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,262147,2,4983,128,108
BASE,MC_lig2d_ext_massaction,262147,3,4739,84,67
EXPANDED,MC_lig2d_ext_massaction,262147,3,5048,133,112
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,262147,3,4739,133,112
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,262147,3,5048,133,112
BASE,MC_lig2d_ext_massaction,262147,4,4530,76,63
EXPANDED,MC_lig2d_ext_massaction,262147,4,4833,126,109
EXPANDED_ROWMATCHED,MC_lig2d_ext_massaction,262147,4,4530,126,109
EXPANDED_SHUFFLED,MC_lig2d_ext_massaction,262147,4,4833,126,109
BASE,MC_donors,104729,0,4559,81,65
EXPANDED,MC_donors,104729,0,4866,130,110
EXPANDED_ROWMATCHED,MC_donors,104729,0,4559,130,110
EXPANDED_SHUFFLED,MC_donors,104729,0,4866,130,110
BASE,MC_donors,104729,1,1284,44,42
EXPANDED,MC_donors,104729,1,1495,82,79
EXPANDED_ROWMATCHED,MC_donors,104729,1,1284,82,79
EXPANDED_SHUFFLED,MC_donors,104729,1,1495,82,79
BASE,MC_donors,104729,2,4638,80,63
EXPANDED,MC_donors,104729,2,4962,134,113
EXPANDED_ROWMATCHED,MC_donors,104729,2,4638,134,113
EXPANDED_SHUFFLED,MC_donors,104729,2,4962,134,113
BASE,MC_donors,104729,3,4430,83,67
EXPANDED,MC_donors,104729,3,4747,134,114
EXPANDED_ROWMATCHED,MC_donors,104729,3,4430,134,114
EXPANDED_SHUFFLED,MC_donors,104729,3,4747,134,114
BASE,MC_donors,104729,4,4613,76,59
EXPANDED,MC_donors,104729,4,4922,128,108
EXPANDED_ROWMATCHED,MC_donors,104729,4,4613,128,108
EXPANDED_SHUFFLED,MC_donors,104729,4,4922,128,108
BASE,MC_donors,130363,0,1141,49,42
EXPANDED,MC_donors,130363,0,1436,98,87
EXPANDED_ROWMATCHED,MC_donors,130363,0,1141,98,87
EXPANDED_SHUFFLED,MC_donors,130363,0,1436,98,87
BASE,MC_donors,130363,1,4642,82,66
EXPANDED,MC_donors,130363,1,4937,131,112
EXPANDED_ROWMATCHED,MC_donors,130363,1,4642,131,112
EXPANDED_SHUFFLED,MC_donors,130363,1,4937,131,112
BASE,MC_donors,130363,2,4464,75,62
EXPANDED,MC_donors,130363,2,4766,125,108
EXPANDED_ROWMATCHED,MC_donors,130363,2,4464,125,108
EXPANDED_SHUFFLED,MC_donors,130363,2,4766,125,108
BASE,MC_donors,130363,3,4558,78,61
EXPANDED,MC_donors,130363,3,4836,124,104
EXPANDED_ROWMATCHED,MC_donors,130363,3,4558,124,104
EXPANDED_SHUFFLED,MC_donors,130363,3,4836,124,104
BASE,MC_donors,130363,4,4719,80,65
EXPANDED,MC_donors,130363,4,5017,130,113
EXPANDED_ROWMATCHED,MC_donors,130363,4,4719,130,113
EXPANDED_SHUFFLED,MC_donors,130363,4,5017,130,113
BASE,MC_donors,155921,0,1289,52,46
EXPANDED,MC_donors,155921,0,1548,96,87
EXPANDED_ROWMATCHED,MC_donors,155921,0,1289,96,87
