arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds,macro_curve_spearman
C_DIRECT_ROW,0.4946528810679037,0.01617059138403813,0.5341610684358639,0.18433707189399098,0.6533304719933171,0.7248438473846315,0.47346281086374375,0.525743272077117,0.167782143742854,0.799554175114502,0.8121369422815474,90,83,88,86,5,0.4244848491440426
M_PHYSICS_radius+radius_sq,0.5011063370727088,0.005976662968973421,0.5416464611009436,0.18909227984649424,0.6598576257765342,0.742527010369237,0.44469458295671827,0.5033296679470098,0.16802975613026191,0.7509450762732085,0.8289704610060561,90,83,88,86,5,0.4620002607148018
M_SELECTED,0.5039323900603924,0.012256051726672934,0.5460222658870741,0.19281056594002544,0.6633210489152593,0.7216813866087475,0.42025793457666244,0.5086227791457357,0.17084641911928564,0.7600255751934059,0.821357063403782,90,83,88,86,5,0.4182582621683434
B1_MEAN_CURVE,0.6016707654875889,0.011723327712922558,0.6500454128762969,0.20965367586281963,0.8155104960434502,0.6176984496454391,0.26888089989571407,0.5919699602777032,0.1852024298320394,0.9090060617429457,0.7744160177975529,90,83,88,86,5,0.193122203649084
