design,stratum,n,mae_amp_gp,mae_amp_g14,gp_minus_g14
A,pub in train,688,0.2633995200657143,0.28626872508218465,-0.02286920501647033
A,pub NOT in train,757,0.2847050934671396,0.31061199649799004,-0.025906903030850414
B,pub in train,558,0.25938664000727246,0.2830631304978139,-0.023676490490541435
B,pub NOT in train,887,0.31266567109517845,0.3096779257243335,0.002987745370844952
BP,pub NOT in train,1445,0.2881810832885105,0.3020425496930718,-0.013861466404561318
BQ,pub in train,558,0.2602347748255659,0.28320153270528375,-0.02296675787971786
BQ,pub NOT in train,887,0.3100130130478139,0.3050657843992004,0.004947228648613522
BR,pub in train,517,0.2675381104284879,0.29205713230779023,-0.024519021879302327
BR,pub NOT in train,928,0.29898825628456727,0.30319964671766164,-0.004211390433094375
