rule,B,BR,BQ,A,BP
ALWAYS_HEAVY,0.5585524231865695,0.5585524231865695,0.5585524231865695,0.5585524231865695,0.5585524231865695
COMBO_KLR_l0.1,0.4487646499841622,0.4487646499841622,0.4487646499841622,0.4458378207158695,0.5131907929468905
COMBO_KLR_l1,0.47071586949635735,0.47071586949635735,0.47071586949635735,0.4458378207158695,0.47315489388660126
COMBO_KLR_l10,0.46583782071586954,0.46827684510611345,0.46583782071586954,0.4458378207158695,0.46583782071586954
COMBO_KLR_l100,0.45364269876465,0.4414475768134305,0.4512036743744061,0.4458378207158695,0.4512036743744061
ECFPraw_LOGIT_C0.01,0.5473434695385915,0.5116682504487382,0.48424770351599616,0.7503484320557491,0.4298437335022701
ECFPraw_LOGIT_C0.1,0.6991289198606272,0.6674216027874564,0.6907031992397845,0.8270668356034209,0.4748548199767712
ECFPraw_LOGIT_C1,0.6921666138739309,0.6664459930313589,0.6789958821666138,0.8162020905923345,0.49206102840249183
ECFPz_LOGIT_C0.01,0.586241157216767,0.5635445042762115,0.560742265864217,0.7804592968007602,0.4247439552317601
ECFPz_LOGIT_C0.1,0.6008753035582304,0.5741072748389822,0.6007781649245063,0.7902153943617358,0.4902787456445993
ECFPz_LOGIT_C1,0.6359360152043079,0.5989240840460353,0.633496990814064,0.7755812480202724,0.5269000105585471
G14_TOPO39_LOGIT,0.8400158378207159,0.8346499841621794,0.8400158378207159,0.8346499841621793,0.8205036426987646
KNN_TAN_k1,0.5276264386020484,0.5274047091120262,0.5730999894414529,0.8264755569633617,0.47300707422658644
KNN_TAN_k10,0.6073329109914475,0.619528032942667,0.6073329109914475,0.6273329109914476,0.5164322669200717
KNN_TAN_k3,0.5456921127652835,0.5547027768978988,0.5578872347165029,0.6994836870446626,0.4526818709745539
KNN_TAN_k5,0.5915901171998732,0.56911519374934,0.5904814697497625,0.6766012036743744,0.5191310315700559
RBF_KLR_l0.1,0.6430017949530145,0.6251451800232288,0.6287456445993032,0.7537335022700876,0.5174121000950269
RBF_KLR_l1,0.5783032414739732,0.5484014359624115,0.5404402914159012,0.747096399535424,0.4772938443670151
RBF_KLR_l10,0.41510611339879633,0.4332879315806145,0.4077890402280646,0.6459096188364482,0.37556435434484214
RBF_KLR_l100,0.3477890402280646,0.36730123535001585,0.3468134304719671,0.4438866012036744,0.3472716714180129
TAN_KLR_l0.1,0.7115457713018689,0.6760690528983211,0.7091067469116249,0.8360690528983211,0.4761851969169042
TAN_KLR_l1,0.6687519797275895,0.6005205363741949,0.6432530883750396,0.8130091859360151,0.432282757892514
TAN_KLR_l10,0.39591912152887765,0.3951061133987963,0.3902280646183085,0.641451800232288,0.3475673107380424
TAN_KLR_l100,0.34291099144757686,0.3607971703093654,0.35169147925245486,0.4414475768134305,0.3399545982472812
TRAIN_MAJORITY,0.3477890402280646,0.3477890402280646,0.35169147925245486,0.4414475768134305,0.3472716714180129
