design,n,median_gp_sd,mae_amp_low_sd,mae_amp_high_sd,spearman_sd_vs_err,spearman_smax_vs_err
A,1445,0.1629127053355317,0.3010030178292347,0.2479353300467237,-0.16592722095956092,0.12551025735219817
B,1445,0.20616107828695884,0.32420922041113237,0.2594810082652399,-0.1938647853803623,0.08882342685578029
BP,1445,0.2170195970977657,0.3064847013395496,0.2695451369767683,-0.03217244416214164,-0.004295202450837962
BQ,1445,0.21916369105467395,0.3108701060934224,0.2702331923974579,-0.20606778203668263,-0.011687208239678473
BR,1445,0.21395032470253306,0.3142127471574622,0.2609270720614648,-0.17582012879473727,0.10597382862926913
