split_seed,fold,policy,n_admissible,n_pool,n_actinide,n_alkaline_earth,n_lanthanide,n_post_transition_metal,n_rare_earth_non_lanthanide,n_transition_metal
104729,0,HEADLINE,4961,5096,4491,233,46,38,57,96
104729,1,HEADLINE,1785,5096,1742,0,11,6,0,26
104729,2,HEADLINE,5034,5096,4549,233,42,44,57,109
104729,3,HEADLINE,4959,5096,4470,233,46,44,57,109
104729,4,HEADLINE,4498,5096,4009,233,46,44,57,109
130363,0,HEADLINE,2664,5096,2621,0,11,6,0,26
130363,1,HEADLINE,4986,5096,4497,233,46,44,57,109
130363,2,HEADLINE,4913,5096,4424,233,46,44,57,109
130363,3,HEADLINE,4229,5096,3744,233,42,44,57,109
130363,4,HEADLINE,4440,5096,3970,233,46,38,57,96
155921,0,HEADLINE,2640,5096,2597,0,11,6,0,26
155921,1,HEADLINE,4864,5096,4375,233,46,44,57,109
155921,2,HEADLINE,4797,5096,4327,233,46,38,57,96
155921,3,HEADLINE,4580,5096,4091,233,46,44,57,109
155921,4,HEADLINE,4351,5096,3866,233,42,44,57,109
196613,0,HEADLINE,2521,5096,2482,0,7,6,0,26
196613,1,HEADLINE,4478,5096,4008,233,46,38,57,96
196613,2,HEADLINE,4962,5096,4473,233,46,44,57,109
196613,3,HEADLINE,4373,5096,3884,233,46,44,57,109
196613,4,HEADLINE,4898,5096,4409,233,46,44,57,109
262147,0,HEADLINE,4496,5096,4007,233,46,44,57,109
262147,1,HEADLINE,1901,5096,1858,0,11,6,0,26
262147,2,HEADLINE,5060,5096,4571,233,46,44,57,109
262147,3,HEADLINE,4992,5096,4503,233,46,44,57,109
262147,4,HEADLINE,4788,5096,4322,233,42,38,57,96
