target,descriptor,rho,ci_lo,ci_hi,excludes_zero
a,anion_nitrate,0.43722999379650107,,,False
a,n_series,-0.16932896014784052,-0.3995468379541206,0.18067902578451062,False
a,n_block,-0.2926887151682348,-0.5002147620176559,-0.043972134408869365,True
a,comp_varies,-0.0008241312587488105,,,False
a,d_mean,0.006976415145677562,-0.24855700095528246,0.29383061457961285,False
a,d_spread,-0.3363589860798207,-0.5224077202291032,0.021417378351084534,False
a,d_range,-0.27789205602899403,-0.48691806368509777,0.11118013138573829,False
a,q_metal,-0.1953505077219447,-0.4178143826234196,0.19766645028446359,False
a,q_donor,0.05475560779704183,-0.3243949599172328,0.40908831555337644,False
a,q_donor_spread,0.08525157540732033,-0.25181811422727013,0.39071207731529733,False
a,cn,-0.13627236187796443,-0.33025711830380533,0.09092907897771768,False
a,frac_N,0.17603449936610463,-0.282073106775383,0.44955945163323763,False
a,dipole,-0.08938735973705118,-0.3193062789293802,0.1886892450627831,False
a,ang_std,-0.055495695519204184,-0.3358175572721796,0.28794589402064075,False
a,ang_min,0.0747815108673175,-0.24509785819112878,0.34647285258865695,False
a,asym,-0.022779464742438593,-0.2645864757652975,0.3004479618544321,False
a,dd_dr_A,0.0036133694670280035,-0.20254527601477654,0.36327179829976813,False
a,dspread_dr_A,0.07603884372177055,-0.2233677047016071,0.5163684538375573,False
a,dqm_dr_A,0.1551363193768257,-0.1399188659748822,0.32368750118434475,False
a,dqd_dr_A,0.046738072054527756,-0.18683739762170712,0.32949994506637936,False
a,dd_dr_B,-0.10887218045112781,-0.3325096946124094,0.1970252293562033,False
a,dcn_dr_raw,0.1100215695444601,-0.17883337347865882,0.4109297966722729,False
a,dE_dr_A,0.10421129503407985,-0.08552023479987382,0.34116731674522766,False
a,d2E_dr2_A,-0.004504504504504505,-0.2408101457583998,0.1783880082735003,False
a,E_rms_A,-0.2592989289191821,-0.4399223280788784,0.03629795584209832,False
a,dE_dr_B,0.20282294489611563,-0.16224285236545152,0.4364841675748202,False
a,d2E_dr2_B,0.025194741966893867,-0.20853388691799388,0.2961126724107083,False
a,E_rms_B,-0.274683830171635,-0.4531893318407904,-0.011222441159777012,True
abs_a,anion_nitrate,-0.32327111243464707,,,False
abs_a,n_series,0.3152885433396048,0.08290527743193844,0.5097642720781443,True
abs_a,n_block,0.4158128801457947,0.24505316301759494,0.6321847358016834,True
abs_a,comp_varies,0.04862374426617982,,,False
abs_a,d_mean,0.0064322329970287655,-0.2732174270001889,0.23966291285225574,False
abs_a,d_spread,0.12347492952841174,-0.20132401776776115,0.3357056845797538,False
abs_a,d_range,0.037058804322982995,-0.35992082865067654,0.2675736519284105,False
abs_a,q_metal,0.042957738814335934,-0.24159242893570268,0.28131310062638687,False
abs_a,q_donor,-0.0830530795267792,-0.40238898702387893,0.28882416345028117,False
abs_a,q_donor_spread,-0.13313960448841436,-0.35646082229750775,0.15752302250506356,False
abs_a,cn,-0.042747143194998574,-0.26510737959936304,0.18768908398039394,False
abs_a,frac_N,-0.06245287382435476,-0.31809271118948934,0.3398197107240823,False
abs_a,dipole,0.031616982836495035,-0.23466252769769097,0.32292640040684645,False
abs_a,ang_std,-0.024324942044601172,-0.2712080819927234,0.22821534180337974,False
abs_a,ang_min,-0.001273386227838182,-0.26288204970608586,0.23252751029143817,False
abs_a,asym,-0.0703627518202893,-0.3079009298021404,0.17826403533428675,False
abs_a,dd_dr_A,0.1585591689250226,-0.07650783530663907,0.3362307287139628,False
abs_a,dspread_dr_A,0.13769196025293587,-0.23733827758304646,0.3573295111441981,False
abs_a,dqm_dr_A,0.006718597857838364,-0.17644525610678366,0.37094916613739826,False
abs_a,dqd_dr_A,0.04883154819863681,-0.13669057460235853,0.27329498442771477,False
abs_a,dd_dr_B,0.1745727956254272,-0.06998999483141863,0.37284706250333916,False
abs_a,dcn_dr_raw,0.06675724933926085,-0.1587971277557579,0.294875658893191,False
abs_a,dE_dr_A,-0.08373904576436222,-0.25042220673327537,0.18822291607434108,False
abs_a,d2E_dr2_A,0.008823892385536223,-0.2798760665195927,0.20529329618524444,False
abs_a,E_rms_A,0.17670399221032135,-0.02142817258521722,0.390623864955258,False
abs_a,dE_dr_B,-0.1936088527551942,-0.44480413084681325,0.19886097266401567,False
abs_a,d2E_dr2_B,0.009785783836416748,-0.19174391712553168,0.23544698387969934,False
abs_a,E_rms_B,0.22716802168021683,-0.0009366071654693729,0.397177388193202,False
b,anion_nitrate,0.23605768282098327,,,False
b,n_series,-0.1793593856509221,-0.3996469043271085,0.07621175851910898,False
b,n_block,-0.228502916817322,-0.4781917822439065,0.0281745659459422,False
b,comp_varies,0.0387341691611941,,,False
b,d_mean,-0.17321317791491167,-0.4648185083649791,0.11955926938530512,False
b,d_spread,-0.31459170013386883,-0.49045563770169376,-0.030068368699962385,True
b,d_range,-0.3087145329284618,-0.49396361291499374,-0.007113620789923356,True
b,q_metal,-0.025217400768385197,-0.24697197071561397,0.28802784544350274,False
b,q_donor,0.08925675602137549,-0.2307519573334345,0.3749944431444153,False
b,q_donor_spread,0.07341017185272254,-0.2537272772768594,0.4076206690194482,False
b,cn,0.10649914947476329,-0.11536368402080509,0.37286821658076225,False
b,frac_N,0.15453228354176735,-0.1716076497449942,0.3978071671024176,False
b,dipole,-0.13871202969057803,-0.38561850217800925,0.1328485689041899,False
b,ang_std,-0.15233835069274387,-0.43218011285448843,0.16517207929713093,False
b,ang_min,0.07245241127110066,-0.23472338745572954,0.3408989051794351,False
b,asym,-0.11239538098192228,-0.35675164619559246,0.21803010449200783,False
b,dd_dr_A,-0.14738030713640468,-0.4080386656152493,0.06911170624274077,False
b,dspread_dr_A,-0.06023035230352303,-0.27129881261762717,0.22376382734502173,False
b,dqm_dr_A,0.056353456669912365,-0.19685276005137922,0.24972856230901497,False
b,dqd_dr_A,-0.15484420642648491,-0.3889623970125067,0.054448314415120706,False
b,dd_dr_B,-0.09697881066302119,-0.3894406767420272,0.1458805889637328,False
b,dcn_dr_raw,0.1963773831098312,-0.04296507512404544,0.46235714834695746,False
b,dE_dr_A,0.028067185978578383,-0.13817188145209303,0.23460589013850355,False
b,d2E_dr2_A,0.08638775762063435,-0.14822855588602346,0.2565449518026936,False
b,E_rms_A,-0.31730769230769235,-0.5993932577852888,-0.028508063084794023,True
b,dE_dr_B,0.21883468834688347,-0.09018107310082173,0.4177063465398948,False
b,d2E_dr2_B,-0.18619766309639726,-0.4321758627799071,0.02222240532431754,False
b,E_rms_B,-0.26711833785004513,-0.4997669826949326,-0.02299781306354517,True
