column,identified,beta_within,r2_within_in,r2_within_loo
log_acid_M,1,-0.04148981908374866,0.002443357012971159,-0.0527872487061265
log_extr_M,1,-0.08435359529699431,0.005066853521501158,-0.022498260222675315
log_metal_mM,1,0.12104610759856263,0.002761732137949502,3.0664073299768724e-05
temp_C,1,0.008747674348041782,0.00034728812028061995,-0.0002466488598591443
log_contact_min,1,0.00930724482380678,2.6771465153618834e-05,-0.006963609434908369
is_hno3,1,0.11199030621496049,0.019385430603120812,-0.03329264512814434
is_hcl,1,-0.10928095616029312,0.018644858494623606,-0.03457944676122682
is_h2so4,1,-0.007902254216503687,0.0003821896017025539,0.0
complexant,0,0.0,0.0,0.0
modifier,1,-0.09178713980794989,0.0067785626769870655,0.005003993858340272
dil_aliphatic,1,-0.09113489750214947,0.005591243792016143,0.00146171713475296
dil_aromatic,1,-0.06144701949756524,0.004898215425602648,0.004192774423823931
dil_chlorinated,1,0.06271714015349378,0.0038712202121750083,0.0
dil_polar,1,0.020822806406835436,0.0010011156556086753,-0.0031366167346464913
