block,target,p,identified,r2_within_in,r2_within_loo
ACID1,log|a|,1,1,0.002443357012971159,-0.0527872487061265
ACID1,|a|,1,1,0.004285869957244559,-0.017357693097892035
ACID1,a,1,1,0.0015780176233868293,-0.017771976153223568
ACID1,b,1,1,0.004901721838278528,-0.21493137201711
PHYS4,log|a|,4,3,0.02680436848866974,-0.23862554821290316
PHYS4,|a|,4,3,0.1247799350574691,-0.24199442593802578
PHYS4,a,4,3,0.00613127479028297,-0.3488451821676115
PHYS4,b,4,3,0.048597105765897375,-0.22950865504493478
NUM14,log|a|,14,13,0.053805143263494615,-0.5345892454511341
NUM14,|a|,14,13,0.17726634115308493,-0.5094502834856056
NUM14,a,14,13,0.26843625502475876,-0.1750527779730151
NUM14,b,14,13,0.14138727063879097,-0.45622502005472954
COND64,log|a|,64,32,0.08206405385228854,-0.27701252089506934
COND64,|a|,64,32,0.16832142544863482,-0.2630510096938934
COND64,a,64,32,0.41345285846154334,-0.5195539112186991
COND64,b,64,32,0.14749535170693295,-0.1913350301200203
