publication_id,chemotype,extractant,n_metals,acid_name,diluent_name,diluent_class,log_acid_M,log_extr_M,log_metal_mM,temp_C,contact_min,log_contact_min,is_hno3,is_hcl,is_h2so4,complexant,modifier,dil_aliphatic,dil_aromatic,dil_chlorinated,dil_polar,max_logD,mean_logD,a,abs_a,b,abs_b
pub_1927dff570,sc000,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,5.0,hno3,other,other,0.0,-1.3010299956639813,,25.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.744727495,-1.0320792542000004,0.07601097493086181,0.07601097493086181,0.08206296817636363,0.08206296817636363
pub_1927dff570,sc001,C1COCCOCCOCCOCCOCCO1,5.0,hno3,other,other,0.0,-1.3010299956639813,,25.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36653154400000004,-0.7212218120000001,0.05620718295732292,0.05620718295732292,0.12910069076729588,0.12910069076729588
pub_126bbe7976,sc007,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,14.0,hcl,isopar_l_with_30_vol_exxal_13,aliphatic,0.47712125471966244,-1.0,-0.3010299956639812,25.0,60.0,1.7781512503836436,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.2871296207191107,0.8747295278135491,-0.39938883955557464,0.39938883955557464,-0.1699606779354635,0.1699606779354635
pub_9428119866,sc008,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,6.0,hno3,other,other,0.47712125471966244,-0.6020599913279624,,25.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5314789170422551,0.3737516042082831,0.049124075720208875,0.049124075720208875,-0.15507499511061024,0.15507499511061024
pub_b9dfc468cd,sc010,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,8.0,hno3,toluene,aromatic,0.17609125905568124,-1.0,0.6989700043360189,25.0,15.0,1.1760912590556813,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8280150642239769,0.49087454351735105,-0.2693053833143338,0.2693053833143338,-0.05096963941908241,0.05096963941908241
pub_401a06b4b7,sc012,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,14.0,hno3,1_octanol,polar,0.0,-2.0,,20.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.795880017,-1.495955462928572,-0.16376265295219228,0.16376265295219228,-0.30430381692878367,0.30430381692878367
pub_1845fd6492,sc015,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,14.0,hno3,other,other,-1.0,-1.5228787452803376,,20.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021189299000000102,-1.2199158138571458,-1.1208407620802023,1.1208407620802023,-0.3852941095623312,0.3852941095623312
pub_126bbe7976,sc009,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,14.0,hcl,isopar_l_with_30_vol_exxal_13,aliphatic,0.47712125471966244,-1.0,-0.3010299956639812,25.0,60.0,1.7781512503836436,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.9467960272714604,1.4596419424097593,-0.4482833055526018,0.4482833055526018,-0.2596426328844968,0.2596426328844968
pub_8dafaf94bc,sc016,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,2.0,hno3,n_dodecane,aliphatic,0.17609125905568124,-1.0,,25.0,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4694070247651971,-0.44307719288348213,0.6464974402738205,0.6464974402738205,0.6309741258017836,0.6309741258017836
pub_126bbe7976,sc009,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,14.0,hcl,isopar_l_with_30_vol_exxal_13,aliphatic,0.47712125471966244,-1.0,-0.3010299956639812,25.0,60.0,1.7781512503836436,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.5686362358410126,-0.8855326256055955,-0.22040369394033205,0.22040369394033205,-0.052061627986018655,0.052061627986018655
pub_4cba27f5f3,sc009,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,14.0,hcl,isopar_l_with_30_vol_exxal_13,aliphatic,0.47712125471966244,-1.0,-0.3010299956639812,22.0,60.0,1.7781512503836436,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.58,-0.8864285714285717,-0.2476151434296472,0.2476151434296472,-0.05588666610509198,0.05588666610509198
pub_51c0693f9c,sc009,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,3.0,hno3,benzene,aromatic,0.3010299956639812,-1.0,,25.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14301480025409505,-0.10315220776204097,0.04275886778350535,0.04275886778350535,-0.17105495595870804,0.17105495595870804
pub_9a3afbee00,sc009,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,2.0,hno3,n_dodecane,aliphatic,0.8443839695039023,-1.0,0.3010299956639812,25.0,,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.9815878426831304,1.9674594629014173,-0.014016597277636515,0.014016597277636515,0.0008760286212408137,0.0008760286212408137
pub_b9dfc468cd,sc009,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,8.0,hno3,toluene,aromatic,0.17609125905568124,-1.0,0.6989700043360189,25.0,15.0,1.1760912590556813,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8027737252919757,0.433971215385795,-0.2860726463123634,0.2860726463123634,-0.02461607043122282,0.02461607043122282
pub_b9dfc468cd,sc009,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,8.0,hno3,toluene,aromatic,0.17609125905568124,-1.0,0.6989700043360189,25.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8027737252919757,0.433971215385795,-0.2860726463123634,0.2860726463123634,-0.02461607043122282,0.02461607043122282
pub_9428119866,sc017,CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,6.0,hno3,other,other,0.47712125471966244,-0.6020599913279624,,25.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04139268515822508,-0.06620924148858023,0.03929164417066978,0.03929164417066978,-0.11854091718079607,0.11854091718079607
pub_bdb1564c49,sc018,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,6.0,hcl,kerosene_with_30_vol_1_octanol,aliphatic,0.0,-1.1249387366083,0.6020599913279624,15.0,30.0,1.4771212547196624,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.59618320610687,1.7267698109778227,-0.5503697412926626,0.5503697412926626,0.1674796983632297,0.1674796983632297
pub_bdb1564c49,sc018,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,6.0,hcl,kerosene_with_30_vol_1_octanol,aliphatic,0.0,-1.1249387366083,0.6020599913279624,25.0,30.0,1.4771212547196624,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.3876375388606508,0.8716831361414377,-0.36626495375748336,0.36626495375748336,0.11370121161181022,0.11370121161181022
pub_bdb1564c49,sc018,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,6.0,hcl,kerosene_with_30_vol_1_octanol,aliphatic,0.0,-1.1249387366083,0.6020599913279624,35.0,30.0,1.4771212547196624,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.77175572519083,0.8422732642675355,-0.5901917705245752,0.5901917705245752,0.21105024287390964,0.21105024287390964
pub_bdb1564c49,sc018,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,6.0,hcl,kerosene_with_30_vol_1_octanol,aliphatic,0.0,-1.1249387366083,0.6020599913279624,45.0,30.0,1.4771212547196624,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.34580152671755,0.35628635041802803,-0.6181178487840737,0.6181178487840737,0.20359138113830558,0.20359138113830558
pub_bdb1564c49,sc018,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,5.0,hcl,kerosene_with_30_vol_1_octanol,aliphatic,0.0,-1.1249387366083,0.6020599913279624,55.0,30.0,1.4771212547196624,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.12595419847328,0.24451744820065371,-0.4225759536667635,0.4225759536667635,0.3724617141812208,0.3724617141812208
