level,n_pairs,mean_sf_mae,median_sf_mae,p90_sf_mae,mean_n_shared
within extractant,9237,0.3031910893775591,0.19220188057868173,0.7243124612448054,3.963624553426437
"within extractant, same publication",2556,0.22920301248087493,0.14862329845491984,0.5425056013496782,4.743348982785602
"within extractant, different publication",6681,0.33149725979335387,0.21051359744758888,0.820608717032166,3.6653195629396795
"different extractant, same chemotype",27024,0.4792865324573403,0.37862359719973904,1.0234275768507948,3.753330373001776
random cell pairs,20000,0.525717269267464,0.38985634586846,1.1489839068576322,4.5571
