extractant,extractant_name,chemotype,n_cells_scored,transfer_mae_other_extractants
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,6-MH-C9-B8D(iB)CMPO,sc008,1,0.10455172945536631
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,DMDetHDGA,sc009,1,0.46093204743803173
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,T2EHDGA,sc009,6,0.47839440700772
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,DMDdecHDGA,sc009,1,0.38309540663176717
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,DODDdDGA,sc009,1,0.7601413857116814
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,TDdDGA,sc009,21,0.5818570329698448
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,DOODA (C12),sc009,10,0.700774383737011
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,mTDDGA,sc027,5,0.24314620807963339
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,DHD2DGA,sc009,20,0.5149227020136807
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,TDDGA,sc009,14,0.4577172040075674
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,Et-Me-TDDGA-Syn,sc027,1,0.24792254456512086
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,p-TDDGA-Syn,sc028,1,0.230769684184665
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,N-(4-methylphenyl)-N-octyl-1-10-phenanthroline-2-carboxamide,sc029,1,0.4161217201202678
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,2-hexyl-N-N-dimethyl-N-N-dioctylpropanediamide,sc030,1,0.18887664957407405
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,2-(2-hexoxyethyl)-N-N-dimethyl-N-N-dioctylpropanediamide,sc030,1,0.3251090562407407
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,N-N-dimethyl-N-N-dioctylpropanediamide,sc031,1,0.34840666638888906
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,DMDODGA,sc009,74,0.43802388891691296
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,MMTODGA,sc009,1,0.49932441024075974
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,DIBDODGA,sc009,1,0.484684189211288
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,D2EHDODGA,sc009,1,0.4775956690068396
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,DEDODGA,sc009,1,0.517217280889745
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,DPDODGA,sc009,1,0.5485878494785289
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,DODDbDGA,sc009,1,0.36070667365442743
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,DODDmDGA,sc009,1,0.5116411495891972
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,2-[1-(dioctylamino)-1-oxopropan-2-yl]oxy-N-N-dioctylpropanamide,sc027,1,0.17840688654633066
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,N-N-N-N-tetraoctylpropanediamide,sc036,1,0.21782961254444455
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,DMDOaDGA,sc009,1,0.9850443610318922
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,TODGA,sc009,171,0.38453744397704354
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,DOODA (C8),sc009,2,0.7349998120806418
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,cMe2-TODGA,sc027,1,0.313873037526619
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,Et-Me-TODGA-Anti,sc027,1,0.28075744607995445
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,tMe2-TODGA,sc027,1,0.2807048948631648
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,p-TODGA-Syn,sc028,1,0.230769684184665
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,2-N-2-N-9-N-9-N-tetraoctyl-1-10-phenanthroline-2-9-dicarboxamide,sc029,2,0.3790963510552492
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,N-N-bis(2-methylpropyl)-2-[octyl(phenyl)phosphoryl]acetamide,sc008,2,0.10455172945536631
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,N-N-dihexyl-N-N-dimethylpropanediamide,sc031,1,0.1511271557222223
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,N-(3-7-dimethyloctyl)-2-[2-[3-7-dimethyloctyl(hexyl)amino]-2-oxoethoxy]-N-hexylacetamide,sc009,1,0.4508712791934494
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,N-N-N-N-tetrahexylpropanediamide,sc036,1,0.22823485536296298
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,THDGA,sc009,3,0.5162714130588384
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,N-N-dibutyl-2-(2-hexoxyethyl)-N-N-dimethylpropanediamide,sc030,2,0.32151189249999995
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,C5BTBP,sc061,16,1.0224796142948815
CCCCN(C)C(=O)CC(=O)N(C)CCCC,N-N-dibutyl-N-N-dimethylpropanediamide,sc031,3,0.19951771655555564
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,N-N-N-N-tetrabutylpropanediamide,sc036,1,0.21741165910000002
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,N-N-N-N-tetrabutylbutanediamide,sc036,1,0.34848080060000014
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,TBDGA,sc009,33,0.5603392340081229
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,2-N-2-N-9-N-9-N-tetrabutyl-1-10-phenanthroline-2-9-dicarboxamide,sc029,1,0.2992202492647531
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,TPrDGA,sc009,9,0.35680262280117825
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,3-[6-(5-6-dipropyl-1-2-4-triazin-3-yl)-2-pyridinyl]-5-6-dipropyl-1-2-4-triazine,sc061,1,1.0224796142948815
CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,2-N-9-N-diethyl-2-N-9-N-bis(4-methylphenyl)-1-10-phenanthroline-2-9-dicarboxamide,sc068,1,0.8237221114666667
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,N-(3-5-dimethylphenyl)-6-[6-[(3-5-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,sc068,1,0.5422901000351648
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,N-(2-5-dimethylphenyl)-6-[6-[(2-5-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,sc069,1,0.16105433595604388
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,N-(2-4-dimethylphenyl)-6-[6-[(2-4-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,sc069,1,0.16105433595604388
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,N-ethyl-6-[6-[ethyl(phenyl)carbamoyl]-2-pyridinyl]-N-phenylpyridine-2-carboxamide,sc068,1,0.5032933391882783
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,2-N-6-N-diethyl-2-N-6-N-bis(4-methylphenyl)pyridine-2-6-dicarboxamide,sc068,1,0.8024099130835165
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,2-N-6-N-diethyl-2-N-6-N-bis(3-methylphenyl)pyridine-2-6-dicarboxamide,sc068,1,0.578437425996337
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,2-N-9-N-diethyl-2-N-9-N-bis(4-ethylphenyl)-1-10-phenanthroline-2-9-dicarboxamide,sc068,1,1.0663971538315018
