rank_by_cells,extractant,extractant_name,all_names,chemotype,n_cells,n_entries,n_publications,n_condition_keys,median_n_metals,max_n_metals,n_rows_total,hno3_cells,hno3_M_min,hno3_M_max,replicate_sd_median,rank_by_entries
1,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,TODGA,TODGA,sc009,171,902,18,171,3.0,14,1030,133,0.00933254,3.1,0.12881737427361148,1
2,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,DMDODGA,DMDODGA | N-methyl-2-[2-[methyl(octyl)amino]-2-oxoethoxy]-N-octylacetamide,sc009,74,369,5,74,3.0,14,381,72,0.490909,6.0,0.0212132034355966,2
3,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,TBDGA,TBDGA,sc009,33,106,4,33,2.0,8,106,31,0.482051,2.0,,6
4,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,TDdDGA,TDdDGA,sc009,21,102,2,21,5.0,8,218,21,0.0970588,4.99853,0.0019119895148922146,7
5,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,DHD2DGA,DHD2DGA,sc009,20,128,1,20,6.0,14,140,8,0.1,5.0,0.0069360240491084255,5
6,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,DBD1MHDGA,DBD1MHDGA,sc018,17,81,1,17,5.0,6,98,0,,,0.003701322300649473,9
7,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,C5BTBP,C5BTBP | 3-[6-[6-(5-6-dipentyl-1-2-4-triazin-3-yl)-2-pyridinyl]-2-pyridinyl]-5-6-dipentyl-1-2-4-triazine,sc061,16,207,2,16,13.0,13,207,16,0.1,1.0,,3
8,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,TDDGA,TDDGA,sc009,14,34,1,14,2.0,8,34,14,1.0,5.0,,15
9,CCN(CC)C(=O)COCC(=O)N(CC)CC,TEDGA,TEDGA,sc071,12,84,1,12,7.0,8,84,12,0.95,0.95,,8
10,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,DMDPDGA,DMDPDGA,sc076,11,78,3,11,8.0,8,78,11,1.0,4.0,,10
