level,n_pairs,mean_pearson,median_pearson,frac_pearson_gt_0p8,frac_pearson_lt_0,mean_spearman,mean_mae,median_mae,p90_mae,mean_mae_raw,mean_sf_mae,median_sf_mae,p90_sf_mae,mean_n_shared
within extractant (all pairs),3208,0.7026857712126164,0.9411534396672665,0.6864089775561097,0.10692019950124688,0.6744606883505212,0.22986495709596094,0.16796935858762455,0.5142087141833712,0.4433494497066549,0.34228296598331764,0.25599363185994223,0.7436022581025523,7.167082294264339
"within extractant, same publication",1066,0.7459287890465003,0.9562234363030977,0.700750469043152,0.075046904315197,0.7340849304808041,0.18957328913321694,0.1561162320857489,0.37607362931010857,0.2572028532091663,0.2791624077581273,0.23015043738194785,0.5633799516175638,8.22983114446529
"within extractant, different publication",2142,0.6809107731173715,0.9338537102552812,0.6792717086834734,0.12278244631185807,0.6444369336763042,0.24991673956481492,0.1736017304153305,0.5726275923426395,0.5359882320905591,0.373695904857292,0.27165987010095083,0.8436601285685367,6.6381886087768445
"different extractant, same chemotype",7628,0.5060744550551826,0.9023839801341854,0.5836392239119035,0.21525957000524384,0.49741641425082495,0.3425881384222698,0.29137019051025004,0.6672650242410763,0.5101129678756297,0.5191770817608727,0.4419758505460281,1.0144839292705707,6.421080230728894
random cell pairs,20000,0.33475411404180216,0.6975435483705426,0.4397,0.30965,0.3181645151241352,0.3798251299093129,0.3083947800594281,0.7758283784170982,0.5033824246459592,0.5664450809072017,0.4649049650147646,1.1315065025882405,7.1985
