grouping,extractant,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,2d_second_unshrunk_mae,2d_second_unshrunk_rmse,2d_second_unshrunk_sign_accuracy,2d_second_unshrunk_r2,2d_ensemble_mae,2d_ensemble_rmse,2d_ensemble_sign_accuracy,2d_ensemble_r2,delta3d_unshrunk_mae,delta3d_unshrunk_rmse,delta3d_unshrunk_sign_accuracy,delta3d_unshrunk_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,mae_reduction_delta3d_vs_2d_ensemble
extractant,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,471,0.1285334274851389,0.17349142851985583,0.7579617834394905,-0.14459284720693133,0.13144139758684045,0.17738854878564322,0.7091295116772823,-0.19659213270877385,0.1297585339380653,0.17503718408118366,0.7346072186836518,-0.1650796523509379,0.10965921303556268,0.15562787392312982,0.8110403397027601,0.07897853774267194,0.10965921303556268,0.15562787392312982,0.8110403397027601,0.07897853774267194,0.020099320902502618
extractant,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,95,0.1727183205716025,0.25131706260083303,0.7052631578947368,-0.21553481516813644,0.17039055786442883,0.25118319070226985,0.7052631578947368,-0.21424017475449508,0.17039055786442883,0.25118319070226985,0.7052631578947368,-0.21424017475449508,0.1516388070796824,0.2297284442066549,0.7473684210526316,-0.01567086601158363,0.16537794696353242,0.24472820888054012,0.7052631578947368,-0.152634237746742,0.005012610900896414
extractant,CCN(CC)C(=O)COCC(=O)N(CC)CC,66,0.06755315316785322,0.08033788140810957,0.6363636363636364,0.46729146197535154,0.06488042628047373,0.0804094172958111,0.6363636363636364,0.4663423519468338,0.06755315316785322,0.08033788140810957,0.6363636363636364,0.46729146197535154,0.09321138569520351,0.10896133749814413,0.45454545454545453,0.02007292070081812,0.07961195466458888,0.09362340357657895,0.45454545454545453,0.2765346114729319,-0.01205880149673566
extractant,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,57,0.10203643214415167,0.13083498225552537,0.6842105263157895,-0.3852031429302465,0.10669504076669585,0.1352161746331208,0.6842105263157895,-0.4795273544988068,0.10203643214415167,0.13083498225552537,0.6842105263157895,-0.3852031429302465,0.088213899380758,0.1097769229467547,0.7894736842105263,0.024813197478507076,0.092445773243659,0.11860190433193363,0.7543859649122807,-0.13827981142637435,0.009590658900492668
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,40,0.13318412115318326,0.1798397677510249,0.6,-1.1010819910003544,0.1391636543320505,0.18321349310758067,0.45,-1.1806524020093132,0.13617388774261688,0.18115800029289508,0.55,-1.1319969076162684,0.0990294559418848,0.1511386432320371,0.725,-0.48396129162835333,0.0990294559418848,0.1511386432320371,0.725,-0.48396129162835333,0.03714443180073208
extractant,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,39,0.06667565553510192,0.10973354210929699,0.7948717948717948,0.21554125362321874,0.06676604424644353,0.11271531568579037,0.7948717948717948,0.1723300707114267,0.06667565553510192,0.10973354210929699,0.7948717948717948,0.21554125362321874,0.08311929662183326,0.11625950793177761,0.6410256410256411,0.11946165240091033,0.07425310398224923,0.11204998002531323,0.6410256410256411,0.1820723678335835,-0.007577448447147306
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,30,0.16510330297953196,0.18837056165443192,0.36666666666666664,-0.8238124900248247,0.15543547566109978,0.1790201625726137,0.5,-0.6472443042803027,0.15543547566109978,0.1790201625726137,0.5,-0.6472443042803027,0.1511018063154998,0.1652789721365029,0.7333333333333333,-0.40407183217849885,0.16113339122720885,0.18009678601720616,0.4666666666666667,-0.6671168660326079,-0.005697915566109074
extractant,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,26,0.11482115279914822,0.2008162675991741,0.7307692307692307,-5.551762987397726,0.11321362268879238,0.20244594429582916,0.7307692307692307,-5.658533021074687,0.11321362268879238,0.20244594429582916,0.7307692307692307,-5.658533021074687,0.11117766187533634,0.1646560553880364,0.6538461538461539,-3.4046946843116697,0.11118765146808227,0.1888719693283789,0.7307692307692307,-4.79556009742787,0.0020259712207101183
extractant,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,25,0.17667976204092206,0.22736837895464423,0.64,-1.1803873005381873,0.17325120622042228,0.22077957575100532,0.76,-1.0558494207479643,0.17667976204092206,0.22736837895464423,0.64,-1.1803873005381873,0.15872051590284283,0.19777588175591532,0.52,-0.649757729514624,0.16593143739434096,0.2100781000840258,0.56,-0.8613801365329901,0.010748324646581098
extractant,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,22,0.278349180853861,0.3525553971475885,0.5,-0.8231433680416738,0.278743154575101,0.34869660438501177,0.5,-0.7834524032153225,0.278743154575101,0.34869660438501177,0.5,-0.7834524032153225,0.26450787927843294,0.32531646584068563,0.5,-0.5523090094246679,0.27477630371385103,0.3451856156760308,0.5,-0.7477184323426569,0.003966850861249982
extractant,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,20,0.3562724440673665,0.42217916486243645,0.05,-3.8789672590957265,0.3513707715158167,0.4212074637302731,0.15,-3.8565339298271315,0.3562724440673665,0.42217916486243645,0.05,-3.8789672590957265,0.26462262198697734,0.3114876125330755,0.15,-1.6559253906989082,0.30655893090526165,0.36296615179504066,0.15,-2.606339136298083,0.04971351316210487
