design,model,gain,ci_low,ci_high,p_two_sided,units_better,units_worse
BQ,donor_geometry,0.25560975609756087,0.09999606299212586,0.4984139194139195,0.0008,27,8
BQ,lean_all,0.20281218104388832,0.053613152919047107,0.4402183451295293,0.0058,30,15
BQ,donor_pair_min,-0.120903811635519,-0.40197248654153933,0.2974091153076661,0.653,34,41
BR,donor_geometry,0.2570731707317072,0.0985263157894738,0.4970868983957215,0.0006,28,7
BR,lean_all,0.207080561714708,0.05408050553847645,0.44441950115562406,0.0064,30,13
BR,donor_pair_min,-0.0137071059022279,-0.21884343008233262,0.3047591902632883,0.9872,28,39
