design,model,n_units,macro_accuracy,ci_low,ci_high
A,lean_all,82,0.8040681495559544,0.710099957912458,0.8647280671891178
A,donor_geometry,82,0.7980646183085208,0.677664997397756,0.8724647440589469
A,donor_pair_min,82,0.6057976982367227,0.5199756269159254,0.688851047420013
A,always_heavy,82,0.5585524231865696,0.3157186184313114,0.7118270604130477
B,donor_geometry,82,0.8219670573329112,0.7100651001540831,0.8968424386909624
B,lean_all,82,0.7671092457677823,0.6479089890022094,0.846681112012987
B,always_heavy,82,0.5585524231865696,0.3144474921630094,0.7145703881421146
B,donor_pair_min,82,0.4807443775736459,0.3797245334497436,0.6390926573426575
BP,donor_geometry,82,0.7683085207475452,0.6265651515151514,0.8480916636879939
BP,lean_all,82,0.7209109679841388,0.591603202214955,0.7994890052332306
BP,always_heavy,82,0.5585524231865696,0.3146465022806305,0.7149054677206851
BP,donor_pair_min,82,0.4504941400063351,0.3100280951576138,0.6538291155130426
BQ,donor_geometry,82,0.8141621792841305,0.6952767595307917,0.8908216845646044
BQ,lean_all,82,0.7613646042304579,0.6371188771274389,0.8411512497457027
BQ,always_heavy,82,0.5585524231865696,0.3157186184313114,0.7118270604130477
BQ,donor_pair_min,82,0.4376486115510506,0.2982815474847733,0.6372356473964009
BR,donor_geometry,82,0.8156255939182768,0.7014924058766832,0.8924764212264212
BR,lean_all,82,0.7656329849012776,0.6467856836318677,0.8407997081315897
BR,always_heavy,82,0.5585524231865696,0.3144474921630094,0.7145703881421146
BR,donor_pair_min,82,0.5448453172843417,0.4640281863070158,0.6673191467646457
