feature,n,spearman_amp,spearman_curv
coord__dist__frac_donor_pairs_within_3,80,-0.5299729567002173,-0.11304065738329493
coord__dist__donor_eccentricity_min,80,0.5090319605516048,0.22910007158840506
coord__dist__donor_pair_median,80,0.5004238405179343,0.16594629607953687
coord__dist__donor_pair_min,80,0.47975283406510516,0.26306833342326824
cond__diluent__isopar_l_with_30_vol_exxal_13,82,-0.4725413292048542,-0.27374637686498987
cond__acid__hno3,82,0.4614725569095625,0.22754581050238398
cond__acid__hcl,82,-0.4591001576629081,-0.22809118963954594
coord__arm__core_branch_degree,80,0.422762634185046,0.10172759454109659
massact__log10_cond__contact_time_min,39,-0.3841674761049819,-0.3380841365504039
cond__contact_time_min,39,-0.37551541927506915,-0.34768384412385683
coord__arch__graph_diameter,80,-0.2938494542747391,-0.23602057977081353
coord__donor__n_O_ether,80,-0.2934278929694412,-0.15445564261618822
coord__motif__n_named_chelating_units,80,0.29239840134493084,0.16321805499223233
FractionCSP3,82,-0.28792633797653927,-0.2603227805009124
coord__arch__fraction_csp3,80,-0.2864732149093785,-0.27011437358150653
coord__arm__mean_donor_distance_to_core,80,0.28169281715870237,0.09477566366345411
coord__dist__donor_pair_mean,80,0.28097639301362526,0.05789584976751339
NumAromaticRings,82,0.2791215578152438,0.2801264841701217
coord__arch__n_aromatic_rings,80,0.2738242491882752,0.29606994151523996
RingCount,82,0.2714584368370451,0.2795451075605786
coord__arch__n_rings,80,0.26450230398721625,0.29944124940188993
NumRotatableBonds,82,-0.24473220739012339,-0.31028314312422356
coord__arch__n_rotatable_bonds,80,-0.24128898757962516,-0.3207841489227034
coord__motif__n_aryl_amide,80,0.2220741150770295,0.39171554624831795
coord__motif__n_picolinamide_arm,80,0.2220741150770295,0.39171554624831795
coord__dist__n_donor_pairs_within_2,80,-0.2182917350453984,-0.3365769540353644
coord__motif__n_pyridine_like_ring,80,0.21386328966025128,0.29367822455762005
coord__dist__n_four_membered_chelate_pairs,80,-0.2075705032272404,-0.33984347889520994
chem__donor__O(ether),82,-0.20476601934075112,-0.2012745225215006
chem__n_fill,82,0.1992295448161981,0.3422154548449271
coord__motif__n_phosphine_oxide,80,0.19541837153874483,-0.17248092290991188
