design,model,gain,ci_low,ci_high,p_two_sided,units_better,units_worse,n_units
A,lean_all,0.2455157263693848,0.10132605216256696,0.48044394841269805,0.0002,31,12,82
A,donor_geometry,0.2395121951219512,0.087920792079208,0.47693548387096757,0.002,28,8,82
A,donor_pair_min,0.04724527505015308,-0.12084084317937714,0.3219309826203207,0.6156,31,38,82
B,donor_geometry,0.2634146341463416,0.10508262711864397,0.503448275862069,0.0004,28,6,82
B,lean_all,0.20855682258121266,0.05244650960955295,0.45351056547619034,0.0076,30,14,82
B,donor_pair_min,-0.07780804561292365,-0.31982960240355607,0.2952243778306951,0.7348,34,41,82
BP,donor_geometry,0.20975609756097557,0.0666560509554139,0.42541005291005274,0.0022,26,7,82
BP,lean_all,0.16235854479756917,0.024411592435795767,0.3775950811359025,0.0186,28,20,82
BP,donor_pair_min,-0.10805828318023447,-0.38679017117389214,0.3060197901925108,0.7106,32,40,82
