k,pipeline_arm,adapter,policy,gen10_macro_mae,claimed_in_brief,abs_delta,n_ligands,best_deployable_arm,best_deployable_mae,gen8_frontier,gen9_frontier,global_model,common_cohort_size
0,ZERO_SHOT,ZERO_SHOT,NONE,1.0357994416277343,1.0358,5.583722657576118e-07,99,ZERO_SHOT,1.0357994416277343,1.0605,1.0358,GEN9_SHAPE_RECOMPOSED,99
1,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K1,CENTRAL_THEN_SPREAD,0.653872837772772,0.6539,2.716222722798367e-05,99,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,0.653872837772772,0.6674,0.6539,GEN9_SHAPE_RECOMPOSED,99
2,SERIES_ML@CENTRAL_THEN_SPREAD,SERIES_ML,CENTRAL_THEN_SPREAD,0.5592988144741076,0.5593,1.1855258924553524e-06,99,SERIES_ML@CENTRAL_THEN_SPREAD,0.5592988144741076,0.5879,0.5746,GEN9_SHAPE_RECOMPOSED,99
3,SERIES_ML@CENTRAL_THEN_SPREAD,SERIES_ML,CENTRAL_THEN_SPREAD,0.49280898262314987,0.4928,8.982623149855762e-06,99,SERIES_ML@CENTRAL_THEN_SPREAD,0.49280898262314987,0.523,0.5109,GEN9_SHAPE_RECOMPOSED,99
5,SERIES_ML@CENTRAL_THEN_SPREAD,SERIES_ML,CENTRAL_THEN_SPREAD,0.4405418081356232,0.4405,4.1808135623211395e-05,99,SERIES_ML@D_OPTIMAL,0.44032090173202865,0.4743,0.4675,GEN9_SHAPE_RECOMPOSED,99
