model,arm,arm_kind,design_corner,axis_label,n_curves,n_ligands,shape_mae,slope_mae,slope_true_median,slope_pred_median,span_recovery_median,within_curve_spearman,within_curve_sign_accuracy,design_matched_baseline,baseline_shape_mae,shape_improvement_vs_baseline,frozen_anchor_shape_mae,shape_improvement_vs_frozen
A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,FROZEN_3|ANNOTATION_SAFE,acid,421.0,68.0,0.5402767543452903,1.3583027857754442,1.6557758087863772,0.6965989681615425,0.38214075115381446,0.6011563298674695,0.7852248719718269,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.5402767543452903,,0.5453233535058455,0.005046599160555165
A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,FROZEN_3|ANNOTATION_SAFE,contact_time,8.0,8.0,0.07319494708263566,0.004113444202997277,0.00014296899524398737,-1.1492692209233905e-05,,0.19319263041128276,0.5529166666666667,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.07319494708263566,,0.07312988753142831,-6.505955120734985e-05
A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,FROZEN_3|ANNOTATION_SAFE,extractant,155.0,25.0,0.47329545063051814,1.5159237789570987,2.573675226299942,1.1420003053551178,0.4348494990004202,0.840715668539574,0.9058647839615583,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.47329545063051814,,0.46919411338733114,-0.004101337243187009
A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,FROZEN_3|ANNOTATION_SAFE,metal_concentration,9.0,4.0,0.26907678063988116,0.8491665502899244,-1.1226193871745382,-0.0009150087473137047,0.01172976664877974,0.09412683406118723,0.5342274047666205,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.26907678063988116,,0.26983611288473996,0.0007593322448588014
A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,FROZEN_3|ANNOTATION_SAFE,metal_series,321.0,84.0,0.29018232348553974,0.092491527974863,0.08443469855079262,0.08552730952822545,0.6215855943276187,0.5738590989111816,0.7657823775191568,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.29018232348553974,,0.29112879088438637,0.0009464673988466288
A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,FROZEN_3|ANNOTATION_SAFE,temperature,32.0,5.0,0.40775652542432883,0.03945226657791192,-0.04032650561688559,-4.933341189342477e-05,0.13670846837587408,0.0007943472803598972,0.5195833333333334,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.40775652542432883,,0.4077324562510797,-2.4069173249152698e-05
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,FROZEN_3|FROZEN_8,acid,421.0,68.0,0.5453233535058455,1.379567734780112,1.6557758087863772,0.6482452416089826,0.3626084784948588,0.5980397724528802,0.7838585547762045,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,0.5453233535058455,,0.5453233535058455,0.0
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,FROZEN_3|FROZEN_8,contact_time,8.0,8.0,0.07312988753142831,0.0039581188889216785,0.00014296899524398737,-1.2640383193249054e-05,,0.16768034541063256,0.545625,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,0.07312988753142831,,0.07312988753142831,0.0
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,FROZEN_3|FROZEN_8,extractant,155.0,25.0,0.46919411338733114,1.5103337371475216,2.573675226299942,1.1391991278516467,0.4171673731461986,0.8856282679685347,0.9255721769270157,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,0.46919411338733114,,0.46919411338733114,0.0
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,FROZEN_3|FROZEN_8,metal_concentration,9.0,4.0,0.26983611288473996,0.8475735155249084,-1.1226193871745382,0.002028954527989203,0.010213915561527242,0.03199207684196762,0.523708796649973,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,0.26983611288473996,,0.26983611288473996,0.0
