arm,aux_rows,aux_extractant_systems,aux_structures,aux_metals,aux_publications,aux_rows_without_doi,aux_series,aux_cohort_chemotypes_hit,aux_structures_in_no_cohort_chemotype,aux_new_chemotypes,aux_rows_on_new_chemistry,aux_structures_already_in_cohort,aux_rows_near,aux_structures_near,aux_rows_mid,aux_structures_mid,aux_rows_far,aux_structures_far,aux_row_weighted_median_max_tanimoto,aux_rows_fingerprint_identical_to_cohort,aux_structures_fingerprint_identical_to_cohort,total_rows,total_extractant_systems,total_structures,total_metals,total_publications,total_rows_without_doi,total_series,total_chemotypes,total_chemotypes_unresolved_rows,total_rows_delta_vs_control,aux_usable_curves,aux_curves_on_new_chemistry,aux_curves_far,aux_largest_publication_share,aux_effective_publications,aux_effective_structures,aux_effective_chemotypes,n_oof_variants_run,oof_variants_run,predictions_available
A_GEN10_CONTROL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,5938,153,152,14,100,369,363,79,0,0,0,0,0,,,,,4,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1;A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1;A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1;A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,True
B_LN_EXPANDED,86,8,6,5,8,39,23,2,1,1,11,5,75,5,0,0,11,1,1.0,75,5,6024,157,153,15,100,408,372,80,0,86,6,0,0,0.6595744680851063,3.3500120504725777,2.11024915655629,1.7576395657179444,1,B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,True
C_LN_PLUS_ACTINIDES,4896,156,153,8,52,488,343,43,44,37,908,71,4116,119,489,10,291,24,1.0,2779,76,10834,237,234,22,113,857,535,116,0,4896,864,156,56,0.426497277676951,11.83373668225074,37.411210358072765,9.967761357659429,0,,False
D_LN_PLUS_NON_ACTINIDE,456,7,7,17,15,7,19,2,1,1,13,5,443,6,0,0,13,1,1.0,424,5,6394,155,154,31,104,376,369,80,0,456,79,2,2,0.2071269487750557,10.876930208012576,2.5768903308108,1.3518763808887295,0,,False
E_LN_PLUS_ALL,5438,159,155,30,59,534,353,43,45,38,932,72,4634,120,489,10,315,25,1.0,3278,77,11376,239,235,40,116,903,541,117,0,5438,954,158,58,0.3833605220228385,15.239090088358951,32.63378627999275,8.921138437799302,0,,False
F_ACTINIDES_ONLY_MATCHED,456,83,81,6,46,40,172,27,23,19,82,44,385,62,37,4,34,15,1.0,255,46,6394,191,189,20,112,409,451,98,0,456,12,2,1,0.4302884615384615,11.172766925341046,30.951665906647143,8.951445270231618,0,,False
G_RANDOM_AUX_MATCHED,456,82,81,19,48,36,168,22,25,20,91,41,378,62,41,5,37,14,1.0,266,43,6394,194,192,33,114,405,451,99,0,456,13,5,3,0.4023809523809524,12.743813035561876,30.1533547004092,8.65111046450973,0,,False
