arm,arm_kind,criterion,description,measured_quantity,measured_value,threshold,requirement,requirement_met,status,evidence_table,reason,negative_control_note
A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,DESIGN_CONTROL,A_ZERO_SHOT,zero-shot macro MAE improves by >= 0.02 on the locked benchmark,not applicable,,0.02,consistent seed direction,,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,DESIGN_CONTROL,B_FEW_SHOT,few-shot macro MAE improves by >= 0.01 at two or more k,not applicable,,0.01,"at least two k, no meaningful degradation at later k",,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,DESIGN_CONTROL,C_SHAPE,shape MAE improves by >= 0.10 on a scientifically important axis,not applicable,,0.1,macro non-worse,,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,DESIGN_CONTROL,D_FAR_CHEMOTYPE,clear improvement on distant held-out chemotypes,not applicable,,,"statistically supported, overall benchmark not degraded",,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,DESIGN_CONTROL,E_ROBUSTNESS,meaningfully lower query-design sensitivity at matched accuracy,not applicable,,,matched predictive accuracy,,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,DESIGN_CONTROL,A_ZERO_SHOT,zero-shot macro MAE improves by >= 0.02 on the locked benchmark,not applicable,,0.02,consistent seed direction,,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,DESIGN_CONTROL,B_FEW_SHOT,few-shot macro MAE improves by >= 0.01 at two or more k,not applicable,,0.01,"at least two k, no meaningful degradation at later k",,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,DESIGN_CONTROL,C_SHAPE,shape MAE improves by >= 0.10 on a scientifically important axis,not applicable,,0.1,macro non-worse,,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,DESIGN_CONTROL,D_FAR_CHEMOTYPE,clear improvement on distant held-out chemotypes,not applicable,,,"statistically supported, overall benchmark not degraded",,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,DESIGN_CONTROL,E_ROBUSTNESS,meaningfully lower query-design sensitivity at matched accuracy,not applicable,,,matched predictive accuracy,,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
