comparison,reference,candidate,statistic,point_delta,ci95_low,ci95_high,p_worse_one_sided,units_improved,units_total,bootstrap_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration,band,band_scheme,n_rows,n_units,status
band,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,mae,-0.018630516936381552,-0.06680690924990584,0.03451947429359451,0.7654469106178764,12,30,28,5000,-0.021252035124249426,10,0.06666666666666667,0.025972212938050847,-0.07192109602319835,0.03466006215043525,0.4793340263230282,-0.060679957305307126,0.042415221097008335,0.054671719780786804,0.0369703507192686,far,GEN11_ANALYSIS,2138,30,OK
band,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,mae,-0.015397139297731352,-0.041597699597884785,0.012904691641587536,0.8734253149370126,36,87,56,5000,-0.019949850178818673,21,0.1839080459770115,0.013192798310412996,-0.04183609792870037,0.011041819333237666,0.2482105374245628,-0.04098053341746266,0.013798565852608755,0.0025066308995717666,0.01049670407256696,far,GEN10_TERCILE,6736,87,OK
