comparison,value,reference,candidate,point,n_units,n_chemotypes,kish_chemotypes,max_chemotype_share,dof_bell_mccaffrey,se_pairs_bootstrap,se_cr1,se_cr2,se_cr3,p_pairs_percentile_OLD,p_cr2_t_bm,p_wcr,p_wcu,wcr_ci_low,wcr_ci_high,mde80_OLD_2.80xse,mde80_cr2_t,rope,P_better_unit,P_rope_unit,P_worse_unit,P_better_chemo,P_rope_chemo,P_worse_chemo,P_better_re,P_rope_re,P_worse_re,re_post_mean,re_ci_low,re_ci_high
M_SELECTED_vs_B1_MEAN_CURVE,mae_all,B1_MEAN_CURVE,M_SELECTED,0.05346667603145351,90,45,11.67,0.256,11.13,0.020122933095537227,0.019136665053458204,0.01958392343403091,0.020133836363153634,0.0038,0.01938249193985226,0.0105,0.0104,0.018215613850197862,0.10340568078823233,0.05634421266750423,0.060178793002859284,0.02,0.97205,0.0279,5e-05,0.8361,0.1613,0.0026,0.8181222842003105,0.1777611535955651,0.004116562204124271,0.03843723711705375,-0.004848534489827627,0.07905433700950938
M_SELECTED_vs_B2_PAIRMEAN,mae_all,B2_PAIRMEAN,M_SELECTED,0.05714527318996765,90,45,11.67,0.256,11.13,0.024014349959598336,0.023448755003668127,0.02459222481863037,0.025989049671826765,0.0034,0.040051485243826575,0.0073,0.0569,0.014723685377830253,0.11801102961607782,0.06724017988687533,0.07556863729708349,0.02,0.97245,0.0275,5e-05,0.86475,0.1332,0.00205,0.8628602716517263,0.13419579782189872,0.0029439305263748183,0.04399150673337124,-0.002182976640322751,0.08710664966096894
M_SELECTED_vs_B3_NN_TANIMOTO,mae_all,B3_NN_TANIMOTO,M_SELECTED,0.13277063637774764,90,45,11.67,0.256,11.13,0.03273940925450102,0.03228977998814325,0.034377373661795975,0.036938561851469265,0.0002,0.0025859838128750434,0.001,0.004,0.0502649395894373,0.1946499089689804,0.09167034591260285,0.10563709874295361,0.02,0.9998,0.0002,0.0,0.9844,0.015,0.0006,0.9985688508849302,0.0013586912794796512,7.245783559020703e-05,0.1227081344324681,0.057231456661319416,0.17761438690942766
M_SELECTED_vs_B4_HEAVIER_ALWAYS,mae_all,B4_HEAVIER_ALWAYS,M_SELECTED,0.1007756221925335,90,45,11.67,0.256,11.13,0.07448815233417551,0.07804437776280881,0.08700729337937885,0.09749959815713449,0.1118,0.27100588434522965,0.3199,0.3923,-0.08193969390416211,0.25738875027541536,0.20856682653569142,0.26736184481390085,0.02,0.903,0.0694,0.0276,0.98905,0.0101,0.00085,0.994295145945723,0.005184021897926675,0.0005208321563503264,0.14019071841524247,0.0481324752057426,0.2239117906269408
M_SELECTED_vs_C_DIRECT_ROW,mae_all,C_DIRECT_ROW,M_SELECTED,-0.0015684700705989412,90,45,11.67,0.256,11.13,0.024490148506333655,0.024167795888508637,0.025432079434456037,0.026981500707573547,0.9556,0.951916521826798,0.9468,0.9481,-0.047346213052619796,0.05946852057209556,0.06857241581773423,0.07814939887167395,0.02,0.18945,0.61105,0.1995,0.02375,0.38765,0.5886,0.0481929652232949,0.4903987420104582,0.4614082927662466,-0.018690948500446246,-0.06586806631409807,0.024807203090424314
M_SELECTED_vs_M_PHYSICS_radius+radius_sq,mae_all,M_PHYSICS_radius+radius_sq,M_SELECTED,0.009156541341551385,90,45,11.67,0.256,11.13,0.006639607162419306,0.006558552136846622,0.00691834600841955,0.007353580960282273,0.2242,0.21219721264260563,0.2944,0.2539,-0.007447489078655532,0.02109068820607512,0.018590900054774054,0.02125915748012829,0.02,0.0217,0.9783,0.0,0.16005,0.83995,0.0,0.036727916739622224,0.9632701515226875,1.9317376904983986e-06,0.00997737419324848,-0.001162725115970702,0.020949197802729864
