design,band,arm,n_pair_tasks,obs_spread,spearman,top1,regret,regret_sd,frac_of_oracle
B,adjacent (dZ=1),FLAT,60,1.7251755330228158,0.0,0.01593958364478285,0.862587766511408,0.0,0.0
B,adjacent (dZ=1),G13_FULL,60,1.7251755330228158,0.31337063758176403,0.0,0.915778763335846,0.01334059827897096,-0.19126299570284433
B,adjacent (dZ=1),G14,60,1.7251755330228158,0.2271249662440466,0.015045634920634921,0.8301459212103083,0.0161500958236537,0.11665366112420364
B,adjacent (dZ=1),G14_TIED,60,1.7251755330228158,0.3206683896264346,0.02151728789831501,0.8036225490572182,0.009928526434652257,0.21202580898759374
B,adjacent (dZ=1),HEAVIER_ALWAYS,60,1.7251755330228158,0.0,0.01593958364478285,0.862587766511408,0.0,0.0
B,adjacent (dZ=1),MEAN_CURVE,60,1.7251755330228158,-0.13248080079785124,0.013153234656467413,0.9008594755127242,0.0181987206836876,-0.13761655451616153
B,adjacent (dZ=1),O_BOTH,60,1.7251755330228158,0.6347668544966864,0.25,0.5844838048487029,0.0,1.0
B,adjacent (dZ=1),_RANDOM,60,1.7251755330228158,0.0,0.01593958364478285,0.862587766511408,0.0,0.0
B,near (dZ 2-4),FLAT,150,2.215798912215957,0.0,0.015880859813359103,1.1078994561079787,0.0,0.0
B,near (dZ 2-4),G13_FULL,150,2.215798912215957,0.4580103637063256,0.003333333333333333,0.8574541896064705,0.07352612217539467,0.3053110964422961
B,near (dZ 2-4),G14,150,2.215798912215957,0.31491509669949963,0.01132804232804233,0.9970677441326545,0.03426175310255761,0.13511196269129405
B,near (dZ 2-4),G14_TIED,150,2.215798912215957,0.4569527802274411,0.0260906115640084,0.909239369510277,0.020735896313930753,0.2421811747761683
B,near (dZ 2-4),HEAVIER_ALWAYS,150,2.215798912215957,0.0,0.015880859813359103,1.1078994561079787,0.0,0.0
B,near (dZ 2-4),MEAN_CURVE,150,2.215798912215957,-0.21909433206521234,0.005193417842611391,1.2444346908164063,0.0436925797495606,-0.16644643675701193
