design,band,arm,sign_acc,sd_seed,n_pairs,n_extractants
B,all,FLAT,0.5,0.0,40455,86
B,all,MEAN_CURVE,0.5785303068521226,0.023467343561302843,40455,86
B,all,G14,0.8081496698831565,0.015940736593477844,40455,86
B,all,G13_FULL,0.7706117451475348,0.010212568299329334,40455,86
B,all,O_BOTH,0.9721828318299754,1.2412670766236366e-16,40455,86
B,all,HEAVIER_ALWAYS,0.6297949895142496,0.0,40455,86
B,all,G14_TIED,0.8096218692455256,0.014279380267730873,40455,86
B,dZ=1,FLAT,0.5,0.0,1770,59
B,dZ=1,MEAN_CURVE,0.7071974727815749,0.02407323687633143,1770,59
B,dZ=1,G14,0.7490988121630687,0.024345610351925395,1770,59
B,dZ=1,G13_FULL,0.7699267648130552,0.015377848112044597,1770,59
B,dZ=1,O_BOTH,0.8808017729011078,0.0,1770,59
B,dZ=1,HEAVIER_ALWAYS,0.7247673620689068,0.0,1770,59
B,dZ=1,G14_TIED,0.7912645372101498,0.02075223610585191,1770,59
B,dZ 2-4,FLAT,0.5,0.0,13175,81
B,dZ 2-4,MEAN_CURVE,0.6219661216969868,0.028905279341240094,13175,81
B,dZ 2-4,G14,0.7891514599626022,0.0189867686652946,13175,81
B,dZ 2-4,G13_FULL,0.7725839174080131,0.007976908371158801,13175,81
B,dZ 2-4,O_BOTH,0.9578656017631475,0.0,13175,81
B,dZ 2-4,HEAVIER_ALWAYS,0.6602474421696954,0.0,13175,81
B,dZ 2-4,G14_TIED,0.783068955361579,0.015680191737729294,13175,81
B,dZ 5-8,FLAT,0.5,0.0,16160,83
B,dZ 5-8,MEAN_CURVE,0.5501128868226299,0.027196026075513618,16160,83
B,dZ 5-8,G14,0.8250854887800958,0.023390054451889557,16160,83
B,dZ 5-8,G13_FULL,0.7972971299811288,0.010097150292315133,16160,83
B,dZ 5-8,O_BOTH,0.9900948172568796,0.0,16160,83
B,dZ 5-8,HEAVIER_ALWAYS,0.635749645475436,0.0,16160,83
B,dZ 5-8,G14_TIED,0.8250854887800958,0.023390054451889557,16160,83
B,dZ 9-13,FLAT,0.5,0.0,8740,74
B,dZ 9-13,MEAN_CURVE,0.612821957257134,0.02878244576217167,8740,74
B,dZ 9-13,G14,0.8617002030189298,0.020043779694853193,8740,74
B,dZ 9-13,G13_FULL,0.8064702116483359,0.015877783039708552,8740,74
B,dZ 9-13,O_BOTH,0.9939039148268168,0.0,8740,74
B,dZ 9-13,HEAVIER_ALWAYS,0.6506033919221187,0.0,8740,74
B,dZ 9-13,G14_TIED,0.8617002030189298,0.020043779694853193,8740,74
B,0.3-0.5,FLAT,0.5,0.0,10695,82
B,0.3-0.5,MEAN_CURVE,0.5223159457247493,0.028813069169402735,10695,82
