design,comparison,point,ci95_low,ci95_high,p_two_sided,seeds_positive,n_seeds,loco_stable,loco_min,loco_max,passes_P1,family,lead,model,set,target,value,stage,n_units,partial_rho_n_metals,ci_excludes_zero,rho_chemotype_means,clears_familywise_bar,passes_L1_rule,p_bh_within_family,_src,reference,candidate,bca_low,bca_high,bootstrap_se,mde_80,block_macro,units_improved,loco_sign_stable,margin,passes_intervals,p_perm,p_registered,ci_task_low,ci_task_high,p_task_boot,ci_block_low,ci_block_high,p_block_boot,conservative_interval,n_extractants,n_blocks,passes_registered,rule,replicates,permutations,bootstrap_seed,endpoint,p_bh_within_lead_family,budget,p_bh_lead,praw,q_bh126
corpus,stage1:SPECIES_slope_vs_a@S8,-0.0836795850016368,-0.2974394286363624,0.2399145534934879,0.5178778229378215,,0,False,-0.1288691303139761,0.0004530353367562,False,registered,L1,SPECIES,S8,a,slope,stage1,62,-0.0808874825693345,False,0.0270935960591132,False,False,0.5178778229378215,L1/contrasts_stage1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5178778229378215,0.7183384615384616
corpus,stage1:SPECIES_CONST_slope_vs_a@S8,0.1666666666666666,,,0.4952660907838652,,0,True,0.0732714138286893,0.3352941176470588,False,registered,L1,SPECIES_CONST,S8,a,slope,stage1,19,0.156064119736953,False,0.2131868131868131,False,False,0.5178778229378215,L1/contrasts_stage1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4952660907838652,0.7011632296490675
BP,OCURVLPO_vs_G14,0.0286988177633845,-0.0013004305051371,0.0531941393250933,0.0608,5.0,5,,0.0222532888257304,0.0338218368455628,False,registered,L2,,,,mae_all,,90,,,,,,,L2/gate_contrasts.csv,G14,O_CURV_LPO,5.735490852111823e-06,0.054448774643867,0.0138027752451583,0.0386477706864434,0.0301855014769749,61.0,True,0.02,False,,,,,,,,,,,,,,,,,,,,,0.0608,0.13272
B,OCURVLPO_vs_G14,0.0298306927310397,-0.0019985302810378,0.0562984979935399,0.065,5.0,5,,0.0235652432982492,0.0350901698277404,False,registered,L2,,,,mae_all,,90,,,,,,,L2/gate_contrasts.csv,G14,O_CURV_LPO,-0.0017620585345148,0.0564819966760622,0.014734054561637,0.0412553527725836,0.0320152699896424,63.0,True,0.02,False,,,,,,,,,,,,,,,,,,,,,0.065,0.13426229508196721
BR,OCURVLPO_vs_G14,0.026837394599494,-0.0061982376951553,0.0528725872871816,0.104,5.0,5,,0.0193275771901454,0.0319424152418369,False,registered,L2,,,,mae_all,,90,,,,,,,L2/gate_contrasts.csv,G14,O_CURV_LPO,-0.0046690977093414,0.0539282352765141,0.0149730275741699,0.0419244772076757,0.0256369778116817,61.0,True,0.02,False,,,,,,,,,,,,,,,,,,,,,0.104,0.20475
BQ,OCURVLPO_vs_G14,0.0263708394662417,-0.0087383389439147,0.0538455584295491,0.129,5.0,5,,0.01914065644689,0.0330441271049538,False,registered,L2,,,,mae_all,,90,,,,,,,L2/gate_contrasts.csv,G14,O_CURV_LPO,-0.0092725784405082,0.0534851079728986,0.0158875243410115,0.0444850681548323,0.0257239424085873,62.0,True,0.02,False,,,,,,,,,,,,,,,,,,,,,0.129,0.24627272727272728
A,OCURVLPO_vs_G14,0.0322556135136743,0.0032247496866571,0.0581087662869986,0.0306,5.0,5,,0.0260289009947015,0.037546580200811,True,registered,L2,,,,mae_all,,90,,,,,,,L2/gate_contrasts.csv,G14,O_CURV_LPO,0.0045151930969995,0.0596404528045122,0.0138339123108597,0.0387349544704072,0.0350185636040137,65.0,True,0.02,True,,,,,,,,,,,,,,,,,,,,,0.0306,0.080325
B,G14_saved_vs_0,2.206544553690845,0.5207022547142526,4.117731795599427,0.007,5.0,5,True,1.490616383008338,2.728572230261733,True,registered,L3,,,,saved,,455,,,,,,,L3/l3a_contrasts.csv,random order,G14,,,,,,,True,0.02,,0.0,0.0,,,,0.5207022547142526,4.117731795599427,0.007,chemotype-blocked,90.0,45.0,True,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000.0,2000.0,8675309.0,,,,,0.007,0.03266666666666667
BR,G14_saved_vs_0,2.1492837329594243,0.4549873551833919,3.984879465635062,0.009,5.0,5,True,1.5083632518029475,2.684810463642516,True,registered,L3,,,,saved,,455,,,,,,,L3/l3a_contrasts.csv,random order,G14,,,,,,,True,0.02,,0.0,0.0,,,,0.4549873551833919,3.984879465635062,0.009,chemotype-blocked,90.0,45.0,True,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000.0,2000.0,8675309.0,,,,,0.009,0.03910344827586207
BQ,G14_saved_vs_0,2.1789980625836822,0.4682765413067176,4.069607086751335,0.01,5.0,5,True,1.479286917061799,2.699868968662088,True,registered,L3,,,,saved,,455,,,,,,,L3/l3a_contrasts.csv,random order,G14,,,,,,,True,0.02,,0.0,0.0,,,,0.4682765413067176,4.069607086751335,0.01,chemotype-blocked,90.0,45.0,True,"saved > 0, permutation p < 0.05, chemotype-blocked CI excludes 0, all five designs",2000.0,2000.0,8675309.0,,,,,0.01,0.042
