                    arm  k_measured  macro_mae  seed_sd  n_cells
          B1_MEAN_CURVE           0     0.5233   0.0102      321
          B1_MEAN_CURVE           1     0.2281   0.0024      321
          B1_MEAN_CURVE           2     0.2072   0.0021      321
          B1_MEAN_CURVE           3     0.1763   0.0039      321
X_ENS_DIRECT+LOWRANK_K2           0     0.4091   0.0069      321
X_ENS_DIRECT+LOWRANK_K2           1     0.2106   0.0022      321
X_ENS_DIRECT+LOWRANK_K2           2     0.1933   0.0013      321
X_ENS_DIRECT+LOWRANK_K2           3     0.1674   0.0046      321
