split_seed,extractant,chemotype,n_pairs,n_cells,n_adjacent,n_far,n_strong,y_abs_mean,arm,mae_all,mae_adjacent,mae_far,sign_acc_strong,pair_spearman,n_cells_spearman
104729,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,10,1,2,6,5,0.34647875220000035,B1_MEAN_CURVE,0.5741540831374567,0.20676844876977887,0.7462891616236021,0.0,-0.9393939393939393,1
104729,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,10,1,2,6,5,0.34647875220000035,C_DIRECT_ROW,0.22561132918454926,0.07455820597176027,0.2997196255813621,1.0,0.9636363636363635,1
104729,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,10,1,2,6,5,0.34647875220000035,M_PHYSICS_radius+radius_sq,0.26575794939885716,0.09669125606948362,0.35319117025193963,1.0,0.9393939393939393,1
104729,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,10,1,2,6,5,0.34647875220000035,S2_CENTRED_ROW,0.4238119075813794,0.13440804895992042,0.5647005739445687,0.0,-0.6969696969696969,1
104729,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,10,1,2,6,5,0.34647875220000035,S2_CENTRED_ROW_basic,0.4525507042118296,0.15124407887435182,0.6056183839618252,0.0,-0.5272727272727272,1
104729,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,10,1,2,6,5,0.34647875220000035,S2_CENTRED_ROW_rel,0.4284363721030502,0.12397187292826678,0.5845064698066352,0.0,-0.43030303030303024,1
104729,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,10,1,2,6,5,0.34647875220000035,S2_REL_PHYSICS,0.2575165724336189,0.09409050638351416,0.3423281173585813,1.0,0.9393939393939393,1
104729,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,10,1,2,6,5,0.34647875220000035,S2_STACK_CENTRED+PHYSICS,0.3763957201266227,0.12309301109278936,0.5012477528367799,0.0,-0.4545454545454545,1
104729,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,10,1,2,6,5,0.34647875220000035,S3_EXT_LEVEL,0.19034408965587368,0.080409016208826,0.25420306476658694,1.0,0.9393939393939393,1
104729,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,10,1,2,6,5,0.34647875220000035,S3_EXTW_LOWRANK_K2,0.19436878168266075,0.08841926977711932,0.2530974618066794,1.0,0.9393939393939393,1
104729,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,10,1,2,6,5,0.34647875220000035,S3_EXTW_PHYSICS,0.12911178687162264,0.0831320503785405,0.17285031532743314,1.0,0.9393939393939393,1
104729,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,10,1,2,6,5,0.34647875220000035,S3_HIER,0.12128967092042638,0.08610679741162107,0.16945930509765852,1.0,0.8666666666666665,1
104729,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,10,1,2,6,5,0.34647875220000035,S3_HIER_shrink8,0.11450900299055364,0.0861470057588061,0.15773002097245817,1.0,0.8666666666666665,1
104729,C1COCCOCCOCCOCCOCCO1,sc001,10,1,2,6,7,0.4034118878000001,B1_MEAN_CURVE,0.8282151716649668,0.2841864208111654,1.0655074777453575,0.0,-0.9393939393939393,1
104729,C1COCCOCCOCCOCCOCCO1,sc001,10,1,2,6,7,0.4034118878000001,C_DIRECT_ROW,0.44140294045436723,0.15426869683553276,0.5660340601900797,0.14285714285714285,-0.34545454545454546,1
104729,C1COCCOCCOCCOCCOCCO1,sc001,10,1,2,6,7,0.4034118878000001,M_PHYSICS_radius+radius_sq,0.32942132017493614,0.1522299188875954,0.4066712904339301,1.0,0.8787878787878788,1
104729,C1COCCOCCOCCOCCOCCO1,sc001,10,1,2,6,7,0.4034118878000001,S2_CENTRED_ROW,0.29117485883828975,0.07303387039827565,0.3715157617079488,0.8571428571428571,0.4424242424242424,1
104729,C1COCCOCCOCCOCCOCCO1,sc001,10,1,2,6,7,0.4034118878000001,S2_CENTRED_ROW_basic,0.30352865324870393,0.090596007105922,0.3835251766862438,0.8571428571428571,0.4424242424242424,1
104729,C1COCCOCCOCCOCCOCCO1,sc001,10,1,2,6,7,0.4034118878000001,S2_CENTRED_ROW_rel,0.30421485602404974,0.07249659882498895,0.3887577715377684,0.8571428571428571,0.4424242424242424,1
104729,C1COCCOCCOCCOCCOCCO1,sc001,10,1,2,6,7,0.4034118878000001,S2_REL_PHYSICS,0.36009653016213317,0.16763679520932273,0.4427181835957476,0.8571428571428571,0.6,1
104729,C1COCCOCCOCCOCCOCCO1,sc001,10,1,2,6,7,0.4034118878000001,S2_STACK_CENTRED+PHYSICS,0.2911748588382898,0.07303387039827565,0.37151576170794876,0.8571428571428571,0.4424242424242424,1
104729,C1COCCOCCOCCOCCOCCO1,sc001,10,1,2,6,7,0.4034118878000001,S3_EXT_LEVEL,0.3159037490863803,0.141001226481551,0.394187042823756,1.0,0.9393939393939393,1
104729,C1COCCOCCOCCOCCOCCO1,sc001,10,1,2,6,7,0.4034118878000001,S3_EXTW_LOWRANK_K2,0.3249941905495778,0.1554549473431848,0.3954497985093473,1.0,0.7212121212121211,1
104729,C1COCCOCCOCCOCCOCCO1,sc001,10,1,2,6,7,0.4034118878000001,S3_EXTW_PHYSICS,0.3140390369327696,0.1430809195703826,0.3896854154442612,1.0,0.8787878787878788,1
104729,C1COCCOCCOCCOCCOCCO1,sc001,10,1,2,6,7,0.4034118878000001,S3_HIER,0.23342448146602593,0.09560964078419275,0.30512102419655207,1.0,0.8666666666666665,1
104729,C1COCCOCCOCCOCCOCCO1,sc001,10,1,2,6,7,0.4034118878000001,S3_HIER_shrink8,0.22336730439980562,0.09596637414668105,0.2914996245517797,1.0,0.8666666666666665,1
104729,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,91,1,13,49,49,0.5615598713855251,B1_MEAN_CURVE,0.43456933830290395,0.10295928077451123,0.6591785574241688,0.9591836734693877,0.850358337314859,1
104729,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,91,1,13,49,49,0.5615598713855251,C_DIRECT_ROW,0.1249952867814356,0.040605861789964726,0.16442574976491608,1.0,0.9744863831820353,1
