arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
S2_CENTRED_ROW_basic,0.48913677321536514,0.011394807847469018,0.5210989998096212,0.18160062341527544,0.646538128243406,0.7647719470354882,0.5160544354975662,0.5216929508105803,0.16983729785589619,0.7874968730112889,0.8313434680509207,90,83,88,86,5
S2_CENTRED_ROW,0.4928623751069381,0.013065863879083182,0.5225995102910669,0.1845160753663006,0.6489286564141216,0.7607370310086969,0.5092716122484932,0.530056761829871,0.1746889811559261,0.7984629573028519,0.8047212952663453,90,83,88,86,5
S2_STACK_CENTRED+PHYSICS,0.49333344576691945,0.014951117391515311,0.5260664382477612,0.1836053027090914,0.6510346892649086,0.7639987023077432,0.5062355836418672,0.5185509269097803,0.1713548908508803,0.7802714371117214,0.8187368681250773,90,83,88,86,5
S2_CENTRED_ROW_rel,0.49380995342504175,0.013820212824082688,0.523022852250449,0.18393955319222555,0.6511447298939643,0.764664926630066,0.5093756880089199,0.5318095847287722,0.17496133902264616,0.8007978938465586,0.803880855271289,90,83,88,86,5
C_DIRECT_ROW,0.49532081290529495,0.01852195881294761,0.5365246496736487,0.1841089568018473,0.6539652711907815,0.7218431230559683,0.4626349332498739,0.5245128768639454,0.16797196484692728,0.7985367314276824,0.8150537634408602,90,83,88,86,5
S3_EXT_LEVEL,0.49616603524935954,0.008929597764088549,0.5401721165195921,0.18816195933731786,0.6555822144352531,0.7478426979962508,0.44906613803580175,0.48264058520689723,0.16495078553479747,0.718221327012008,0.8657273513780744,90,83,88,86,5
S2_REL_PHYSICS,0.4968006253731042,0.008387403374817805,0.541255565751827,0.1878645806643866,0.6550497928728246,0.7389324466235867,0.4444731371438504,0.4900092822505207,0.16526958064416447,0.7310440491697209,0.846570263255469,90,83,88,86,5
M_PHYSICS_radius+radius_sq,0.49792999555684175,0.007321158742346639,0.5424761748830363,0.18845974223300313,0.6571930224937601,0.7440131833137927,0.45133693414764553,0.4911850928941966,0.16562173944823633,0.7332395555216441,0.8521814361636386,90,83,88,86,5
S3_EXTW_LOWRANK_K2,0.49857537622547243,0.010116037203606857,0.541695194910876,0.18923466628606184,0.6579798785387949,0.7256880644735346,0.42166293104358027,0.4983105347175622,0.16820447521435627,0.7443272982535534,0.8274873316030157,90,83,88,86,5
S3_EXTW_PHYSICS,0.4986414693988973,0.01109777400479687,0.53674209093837,0.18794443998846408,0.6587567493981521,0.7423598655844738,0.45236129684972076,0.49622181890829276,0.16667510944589933,0.7411034104281453,0.8544308490915833,90,83,88,86,5
S3_HIER_shrink8,0.5013328571482385,0.007840389725277027,0.5631630359918541,0.1893443591042744,0.6608895888576746,0.7339708647320758,0.4551561932911767,0.4879128323913597,0.1671286225948208,0.7259732618841236,0.8441972562106044,90,83,88,86,5
S3_HIER,0.5014095998892885,0.009500880227558867,0.562009342299101,0.1890989648403391,0.6617405494925606,0.7401490123058589,0.4613332953675412,0.4861886827540049,0.16652178195714712,0.723501298812423,0.8567296996662959,90,83,88,86,5
B1_MEAN_CURVE,0.6032535776161899,0.014678601108058482,0.6495489717885915,0.20989492120248032,0.8187500459856366,0.6197793712385706,0.2709750673120821,0.5914108306051475,0.18477033785378733,0.9094161302792492,0.7879619330119886,90,83,88,86,5
