                       arm  macro_mae_extractant  macro_mae_extractant_seed_sd  macro_mae_chemotype  macro_mae_far  macro_mae_adjacent  macro_sign_acc_strong  macro_pair_spearman  pooled_mae
      S2_CENTRED_ROW_basic                0.4891                        0.0114               0.5211         0.6465              0.1816                 0.7648               0.5161      0.5217
            S2_CENTRED_ROW                0.4929                        0.0131               0.5226         0.6489              0.1845                 0.7607               0.5093      0.5301
  S2_STACK_CENTRED+PHYSICS                0.4933                        0.0150               0.5261         0.6510              0.1836                 0.7640               0.5062      0.5186
        S2_CENTRED_ROW_rel                0.4938                        0.0138               0.5230         0.6511              0.1839                 0.7647               0.5094      0.5318
              C_DIRECT_ROW                0.4953                        0.0185               0.5365         0.6540              0.1841                 0.7218               0.4626      0.5245
              S3_EXT_LEVEL                0.4962                        0.0089               0.5402         0.6556              0.1882                 0.7478               0.4491      0.4826
            S2_REL_PHYSICS                0.4968                        0.0084               0.5413         0.6550              0.1879                 0.7389               0.4445      0.4900
M_PHYSICS_radius+radius_sq                0.4979                        0.0073               0.5425         0.6572              0.1885                 0.7440               0.4513      0.4912
        S3_EXTW_LOWRANK_K2                0.4986                        0.0101               0.5417         0.6580              0.1892                 0.7257               0.4217      0.4983
           S3_EXTW_PHYSICS                0.4986                        0.0111               0.5367         0.6588              0.1879                 0.7424               0.4524      0.4962
           S3_HIER_shrink8                0.5013                        0.0078               0.5632         0.6609              0.1893                 0.7340               0.4552      0.4879
                   S3_HIER                0.5014                        0.0095               0.5620         0.6617              0.1891                 0.7401               0.4613      0.4862
             B1_MEAN_CURVE                0.6033                        0.0147               0.6495         0.8188              0.2099                 0.6198               0.2710      0.5914
