data_cohort,model,stratum,macro_mae,macro_sd,pooled_mae,ligand_macro_mae,n_rows,n_ligands
CORRECTED,GEN10_LEVEL_SHAPE,ALL,0.9811947687038985,0.022600488892166076,1.1250360682598208,0.9995379936541993,5248,152
CORRECTED,GEN10_LEVEL_SHAPE,ALREADY_GOOD,0.5533524265562242,0.00782111912057278,0.6518184312294047,0.556200267743383,1586,82
CORRECTED,GEN10_LEVEL_SHAPE,CLEAN_ROWS,0.9380801248207797,0.027530955625347006,1.1109959243528957,0.9621254571684963,4691,145
CORRECTED,GEN10_LEVEL_SHAPE,MISMATCH_ROWS,1.0874088383921843,0.04791910164292478,1.0981642741117268,1.0874088383921843,271,15
CORRECTED,GEN10_LEVEL_SHAPE,PARTIAL_LEVEL,1.4602154308940531,0.10862250041417305,1.8219641879397344,1.4602154308940531,305,7
CORRECTED,GEN10_LEVEL_SHAPE,PURE_LEVEL,1.9170859469423571,0.0608280536593631,1.8946439625059668,1.9547570415847755,572,25
CORRECTED,GEN10_LEVEL_SHAPE,RESIDUAL_SHAPE,1.3089180386323993,0.041646964783526134,1.1609663978865634,1.2950373795664292,2758,29
CORRECTED,GEN10_REC_ALL,ALL,0.9698834449780749,0.023828541243734996,1.1040825073209994,0.9835699396976801,5248,152
CORRECTED,GEN10_REC_ALL,ALREADY_GOOD,0.5418860756462288,0.007689268943100976,0.6373566615267142,0.5474954099520415,1586,82
CORRECTED,GEN10_REC_ALL,CLEAN_ROWS,0.9291754892724645,0.0286583988316936,1.0872916501817458,0.9462784892793312,4691,145
CORRECTED,GEN10_REC_ALL,MISMATCH_ROWS,0.9982636159655479,0.04561846496901301,1.1261855006278083,0.9982636159655479,271,15
CORRECTED,GEN10_REC_ALL,PARTIAL_LEVEL,1.4360810426051605,0.11319796443724207,1.8421098915744936,1.4360810426051605,305,7
CORRECTED,GEN10_REC_ALL,PURE_LEVEL,1.8852464349352722,0.057542925459271886,1.7973179979929856,1.9123792581585004,572,25
CORRECTED,GEN10_REC_ALL,RESIDUAL_SHAPE,1.2958536283342044,0.03213705101348356,1.147469438916158,1.2815019134606875,2758,29
CORRECTED,GEN10_REC_GEN9_PLUS,ALL,0.9689279734900003,0.024592460851433882,1.1187218142618949,0.9830171546112954,5248,152
CORRECTED,GEN10_REC_GEN9_PLUS,ALREADY_GOOD,0.542844017537288,0.007911694904040166,0.6392167847774706,0.5465949550460127,1586,82
CORRECTED,GEN10_REC_GEN9_PLUS,CLEAN_ROWS,0.9286175521448279,0.029549827973328356,1.1044817506885203,0.946204481910294,4691,145
CORRECTED,GEN10_REC_GEN9_PLUS,MISMATCH_ROWS,0.9958543581837329,0.051885746798398774,1.1218460364499039,0.9958543581837329,271,15
CORRECTED,GEN10_REC_GEN9_PLUS,PARTIAL_LEVEL,1.4406752858775451,0.11461921098474694,1.844674431462406,1.4406752858775451,305,7
CORRECTED,GEN10_REC_GEN9_PLUS,PURE_LEVEL,1.8850468947898915,0.05754566945821591,1.795356545657335,1.912203662830565,572,25
CORRECTED,GEN10_REC_GEN9_PLUS,RESIDUAL_SHAPE,1.2999161135437742,0.03936687522558715,1.174613950729298,1.2876398744803224,2758,29
CORRECTED,GEN10_REC_HYBRID,ALL,0.9694411249377577,0.022810361059749883,1.1060680257006679,0.9830872042188099,5248,152
CORRECTED,GEN10_REC_HYBRID,ALREADY_GOOD,0.5407410852621151,0.0070776886612007464,0.6357249459815039,0.5457242700730472,1586,82
CORRECTED,GEN10_REC_HYBRID,CLEAN_ROWS,0.928674038223033,0.027995563221007373,1.0895994195231207,0.945716686185832,4691,145
CORRECTED,GEN10_REC_HYBRID,MISMATCH_ROWS,0.9999914587310903,0.04599017360072681,1.1265328620709467,0.9999914587310903,271,15
CORRECTED,GEN10_REC_HYBRID,PARTIAL_LEVEL,1.4369368139837866,0.11310892557118223,1.8422862256389294,1.4369368139837868,305,7
CORRECTED,GEN10_REC_HYBRID,PURE_LEVEL,1.8851163799634711,0.057583737357326595,1.79630256879008,1.9122648097833157,572,25
CORRECTED,GEN10_REC_HYBRID,RESIDUAL_SHAPE,1.2971369004716728,0.03227049332471442,1.1523681267232433,1.283591815844416,2758,29
CORRECTED,GEN10_REC_RANK,ALL,0.9697626039624205,0.023481512845238788,1.109036284278678,0.983412094742647,5248,152
CORRECTED,GEN10_REC_RANK,ALREADY_GOOD,0.542109898516711,0.0068781511421471256,0.6373700058863447,0.5468852430390259,1586,82
CORRECTED,GEN10_REC_RANK,CLEAN_ROWS,0.9291349570112931,0.028870965612699303,1.0927305782866221,0.9460791706538048,4691,145
CORRECTED,GEN10_REC_RANK,MISMATCH_ROWS,0.9999178098339188,0.044425674372943244,1.1295797893599282,0.999917809833919,271,15
CORRECTED,GEN10_REC_RANK,PARTIAL_LEVEL,1.4381386191374268,0.11303752324725048,1.8441440456561586,1.4381386191374268,305,7
CORRECTED,GEN10_REC_RANK,PURE_LEVEL,1.885156595905228,0.05764292805692184,1.7964200007952478,1.9123001998120615,572,25
CORRECTED,GEN10_REC_RANK,RESIDUAL_SHAPE,1.3023802065715853,0.031693510362203796,1.1570812998845503,1.2893279118401868,2758,29
CORRECTED,GEN9_A0_ROW_ONLY,ALL,0.9892946856419286,0.024928388580739484,1.1730142398659351,1.0063839698434431,5248,152
CORRECTED,GEN9_A0_ROW_ONLY,ALREADY_GOOD,0.5610736587597266,0.013137407042933072,0.6744780589805052,0.5654947394751801,1586,82
CORRECTED,GEN9_A0_ROW_ONLY,CLEAN_ROWS,0.9501349445313669,0.02997061506898811,1.1591701832765675,0.9696871513740211,4691,145
CORRECTED,GEN9_A0_ROW_ONLY,MISMATCH_ROWS,1.020805947131621,0.0383962816033654,1.198534076517495,1.0208059471316209,271,15
CORRECTED,GEN9_A0_ROW_ONLY,PARTIAL_LEVEL,1.5234241235964965,0.09475392148968917,1.9275003986153454,1.5234241235964965,305,7
