band,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
far,P1_M_SELECTED_vs_C_DIRECT_ROW,mae_all,C_DIRECT_ROW,M_SELECTED,0.0035433909474416737,-0.06124853678818292,0.07711509898983189,-0.05144502096306558,0.09227191825701166,0.958,0.03517541848850888,0.09849117176782486,-0.015092423001701704,29,15,4,5,-0.026033983326962454,0.013744434284148831,False,0.02,False,False
far,S1_M_SELECTED_vs_B1_MEAN_CURVE,mae_all,B1_MEAN_CURVE,M_SELECTED,0.08734231145763768,0.013229749114821476,0.16171449933836812,0.01791261437893945,0.1710228626676178,0.019,0.03838296837758982,0.10747231145725149,0.07053444714761017,29,21,5,5,0.062399773706485424,0.10143101442425996,True,0.02,True,True
far,S2_M_SELECTED_vs_B3_NN_TANIMOTO,mae_all,B3_NN_TANIMOTO,M_SELECTED,0.14066788095495325,0.00536826000986199,0.2848132999469522,0.015532008350861512,0.2978130688277989,0.038,0.07119613932376234,0.19934919010653454,0.12013181847125692,29,20,5,5,0.09962041130095033,0.1709822838569249,True,0.02,True,True
far,S3_M_SELECTED_vs_B2_PAIRMEAN,mae_all,B2_PAIRMEAN,M_SELECTED,0.10168006736604208,0.022004607033481526,0.17825722315891707,0.023686789908162604,0.17943030375410834,0.016,0.03981333688566901,0.11147734327987321,0.0777152174588554,29,20,5,5,0.07973865773224931,0.1161560778140012,True,0.02,True,True
far,S4_M_SELECTED_vs_B4_HEAVIER_ALWAYS,mae_all,B4_HEAVIER_ALWAYS,M_SELECTED,0.19302745128436669,0.07628381805217571,0.29219936089411286,0.07820290639536448,0.2938159480334368,0.002,0.05454535356577135,0.15272698998415976,0.16231242300797546,29,22,5,5,0.16254667610660892,0.21333154399027274,True,0.02,True,True
mid,P1_M_SELECTED_vs_C_DIRECT_ROW,mae_all,C_DIRECT_ROW,M_SELECTED,-0.008869157934620581,-0.06889174342331773,0.05434280232803353,-0.06257006943521777,0.06243630514175767,0.756,0.03178074516963361,0.08898608647497411,-0.04738268959284781,49,24,2,5,-0.027453659283234677,0.005319831391663944,False,0.02,False,False
mid,S1_M_SELECTED_vs_B1_MEAN_CURVE,mae_all,B1_MEAN_CURVE,M_SELECTED,0.045833081353799064,-0.009569022994235336,0.10081163197183259,-0.0063311071055630296,0.1036910494150064,0.112,0.027782452613523943,0.07779086731786704,0.02588489004511379,49,31,5,5,0.029731561118344275,0.058390463185901104,True,0.02,False,False
mid,S2_M_SELECTED_vs_B3_NN_TANIMOTO,mae_all,B3_NN_TANIMOTO,M_SELECTED,0.1337144379436744,0.03697727436933036,0.22182010352139367,0.04805399275157032,0.24544373290743515,0.003,0.047723131374057856,0.133624767847362,0.13192572879101397,49,32,5,5,0.10537141799790102,0.15582409927787308,True,0.02,True,True
mid,S3_M_SELECTED_vs_B2_PAIRMEAN,mae_all,B2_PAIRMEAN,M_SELECTED,0.04654069392258357,-0.01421482188442653,0.11201056961758596,-0.009769001757669928,0.11754191027506057,0.138,0.0317218046653175,0.088821053062889,0.02393208347277863,49,28,5,5,0.027300543881172333,0.05876892238132959,True,0.02,False,False
mid,S4_M_SELECTED_vs_B4_HEAVIER_ALWAYS,mae_all,B4_HEAVIER_ALWAYS,M_SELECTED,0.05814083525917448,-0.10594539678729156,0.23392864579772232,-0.13235334575647728,0.21520464427534053,0.527,0.09090723350526135,0.2545402538147318,0.041637860722053145,49,26,4,5,0.011525431072968696,0.1472369072585417,True,0.02,False,False
near,P1_M_SELECTED_vs_C_DIRECT_ROW,mae_all,C_DIRECT_ROW,M_SELECTED,-0.0198189446544512,-0.08003942942576707,0.05035615284130142,-0.0799896032174732,0.05037859224480956,0.552,0.033066416799396016,0.09258596703830883,-0.029680034389733403,32,16,3,5,-0.03626314478944802,-0.001023831904783963,True,0.02,False,False
near,S1_M_SELECTED_vs_B1_MEAN_CURVE,mae_all,B1_MEAN_CURVE,M_SELECTED,0.04966320060140784,0.003282782850570668,0.11226553293532052,-0.00015713004224143025,0.10849018848248791,0.039,0.027943806950594063,0.07824265946166337,0.061064178015929296,32,24,5,5,0.03763958994400487,0.06640721848220948,True,0.02,False,False
near,S2_M_SELECTED_vs_B3_NN_TANIMOTO,mae_all,B3_NN_TANIMOTO,M_SELECTED,0.10262626837662038,-0.06366664487721052,0.17356760729065754,-0.025274422096234338,0.18432371077690102,0.197,0.06056630291748401,0.16958564816895522,0.0008785196990224305,32,25,5,5,0.04058874922541837,0.12437290200354335,True,0.02,False,False
near,S3_M_SELECTED_vs_B2_PAIRMEAN,mae_all,B2_PAIRMEAN,M_SELECTED,0.05364061469250961,0.004182425124569226,0.13135668430607159,-0.0011442468904628504,0.12406579522367567,0.033,0.03331002924121798,0.09326808187541034,0.06926044069334093,32,20,5,5,0.039091688246085075,0.08253528039746594,True,0.02,False,False
near,S4_M_SELECTED_vs_B4_HEAVIER_ALWAYS,mae_all,B4_HEAVIER_ALWAYS,M_SELECTED,0.12197995481283001,-0.011517095090164855,0.32995135033305895,-0.03954457235965111,0.29638261050472975,0.091,0.09381577354191678,0.262684165917367,0.18151633816209925,32,19,5,5,0.08253175491880825,0.24489996704893016,True,0.02,False,False
