comparison,status,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
X_V2_BAG4@lean_vs_C_DIRECT_ROW,exploratory,curve_spearman,C_DIRECT_ROW,V2_BAG4@lean,0.09766570884541396,0.004524313502568701,0.22548963161046898,0.00943749476521655,0.23458715503007946,0.0404,0.05621020732340639,0.1573885805055379,0.09660820694398134,84,54,5,5,0.06880608969976873,0.11797436771759737,True,0.02,True,
X_V2_BAG4@cond_vs_C_DIRECT_ROW,exploratory,curve_spearman,C_DIRECT_ROW,V2_BAG4@cond,0.03137989043074139,-0.072154817502615,0.20129092646992652,-0.07557839150238105,0.19330690120808525,0.6292,0.0711309983614656,0.19916679541210366,0.08397853520477819,84,40,3,5,-0.0031447032966791023,0.07763459778676383,False,0.02,False,
X_V2_CAL_BAG4@lean_vs_C_DIRECT_ROW,exploratory,curve_spearman,C_DIRECT_ROW,V2_CAL_BAG4@lean,0.09766570884541396,0.004524313502568701,0.22548963161046898,0.00943749476521655,0.23458715503007946,0.0404,0.05621020732340639,0.1573885805055379,0.09660820694398134,84,54,5,5,0.06880608969976873,0.11797436771759737,True,0.02,True,
X_V2_LOWRANK_K2@lean_vs_C_DIRECT_ROW,exploratory,curve_spearman,C_DIRECT_ROW,V2_LOWRANK_K2@lean,0.10428235495109102,-0.00398558700729167,0.25355017682673203,-0.0034570620781770403,0.25483399964342124,0.0594,0.0658390598745073,0.18434936764862045,0.10476672375697356,84,45,5,5,0.07293416679989653,0.13636401896786954,True,0.02,False,
X_V2_PHYSICS@lean_vs_C_DIRECT_ROW,exploratory,curve_spearman,C_DIRECT_ROW,V2_PHYSICS@lean,0.10790792247357706,-0.0015354545029085042,0.25945170885130253,-0.0005161248351499022,0.2603958278159428,0.0532,0.06623986129538054,0.1854716116270655,0.11177225845971925,84,51,5,5,0.07738336302621515,0.1367908103792938,True,0.02,False,
X_V2_BAG_MIX3_vs_V2_DIRECT@cond,exploratory,curve_spearman,V2_DIRECT@cond,V2_BAG_MIX3,0.01261377003674668,-0.05915580201550676,0.059747351794450614,-0.062108732538180604,0.057870486703564164,0.6448,0.029892239378121556,0.08369827025874035,-0.005351573414540327,84,43,5,5,-0.003158354540468533,0.02818742991670748,False,0.02,False,
X_V2_BAG_MIX5_vs_V2_DIRECT@cond,exploratory,curve_spearman,V2_DIRECT@cond,V2_BAG_MIX5,0.023005050790947588,-0.05245783924330122,0.07384615825657868,-0.05614048588445854,0.07144997299692503,0.4628,0.03179731266567246,0.08903247546388289,0.005363683298711135,84,40,5,5,0.00843736043287267,0.03870390682457347,True,0.02,False,
X_V2_BAG4@lean_vs_V2_DIRECT@cond,exploratory,curve_spearman,V2_DIRECT@cond,V2_BAG4@lean,0.021724092601353717,-0.08480189784720774,0.10535272573328495,-0.08775548474777849,0.10401740971094324,0.6292,0.04763681020362223,0.13338306857014223,-0.010122595906643207,84,40,4,5,0.005118358777273637,0.04102197323510497,True,0.02,False,
X_V2_LOWRANK_K2@lean_vs_V2_DIRECT@cond,exploratory,curve_spearman,V2_DIRECT@cond,V2_LOWRANK_K2@lean,0.028340738707030782,-0.0736847663135556,0.1255410276106212,-0.06881404823852014,0.1312224183702736,0.5468,0.0499881906985944,0.1399669339560643,-0.0019640790936509885,84,38,5,5,0.008571991494125256,0.044103880137235964,True,0.02,False,
X_V2_BAG_MIX5_vs_V2_BAG_MIX3,exploratory,curve_spearman,V2_BAG_MIX3,V2_BAG_MIX5,0.010391280754200913,-0.007448551354143267,0.030456434354836442,-0.005416328143849089,0.033570753769413327,0.2504,0.009489777415266302,0.026571376762745645,0.01071525671325146,84,35,4,5,0.004279264151461715,0.013649007028347915,True,0.02,False,
