cell_id,smiles,A,B,ZA,ZB,dZ,logSF_heavy_minus_light,pair
0,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,La,Ce,57,58,1,-0.05115252199999998,La-Ce
0,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,Ce,Pr,58,59,1,-0.204119983,Ce-Pr
0,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,Pr,Eu,59,63,4,-0.2218487500000006,Pr-Eu
0,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,Eu,Er,63,68,5,-0.1760912589999999,Eu-Er
1,C1COCCOCCOCCOCCOCCO1,La,Ce,57,58,1,-0.07716595500000001,La-Ce
1,C1COCCOCCOCCOCCOCCO1,Ce,Pr,58,59,1,-0.2552725049999999,Ce-Pr
1,C1COCCOCCOCCOCCOCCO1,Pr,Eu,59,63,4,-0.301029996,Pr-Eu
1,C1COCCOCCOCCOCCOCCO1,Eu,Er,63,68,5,-0.09691001300000024,Eu-Er
28,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,La,Ce,57,58,1,0.19329328916330352,La-Ce
28,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,Ce,Pr,58,59,1,0.16325403435050903,Ce-Pr
28,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,Pr,Nd,59,60,1,0.24879037757538575,Pr-Nd
28,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,Nd,Sm,60,62,2,0.497843821362193,Nd-Sm
28,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,Sm,Eu,62,63,1,0.11230382420910812,Sm-Eu
28,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,Eu,Gd,63,64,1,0.04451372520053787,Eu-Gd
28,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,Gd,Tb,64,65,1,0.10966648217940023,Gd-Tb
28,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,Tb,Dy,65,66,1,0.03402678352069133,Tb-Dy
28,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,Dy,Ho,66,67,1,0.038264500095282594,Dy-Ho
28,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,Ho,Er,67,68,1,0.02562884752083061,Ho-Er
28,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,Er,Tm,68,69,1,-0.020192709559937683,Er-Tm
28,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,Tm,Yb,69,70,1,0.001172818649305185,Tm-Yb
28,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,Yb,Lu,70,71,1,0.011329058478542153,Yb-Lu
29,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,La,Ce,57,58,1,0.3010299956639812,La-Ce
29,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,Ce,Pr,58,59,1,0.13033376849500616,Ce-Pr
29,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,Pr,Nd,59,60,1,0.015794267183231847,Pr-Nd
