arm,macro_mae,best_lambda,macro_mae_at_best_lambda,delta,rms_of_correction
C_DIRECT_ROW,0.49532081290529495,-0.09999999999999998,0.49526571340470493,-5.509950059001678e-05,0.06385742117023627
M_SELECTED,0.5014269541262518,0.10000000000000009,0.5014120801258455,-1.4874000406339682e-05,0.06385742117023627
X_ENS_DIRECT+LOWRANK_K2,0.48098083670010805,-0.09999999999999998,0.4809061199253768,-7.471677473125382e-05,0.06385742117023627
B1_MEAN_CURVE,0.6032535776161898,-0.5,0.6024551362232666,-0.0007984413929231771,0.06385742117023627
