element,Z,n_cells,med_abs_resid_quad,med_abs_resid_quad_lo,med_abs_resid_quad_hi,med_abs_resid_cubic,mean_resid_quad,mean_resid_lo,mean_resid_hi,mean_resid_se_clusterboot,z_stat,p_raw,p_holm,mean_resid_cubic,median_within_replicate_sd
La,57,194,0.060985505693464545,0.0391972156675108,0.08664665783001996,0.02588559504195559,0.011721892771641856,-0.027203607188185756,0.037887403103306926,0.01693157173864254,0.6923097839103294,0.48874280715153573,1.0,-0.027795499708496305,0.23114459871884557
Ce,58,178,0.060474115070263734,0.04601556494846038,0.0754329354646966,0.050309532257111655,0.03323752780115999,0.009527887015845197,0.06337435335396366,0.013570556421419036,2.449238392959309,0.01431586621378847,0.12742221640837278,0.04006549013742295,0.2900371457340315
Pr,59,164,0.057010533448172,0.04368987532492613,0.08635649089440907,0.04714600378900193,0.0016557293181488988,-0.03732648517908821,0.0367011777066917,0.018864550793903062,0.08776934771667201,0.9300600006967896,1.0,0.01789083908426966,0.35060290352307216
Nd,60,228,0.08735111427877879,0.046004011780384074,0.1176949635331464,0.05166124084475954,-0.0625495041255726,-0.09806096636117917,-0.017086193428208236,0.021500425438004685,-2.909221694516265,0.0036232982393944943,0.03985628063333944,-0.017709922532131293,0.18453014477034752
Sm,62,227,0.05590223190062665,0.04348246864016131,0.06860762282726704,0.037421592315422414,0.011453388288494471,-0.02181463996583305,0.05463098816319317,0.020213755222184434,0.566613583799831,0.57097674399797,1.0,0.025482205218368227,0.26969750971610945
Eu,63,196,0.048468380895751104,0.04195626330335946,0.05302086872822767,0.051030263288216735,0.002552911988844421,-0.015102307307520607,0.022883844305279507,0.009908668337338278,0.2576443071794447,0.7966814315861257,1.0,0.0012796194239806124,0.10436314802968842
Gd,64,225,0.06314278950213928,0.041943404916128135,0.12530458024826413,0.06615778600106054,-0.07154223452529478,-0.12187011516190814,-0.03742040911756246,0.021520285937504623,-3.324409105578568,0.0008860611141719118,0.011518794484234852,-0.0778040702322154,0.3884977459599124
Tb,65,170,0.06811403453468637,0.04251970122445189,0.08340227600285915,0.03199716713657769,0.040137762345596927,0.0042529283120911,0.06656146969950263,0.01636119786658744,2.4532288328084815,0.014158024045374753,0.12742221640837278,0.015307935137727638,0.43977743236805744
Dy,66,221,0.05766428719559122,0.03146406027890467,0.07255177313118621,0.028599990654436913,0.033119930147256234,0.007139925290436859,0.05268455786299517,0.011848568427426391,2.79526850438675,0.005185662595989298,0.051856625959892974,0.011299819859785107,0.10344080432788601
Ho,67,181,0.07296018467420254,0.026481336577622618,0.11368942673476023,0.04112004213071965,0.05788651261536924,0.01889273647044878,0.0855258535880731,0.017048411771476632,3.395419666729193,0.0006852347927403774,0.009593287098365284,0.033847157494759104,0.38090335284821175
Er,68,209,0.06167893147511405,0.0315095684434404,0.10079703158842873,0.04013161392351006,0.029376690414576693,-0.0038323430012854676,0.05436201744154642,0.014811663860068738,1.9833484402636425,0.047328522099875814,0.2839711325992549,0.017439276247966675,0.4030508652763322
Tm,69,136,0.029519215994016346,0.023049156450014652,0.03207059509091292,0.02321227050762369,0.013044874062151157,-0.003995078440455245,0.03409639919019073,0.009500660408577303,1.3730491882831743,0.16973705567827901,0.8486852783913951,0.008427136748947024,0.5331001949296112
Yb,70,166,0.037722966800895597,0.025268700994194655,0.05552784806974609,0.024308184131898836,-0.02447415839111409,-0.04103539854616723,-0.0009622597438907218,0.010512118509910783,-2.3281851672467306,0.019902273454808415,0.1393159141836589,-0.017043800608674404,0.5167398892853683
Lu,71,169,0.07432440647256561,0.0419488516785269,0.10322560539257908,0.02712266411313541,-0.057250714543269104,-0.08424429978057531,-0.009923445368200166,0.01908675967571713,-2.9994988943097316,0.0027042410522662864,0.032450892627195436,-0.013920052452946923,0.33264127426144147
