split_by,n_groups,n_splits,median_split_half_r,lo_2p5,hi_97p5,frac_splits_positive,spearman_brown_reliability,null_median_r,null_p95_r
extractant,77,500,0.7184921343392174,0.3579248385600126,0.8991772863896713,1.0,0.8361890287213761,0.012705413515584262,0.5010255003786408
chemotype,36,500,0.5130986262131876,0.015215382270670503,0.7875655876740609,0.984,0.6782090966499823,0.05671344246121175,0.4345078843340636
publication,39,500,0.6960924909074127,0.3322928651776609,0.899862232122324,0.996,0.8208190233010252,0.006960658916969311,0.43065257719651306
