subset,n_cells,n_extr,La,La_z,Ce,Ce_z,Pr,Pr_z,Nd,Nd_z,Sm,Sm_z,Eu,Eu_z,Gd,Gd_z,Tb,Tb_z,Dy,Dy_z,Ho,Ho_z,Er,Er_z,Tm,Tm_z,Yb,Yb_z,Lu,Lu_z
all n>=6,268,77,0.0117,0.71,0.0332,2.38,0.0017,0.08,-0.0625,-3.0,0.0115,0.56,0.0026,0.26,-0.0715,-3.31,0.0401,2.53,0.0331,2.7,0.0579,3.32,0.0294,1.92,0.013,1.29,-0.0245,-2.32,-0.0573,-2.95
n>=13,113,50,0.0135,0.46,0.0484,2.45,-0.0085,-0.31,-0.074,-2.01,-0.0246,-0.9,0.0008,0.08,-0.0915,-2.6,0.0453,2.02,0.0434,2.28,0.0809,3.89,0.0651,3.39,0.0221,1.72,-0.0429,-3.65,-0.0764,-2.89
sc009 only (DGA),152,23,0.0488,3.11,0.0282,1.55,-0.0121,-0.55,-0.1091,-4.56,-0.0114,-0.43,0.0033,0.2,-0.0254,-1.95,0.0717,3.91,0.0439,2.69,0.0603,2.31,0.0237,1.35,0.0063,0.82,-0.0434,-3.81,-0.0657,-2.34
excluding sc009,116,54,-0.0294,-1.92,0.0383,1.7,0.0117,0.38,-0.0071,-0.43,0.0385,1.77,0.0018,0.14,-0.1271,-4.75,0.0107,0.64,0.0201,1.33,0.0547,2.28,0.0367,1.42,0.0219,1.11,-0.006,-0.46,-0.0469,-1.76
