shape,corr_with_mean_resid_curve,beta_pooled,beta_lo,beta_hi,frac_pooled_resid_var,frac_mean_curve_var
gd_dip,0.5714850856570342,0.027022214111972327,0.014427784983802547,0.04342049846194785,0.03739764666634026,0.3269846189404273
single_Gd,-0.5714850856570342,-0.027022214111972327,-0.0418461134144012,-0.0145850101953703,0.03739764666634026,0.3269846189404273
single_Nd,-0.489378814756568,-0.023701221057347444,-0.03489637722739699,-0.006816037687788246,0.029060813242348,0.24011475677208582
tetrad_e1,-0.48575699348870555,-0.026523367683079502,-0.04331071002143205,-0.010854229701811787,0.027571869486302462,0.23604905704791634
quarter_shell_4,-0.4560613089954181,-0.02229014326446672,-0.027691733733118586,-0.017107303903746,0.026767243965852592,0.2087160461869082
single_Lu,-0.37102345981148704,-0.027851254482279254,-0.03936971668725952,-0.0035215444591277165,0.02316811510051531,0.1379390245211175
single_Ho,0.3412255016865735,0.018382621895527643,0.0045073055776725475,0.026573841092807204,0.01655929107204551,0.11652064249133831
single_Tb,0.261326797510187,0.012645057546712801,0.0022467788483425313,0.020684829081863258,0.007418245694821025,0.0688799834440117
ce_anomaly,0.24065753950764532,0.012526039376624842,0.00281040406662453,0.02408149206030654,0.006371487171647077,0.058095995789369304
single_Ce,0.24065753950764532,0.012526039376624842,0.004478948677657281,0.02400771539846215,0.006371487171647077,0.058095995789369304
single_Dy,0.15237326077752897,0.01073802912190759,0.002681464236717627,0.016659255897783116,0.006757477180667469,0.02277854500303267
single_Er,0.14040497641335692,0.010072170600512626,-0.0014854634466272259,0.01738034293376241,0.0053168027709096935,0.019213156490334837
tetrad_e3,0.13526329138323465,0.007646795668244866,-0.007662617479509982,0.020181110154356474,0.003017755328444092,0.018333185171284794
yb_anomaly,-0.13168484311868542,-0.009215595292736628,-0.015127273466541302,-0.0005849272827894015,0.003218974773171604,0.017333165597686606
single_Yb,-0.13168484311868542,-0.009215595292736628,-0.014469329397717582,-0.0007521017874254162,0.003218974773171604,0.017333165597686606
single_Sm,0.11300004668202178,0.0039420304491652805,-0.0072032355658046806,0.01945017628295126,0.0008811668299904688,0.012578506467572192
single_Tm,0.0978396400667657,0.004157538480578375,-0.0013543409695366327,0.011258079989620763,0.0006341520506311111,0.009933697084133053
gd_break,0.08450577324687268,0.010330903122916384,-0.0423027976314562,0.0512246817491057,0.001247646408333193,0.007103139030128491
single_La,0.06107740116219322,0.008711440568922996,-0.019930384393629385,0.02760565839635829,0.001703208347167652,0.00357036643727604
single_Pr,0.000848637903062869,0.0005589454907290174,-0.010738514361215758,0.012325780609534669,1.3049112290946905e-05,6.460691186926937e-06
eu_anomaly,-0.0013036263493010007,0.0009435153690286837,-0.005169742846168105,0.008563152199525578,4.059001553623096e-05,2.841455093438583e-07
single_Eu,-0.0013036263493010007,0.0009435153690286837,-0.0058002982123059555,0.008528300294193106,4.059001553623096e-05,2.841455093438583e-07
