chemotype,sc009,sc027,sc061,sc071,sc076,sc077
sc009,1.0,0.17544035710227537,0.5279077795888847,0.2558606645827571,0.27330823772428414,-0.23367895854751464
sc027,0.17544035710227537,1.0,0.5083899548920036,0.3622966945563434,0.018414191835792276,0.7436507582046896
sc061,0.5279077795888847,0.5083899548920036,1.0,0.15269184216151455,-0.028750220275665782,0.2430340969021583
sc071,0.2558606645827571,0.3622966945563434,0.15269184216151455,1.0,0.7756175508744482,0.11797441652275739
sc076,0.27330823772428414,0.018414191835792276,-0.028750220275665782,0.7756175508744482,1.0,-0.3317830980596831
sc077,-0.23367895854751464,0.7436507582046896,0.2430340969021583,0.11797441652275739,-0.3317830980596831,1.0
