chemotype,n_cells,n_extractants,element,n_cells_el,mean_resid,lo,hi
sc009,152,23,La,102,0.04877860183657096,0.00891916715840909,0.06427811561699295
sc009,152,23,Ce,90,0.028243321646513445,0.005176079680982448,0.08041224123238677
sc009,152,23,Pr,69,-0.012139327918667144,-0.0726303675081756,0.011750413683687335
sc009,152,23,Nd,124,-0.10905686340897632,-0.14013244648564366,-0.05094438380997861
sc009,152,23,Sm,123,-0.011400872623425089,-0.048371593571338786,0.04264323744658698
sc009,152,23,Eu,101,0.0032515369687634507,-0.01888186752720144,0.041637637346667984
sc009,152,23,Gd,123,-0.02542998137179732,-0.05347690269528559,-0.0008740120527941028
sc009,152,23,Tb,82,0.07173478275837492,0.032171170921432936,0.10344139108849235
sc009,152,23,Dy,121,0.043908833210624075,0.008287918154233955,0.0654688766904936
sc009,152,23,Ho,104,0.06027303153813883,-0.0024085806850965607,0.10245559642728622
sc009,152,23,Er,117,0.023651527830170622,-0.016044281491484607,0.04746070149661286
sc009,152,23,Tm,77,0.0062840817981656355,-0.01608859877973571,0.013477849442260168
sc009,152,23,Yb,82,-0.04337359370065467,-0.06872282813297063,-0.0182285953486794
sc009,152,23,Lu,93,-0.065730607469052,-0.08987950272976647,0.010388950916862412
sc061,17,2,La,17,0.00913249909573756,-0.005170560039979951,0.23798144526721776
sc061,17,2,Ce,16,0.1466300966626534,0.14330944139378957,0.19643992569560975
sc061,17,2,Pr,17,-0.1471378882814201,-0.2759319524438655,-0.1390882592712673
sc061,17,2,Nd,17,0.003771787735738268,-0.26988849015131033,0.020875555103678806
sc061,17,2,Sm,17,-0.03185670408144653,-0.21454679512089697,-0.020438573391480877
sc061,17,2,Eu,17,0.015063498024932839,-0.24155313240671072,0.031102037426910572
sc061,17,2,Gd,17,-0.26317366102438755,-0.2659100211956512,-0.21939189828416927
sc061,17,2,Tb,17,0.058371519704052334,0.049262275670134546,0.2041194242467368
sc061,17,2,Dy,17,0.09254111997517736,0.07517660921200098,0.3703732921859997
sc061,17,2,Ho,17,0.17227913434351008,0.1427149090605367,0.6453067388710845
sc061,17,2,Er,17,0.16155389585524987,0.14993195679652274,0.3475049207948835
sc061,17,2,Tm,1,-0.16811667942411845,-0.16811667942411845,-0.16811667942411845
sc061,17,2,Yb,17,-0.036168858023515014,-0.2236497630418428,-0.024451301459869526
sc061,17,2,Lu,17,-0.16249192374589108,-0.38864703618861907,-0.1483572292182206
sc071,12,1,La,6,-0.035337806470590934,-0.035337806470590934,-0.035337806470590934
sc071,12,1,Ce,6,0.05161666056124358,0.05161666056124358,0.05161666056124358
sc071,12,1,Pr,6,0.027898803437554128,0.027898803437554128,0.027898803437554128
sc071,12,1,Nd,6,-0.04959648873847242,-0.04959648873847242,-0.04959648873847242
sc071,12,1,Sm,6,-0.014923711190700815,-0.014923711190700815,-0.014923711190700815
sc071,12,1,Eu,6,0.020342542400966758,0.020342542400966758,0.020342542400966758
sc071,12,1,Gd,6,0.007902866055561997,0.007902866055561997,0.007902866055561997
sc071,12,1,Tb,6,-0.01281658603789465,-0.01281658603789465,-0.01281658603789465
sc071,12,1,Dy,6,-0.007518699082974273,-0.007518699082974273,-0.007518699082974273
sc071,12,1,Ho,6,0.008275877086600943,0.008275877086600943,0.008275877086600943
sc071,12,1,Er,6,0.02414062023524019,0.02414062023524019,0.02414062023524019
sc071,12,1,Tm,6,-0.016090922477091263,-0.016090922477091263,-0.016090922477091263
sc071,12,1,Yb,6,-0.013746542402296348,-0.013746542402296348,-0.013746542402296348
sc071,12,1,Lu,6,0.009853386622854204,0.009853386622854204,0.009853386622854204
sc076,11,1,La,6,-0.011034743544297189,-0.011034743544297189,-0.011034743544297189
sc076,11,1,Ce,5,0.03275448254242461,0.03275448254242461,0.03275448254242461
sc076,11,1,Pr,5,0.014296379305604175,0.014296379305604175,0.014296379305604175
sc076,11,1,Nd,6,-0.03573793815494447,-0.03573793815494447,-0.03573793815494447
sc076,11,1,Sm,6,-0.04273349133388188,-0.04273349133388188,-0.04273349133388188
