cellbin,n_extractants,mae_best,mean_abs_y,ratio
1 cell,64,0.4982004216806134,0.6296494122499192,0.7912346330958991
2 cells,7,0.5327901204533719,0.4367039759694916,1.2200258064300127
3-5,5,0.4098442612581302,0.5709850952316038,0.7177845178110799
>5,14,0.4017640118561582,0.4825819334412354,0.8325301550168402
