extractant,ae,absy,ae_mc,log_resid,skill_vs_meancurve,chemotype,n_cells,max_n_metals
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,0.4318656824400481,0.04131868131868131,0.2252989910314888,0.7230952948890677,-0.2065666914085593,sc083,1,14
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,0.29076269791724735,0.04274725274725268,0.24920476950535236,0.5417821444378826,-0.041557928411894984,sc078,1,14
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,2.0653664246828334,1.8249684352973585,2.089134354521003,0.3436753416050408,0.023767929838169444,sc016,1,2
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,2.5452849293301036,2.6666666666666665,2.362115262335435,0.3283774448010388,-0.18316966699466875,sc063,1,3
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,0.9237979511716355,0.55439668675,0.8666755726974925,0.3273631147390915,-0.05712237847414303,sc030,2,3
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,0.6901257244088372,0.3876806246153846,0.6531245239344436,0.3007214514410559,-0.03700120047439359,sc030,1,14
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,1.3211834589162894,1.260961364879121,1.5745174393227381,0.25300060223430204,0.2533339804064487,sc060,2,14
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.3306198937847099,0.14994282561166777,0.12886680598495875,0.24670765493821561,-0.20175308779975115,sc009,20,14
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,1.2244200213124474,1.2027972027972027,1.189677653033662,0.23317117232725304,-0.03474236827878552,sc032,5,4
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,0.5815084763025825,0.4100667687009219,0.65574562967371,0.21065391390303448,0.07423715337112746,sc028,1,14
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.516837276947428,0.3427822731303943,0.45594330313890463,0.20956015805035577,-0.06089397380852335,sc009,10,9
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.5770948795866421,0.4254558723247345,0.6221919694275351,0.1970448327950604,0.045097089840893,sc028,1,13
CCCCCCOP(=O)(O)OCCCCCC,1.0406550903552374,1.1576284039555556,0.9660063617229427,0.1732490687089025,-0.07464872863229466,sc058,1,10
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,1.1813625843640079,1.423634065934066,1.259630535060817,0.1704963103526796,0.07826795069680914,sc021,1,14
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,0.45424021544407045,0.3322335813259807,0.42451063726960125,0.16223094779965214,-0.029729578174469196,sc009,2,8
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],0.4954241302151109,0.39273563198901096,0.6135379644371944,0.15314841798599155,0.11811383422208355,sc055,2,14
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,0.9216565924790141,1.0302803651538461,1.2649402489831323,0.1530948999171403,0.3432836565041182,sc068,1,14
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,1.2148578620411565,1.5897811784395655,1.444283520213442,0.15177698898187397,0.22942565817228555,sc015,1,14
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,0.6209603161807679,0.5660204912857151,0.39527149030330155,0.1490486338371556,-0.2256888258774663,sc012,1,14
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,1.1153146111558045,1.4102742541911253,1.1793083044221773,0.148146587264119,0.06399369326637272,sc009,1,7
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.957813397316659,1.1178400958043515,0.9552157299401214,0.14700167050729007,-0.00259766737653766,sc009,74,14
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,0.4577817545233535,0.3665168371428583,0.5415182791313604,0.13814688421911686,0.0837365246080069,sc075,1,14
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,0.3454439586563227,0.23845110013186815,0.23200886472876542,0.13605400468064066,-0.1134350939275573,sc069,1,14
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,1.2266693177839116,1.7234663426813275,1.5182620421722892,0.13340500686873158,0.2915927243883776,sc061,1,14
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,1.1503808506263156,1.7014739297163985,1.5099048416188432,0.10910976854112725,0.35952399099252763,sc009,1,13
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0.2771560593162272,0.18843170866141704,0.38901820293171996,0.10622305525008346,0.11186214361549274,sc029,2,14
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,0.4052414487245268,0.3464787522000003,0.6222264759941633,0.10092135422653364,0.21698502726963648,sc000,1,5
CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,0.6321874750058458,0.705327964666667,1.1094366022010647,0.0953128867999587,0.47724912719521884,sc068,1,3
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,0.5163139583871122,0.534935726388889,0.777220901558023,0.08469063528632564,0.2609069431709108,sc031,1,9
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,0.374365371664989,0.33831106333333333,0.5121389569873849,0.0731728627235761,0.13777358532239586,sc036,1,9
C1COCCOCCOCCOCCOCCO1,0.41692160049763904,0.4034118878000001,0.7121849956894764,0.07072680100676143,0.2952633951918373,sc001,1,5
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,0.6061496294289268,0.7532106162744967,0.5849923058398009,0.05868315079480693,-0.02115732358912592,sc019,1,14
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,0.7478825776182311,1.048578522899454,0.8767123352184185,0.05743723191413036,0.12882975760018744,sc009,1,14
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,0.21214383850052104,0.1487637754725275,0.21021429441551326,0.05621625324437196,-0.0019295440850077838,sc069,1,14
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,0.5922500924967712,0.7399953429067714,0.5997262320855673,0.05355737536086899,0.007476139588796116,sc009,33,8
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,0.7690095802129764,1.133518357675422,0.9618393327602964,0.04775844166261703,0.19282975254732004,sc009,1,14
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.7627054204024407,1.1375827392473343,0.9643992945827309,0.04318282839212517,0.20169387418029017,sc009,1,14
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,0.352552138613546,0.344101734945055,0.5297049747918539,0.042355550004656684,0.17715283617830785,sc029,1,14
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.5279427917265735,0.6608868518416253,0.46188542436636526,0.03524931552604721,-0.06605736736020829,sc027,1,14
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.6490862360436017,0.9216543316825085,0.7489799139688486,0.031978393634755936,0.09989367792524684,sc061,16,13
CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,0.09462927585876402,0.04712738866666658,0.3719061299179716,0.026995634850226713,0.2772768540592076,sc062,1,4
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,0.34313303247663285,0.3594450262000003,0.5969371311518031,0.018398144638543334,0.2538040986751703,sc097,1,5
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,0.2870600690318839,0.2774160303846154,0.5084548927764319,0.013332890245027151,0.22139482374454794,sc068,1,14
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,0.3821452241973088,0.4354591918000005,0.7286088251841039,0.011528537180317155,0.3464636009867951,sc096,1,5
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.31193495937982824,0.3331691120150303,0.36956711557401983,-0.001776755073469194,0.0576321561941916,sc077,10,14
CCN(CC)C(=O)COCC(=O)N(CC)CC,0.174477605129764,0.13776322576304637,0.14565191066083455,-0.007195876164236004,-0.028825694468929464,sc071,12,8
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.28056748634011863,0.2966101059603053,0.2783527545605082,-0.01530683892485829,-0.002214731779610457,sc076,11,8
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,0.19396528924378256,0.17097448284615396,0.39845441192154146,-0.02159569160193231,0.2044891226777589,sc029,1,14
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.2508604393818306,0.2563453078834993,0.1946638142940628,-0.023122496986934693,-0.05619662508776782,sc027,1,14
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.28743092726984265,0.31765546623123314,0.27305521228707486,-0.023975906275212178,-0.014375714982767795,sc009,14,8
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,0.21535990173644665,0.20350245166666664,0.394126457286357,-0.024848408407976752,0.17876655554991033,sc031,1,9
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,0.2728356849967385,0.2952265731666667,0.47470244792155436,-0.026135837937401485,0.20186676292481587,sc036,1,9
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,0.2818906904472312,0.3110053405274725,0.40469261806824275,-0.026513415913147376,0.12280192762101155,sc068,1,14
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,0.1532488322357252,0.12401183137362634,0.33437143432853816,-0.034137394650765485,0.18112260209281297,sc068,1,14
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.4411790768291536,0.6534342867416089,0.5767409106886922,-0.03955196018695195,0.13556183385953857,sc018,17,6
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,0.2577222517909008,0.2902813708333334,0.46744966669521737,-0.04616223110520057,0.20972741490431657,sc036,1,9
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,0.21935555297573348,0.22601019671930095,0.11069530393770446,-0.04619364912295865,-0.10866024903802901,sc027,1,13
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,0.4343975949825298,0.6605436359176023,0.4964608558441232,-0.049304903455246185,0.06206326086159342,sc009,1,14
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0.2619539869600691,0.30874036000000005,0.5443924791347619,-0.05632553342330615,0.28243849217469275,sc092,1,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.44467737570654703,0.718357263242339,0.601460185102073,-0.06260552522494783,0.15678280939552597,sc009,171,14
