extractant,mae_best,mae_incumbent,mae_meancurve,mean_abs_y,frac_beats_meancurve,mae_best_sd_over_seeds,chemotype,n_cells,extractant_name,mean_n_metals,max_n_metals,replicate_sd_median,n_publications,n_pairs_per_seed,ratio_mae_over_absy,gain_vs_incumbent,gain_vs_meancurve,noise_floor_pairwise,at_or_below_floor
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,2.5452849293301036,2.525396440363076,2.362115262335435,2.6666666666666665,0.26666666666666666,0.06517484448523,sc063,1,2-(dibutylcarbamoyl)benzoic acid,3.0,3,,1,3,0.9544818484987889,-0.019888488967027662,-0.18316966699466875,,False
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,2.0653664246828334,2.066672881677489,2.089134354521003,1.8249684352973585,0.8,0.04116848314505969,sc016,1,ADAAM(EH),2.0,2,0.05600919073129664,1,1,1.1317272040084927,0.0013064569946554805,0.023767929838169444,0.07920895714974116,False
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,1.3211834589162894,1.4495970166563799,1.5745174393227381,1.260961364879121,0.9076923076923077,0.1150517437505518,sc060,2,6-19-dihexyl-7-8-17-18-tetraphenyl-3-6-19-22-tetrazapentacyclo[12.8.0.02-11.04-9.016-21]docosa-1(22)-2-4(9)-7-10-12-14-16(21)-17-nonaene-5-20-dione,14.0,14,,1,182,1.0477588732807381,0.12841355774009044,0.2533339804064487,,False
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,1.2266693177839116,1.5130024764385506,1.5182620421722892,1.7234663426813275,0.8923076923076924,0.06640349047509571,sc061,1,3-[6-(5-6-dipropyl-1-2-4-triazin-3-yl)-2-pyridinyl]-5-6-dipropyl-1-2-4-triazine,14.0,14,,1,91,0.7117454442861292,0.28633315865463893,0.2915927243883776,,False
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,1.2244200213124474,1.193489663195518,1.189677653033662,1.2027972027972027,0.32,0.015075314396931069,sc032,5,NTAamide(C8),2.4,4,,1,10,1.0179771107423257,-0.030930358116929346,-0.03474236827878552,,False
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,1.2148578620411565,1.170912227068654,1.444283520213442,1.5897811784395655,0.7604395604395605,0.07199206370341123,sc015,1,8-11-11-trimethyl-5-[6-(8-11-11-trimethyl-3-4-6-triazatricyclo[6.2.1.02-7]undeca-2(7)-3-5-trien-5-yl)-2-pyridinyl]-3-4-6-triazatricyclo[6.2.1.02-7]undeca-2(7)-3-5-triene,14.0,14,,1,91,0.7641667158455031,-0.04394563497250248,0.22942565817228555,,False
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,1.1813625843640079,1.020143633974564,1.259630535060817,1.423634065934066,0.6791208791208792,0.013710487904453925,sc021,1,N-N-didodecyl-2-(1-hexyl-2-oxopiperidin-3-yl)oxyacetamide,14.0,14,,1,91,0.8298218008634821,-0.1612189503894439,0.07826795069680914,,False
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,1.1503808506263156,1.2970230711899813,1.5099048416188432,1.7014739297163985,0.8871794871794872,0.07169381602571184,sc009,1,DODDdDGA,13.0,13,,1,78,0.6761084201966355,0.14664222056366572,0.35952399099252763,,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,1.1153146111558045,1.1203981970619241,1.1793083044221773,1.4102742541911253,0.6666666666666666,0.06538469310270578,sc009,1,DMDOaDGA,7.0,7,,1,21,0.7908494449510479,0.00508358590611957,0.06399369326637272,,False
CCCCCCOP(=O)(O)OCCCCCC,1.0406550903552374,1.0003177368040959,0.9660063617229427,1.1576284039555556,0.36888888888888893,0.10569498802733798,sc058,1,dihexyl hydrogen phosphate,10.0,10,,1,45,0.8989543508084058,-0.04033735355114154,-0.07464872863229466,,False
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.957813397316659,0.9154271668622236,0.9552157299401214,1.1178400958043515,0.472386895475819,0.06269251643791234,sc009,74,DMDODGA,4.986486486486487,14,0.0212132034355966,5,1282,0.8568429428427831,-0.04238623045443546,-0.00259766737653766,0.03000000000000025,False
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,0.9237979511716355,0.9896459879221589,0.8666755726974925,0.55439668675,0.25,0.06267934374805685,sc030,2,N-N-dibutyl-2-(2-hexoxyethyl)-N-N-dimethylpropanediamide,2.5,3,,1,4,1.666312179077314,0.06584803675052331,-0.05712237847414303,,False
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,0.9216565924790141,0.9532635957272693,1.2649402489831323,1.0302803651538461,0.9340659340659341,0.04216407807168237,sc068,1,2-N-9-N-diethyl-2-N-9-N-bis(4-ethylphenyl)-1-10-phenanthroline-2-9-dicarboxamide,14.0,14,,1,91,0.8945687248357763,0.03160700324825516,0.3432836565041182,,False
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,0.7690095802129764,0.7736255412220006,0.9618393327602964,1.133518357675422,0.8703296703296702,0.065665519023037,sc009,1,DPDODGA,14.0,14,,1,91,0.678427107073972,0.004615961009024172,0.19282975254732004,,False
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.7627054204024407,0.7825071288943406,0.9643992945827309,1.1375827392473343,0.8857142857142858,0.08575041694292831,sc009,1,MMTODGA,14.0,14,,1,91,0.6704614918006527,0.019801708491899883,0.20169387418029017,,False
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,0.7478825776182311,0.7479560510407375,0.8767123352184185,1.048578522899454,0.8307692307692307,0.050570305839468775,sc009,1,DEDODGA,14.0,14,,1,91,0.7132346899021352,7.347342250640931e-05,0.12882975760018744,,False
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,0.6901257244088372,0.7954812135810838,0.6531245239344436,0.3876806246153846,0.4,0.08186146526854754,sc030,1,2-(2-hexoxyethyl)-N-N-dimethyl-N-N-dioctylpropanediamide,14.0,14,,1,91,1.7801398382844291,0.10535548917224657,-0.03700120047439359,,False
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.6490862360436017,0.9176611078598883,0.7489799139688486,0.9216543316825085,0.6588996763754046,0.07989034615624692,sc061,16,C5BTBP,12.9375,13,,2,1236,0.7042621227186929,0.2685748718162866,0.09989367792524684,,False
CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,0.6321874750058458,0.6761429818520119,1.1094366022010647,0.705327964666667,0.9333333333333332,0.09421521734928771,sc068,1,2-N-9-N-diethyl-2-N-9-N-bis(4-methylphenyl)-1-10-phenanthroline-2-9-dicarboxamide,3.0,3,,1,3,0.8963028643059873,0.043955506846166115,0.47724912719521884,,False
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,0.6209603161807679,0.5597155322225855,0.39527149030330155,0.5660204912857151,0.34725274725274724,0.22739833803408088,sc012,1,5-5-8-8-tetramethyl-3-[6-[6-(5-5-8-8-tetramethyl-6-7-dihydro-1-2-4-benzotriazin-3-yl)-2-pyridinyl]-2-pyridinyl]-6-7-dihydro-1-2-4-benzotriazine,14.0,14,,1,91,1.097063314386829,-0.061244783958182336,-0.2256888258774663,,False
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,0.6061496294289268,0.6148515422665598,0.5849923058398009,0.7532106162744967,0.5274725274725275,0.13468926262015374,sc019,1,cPSNDGA,14.0,14,,1,91,0.8047544953987005,0.008701912837632997,-0.02115732358912592,,False
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,0.5941177042245126,0.6850094912545012,1.150401172791263,1.3333960447716453,0.9142857142857143,0.06278140053892929,sc009,1,DODDmDGA,14.0,14,,1,91,0.44556732154268536,0.09089178702998857,0.5562834685667505,,False
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,0.5922500924967712,0.6375112431655203,0.5997262320855673,0.7399953429067714,0.5193548387096774,0.04597313868909755,sc009,33,TBDGA,3.212121212121212,8,,4,186,0.8003429996874806,0.04526115066874914,0.007476139588796116,,False
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,0.5815084763025825,0.5619496640999608,0.65574562967371,0.4100667687009219,0.6945054945054945,0.019355664885224087,sc028,1,p-TODGA-Syn,14.0,14,,1,91,1.418082421418303,-0.019558812202621678,0.07423715337112746,,False
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.5770948795866421,0.5567730386382084,0.6221919694275351,0.4254558723247345,0.6153846153846154,0.019163450423903217,sc028,1,p-TDDGA-Syn,13.0,13,,1,78,1.3564153585031897,-0.0203218409484337,0.045097089840893,,False
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.5279427917265735,0.3952801815754913,0.46188542436636526,0.6608868518416253,0.3142857142857143,0.04969609797220475,sc027,1,cMe2-TODGA,14.0,14,,1,91,0.7988399077019156,-0.13266261015108227,-0.06605736736020829,,False
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,0.5228112930095479,0.6414946905684713,0.9132809369073248,1.0461637732620186,0.941025641025641,0.05916798165756488,sc009,1,DODDbDGA,13.0,13,,1,78,0.4997413467868251,0.11868339755892343,0.39046964389777694,,False
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.516837276947428,0.43209944976219655,0.45594330313890463,0.3427822731303943,0.37292576419213974,0.04655774623487413,sc009,10,DOODA (C12),7.2,9,0.6083066239366275,1,229,1.5077713098390686,-0.08473782718523143,-0.06089397380852335,0.8602754776525686,True
