extractant_name,chemotype,n_cells,n_pairs_per_seed,mean_n_metals,mean_abs_y,mae_best,mae_incumbent,mae_meancurve,ratio_mae_over_absy,replicate_sd_median
2-(dibutylcarbamoyl)benzoic acid,sc063,1,3,3.0,2.6666666666666665,2.5452849293301036,2.525396440363076,2.362115262335435,0.9544818484987889,
ADAAM(EH),sc016,1,1,2.0,1.8249684352973585,2.0653664246828334,2.066672881677489,2.089134354521003,1.1317272040084927,0.05600919073129664
6-19-dihexyl-7-8-17-18-tetraphenyl-3-6-19-22-tetrazapentacyclo[12.8.0.02-11.04-9.016-21]docosa-1(22)-2-4(9)-7-10-12-14-16(21)-17-nonaene-5-20-dione,sc060,2,182,14.0,1.260961364879121,1.3211834589162894,1.4495970166563799,1.5745174393227381,1.0477588732807381,
3-[6-(5-6-dipropyl-1-2-4-triazin-3-yl)-2-pyridinyl]-5-6-dipropyl-1-2-4-triazine,sc061,1,91,14.0,1.7234663426813275,1.2266693177839116,1.5130024764385506,1.5182620421722892,0.7117454442861292,
NTAamide(C8),sc032,5,10,2.4,1.2027972027972027,1.2244200213124474,1.193489663195518,1.189677653033662,1.0179771107423257,
8-11-11-trimethyl-5-[6-(8-11-11-trimethyl-3-4-6-triazatricyclo[6.2.1.02-7]undeca-2(7)-3-5-trien-5-yl)-2-pyridinyl]-3-4-6-triazatricyclo[6.2.1.02-7]undeca-2(7)-3-5-triene,sc015,1,91,14.0,1.5897811784395655,1.2148578620411565,1.170912227068654,1.444283520213442,0.7641667158455031,
N-N-didodecyl-2-(1-hexyl-2-oxopiperidin-3-yl)oxyacetamide,sc021,1,91,14.0,1.423634065934066,1.1813625843640079,1.020143633974564,1.259630535060817,0.8298218008634821,
DODDdDGA,sc009,1,78,13.0,1.7014739297163985,1.1503808506263156,1.2970230711899813,1.5099048416188432,0.6761084201966355,
DMDOaDGA,sc009,1,21,7.0,1.4102742541911253,1.1153146111558045,1.1203981970619241,1.1793083044221773,0.7908494449510479,
dihexyl hydrogen phosphate,sc058,1,45,10.0,1.1576284039555556,1.0406550903552374,1.0003177368040959,0.9660063617229427,0.8989543508084058,
DMDODGA,sc009,74,1282,4.986486486486487,1.1178400958043515,0.957813397316659,0.9154271668622236,0.9552157299401214,0.8568429428427831,0.0212132034355966
N-N-dibutyl-2-(2-hexoxyethyl)-N-N-dimethylpropanediamide,sc030,2,4,2.5,0.55439668675,0.9237979511716355,0.9896459879221589,0.8666755726974925,1.666312179077314,
2-N-9-N-diethyl-2-N-9-N-bis(4-ethylphenyl)-1-10-phenanthroline-2-9-dicarboxamide,sc068,1,91,14.0,1.0302803651538461,0.9216565924790141,0.9532635957272693,1.2649402489831323,0.8945687248357763,
DPDODGA,sc009,1,91,14.0,1.133518357675422,0.7690095802129764,0.7736255412220006,0.9618393327602964,0.678427107073972,
MMTODGA,sc009,1,91,14.0,1.1375827392473343,0.7627054204024407,0.7825071288943406,0.9643992945827309,0.6704614918006527,
